=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;HIGHEST_EXPECTED_VALUE;0.2;167.0;329.0;151.0;36.262253;7.252449;313.0
1;1.0;HIGHEST_EXPECTED_VALUE;0.2;163.0;324.0;164.0;40.382397;8.076478;325.0
2;1.0;HIGHEST_EXPECTED_VALUE;0.2;179.0;312.0;178.0;37.552677;7.510532;311.0
3;1.0;HIGHEST_EXPECTED_VALUE;0.2;178.0;334.0;195.0;32.54675;6.5093517;351.0
4;1.0;HIGHEST_EXPECTED_VALUE;0.2;165.0;303.0;179.0;28.72581;5.745163;317.0
5;1.0;HIGHEST_EXPECTED_VALUE;0.2;170.0;324.0;157.0;33.62077;6.724154;311.0
6;1.0;HIGHEST_EXPECTED_VALUE;0.2;166.0;324.0;177.0;40.577374;8.115474;335.0
7;1.0;HIGHEST_EXPECTED_VALUE;0.2;185.0;326.0;172.0;39.8358;7.9671617;313.0
8;1.0;HIGHEST_EXPECTED_VALUE;0.2;182.0;324.0;179.0;35.798737;7.1597466;321.0
9;1.0;HIGHEST_EXPECTED_VALUE;0.2;150.0;302.0;165.0;30.62631;6.125262;317.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;HIGHEST_EXPECTED_VALUE;0.2;167.0;329.0;151.0;36.262253;7.252449;313.0
1;1.0;HIGHEST_EXPECTED_VALUE;0.2;163.0;324.0;164.0;40.382397;8.076478;325.0
2;1.0;HIGHEST_EXPECTED_VALUE;0.2;179.0;312.0;178.0;37.552677;7.510532;311.0
3;1.0;HIGHEST_EXPECTED_VALUE;0.2;178.0;334.0;195.0;32.54675;6.5093517;351.0
4;1.0;HIGHEST_EXPECTED_VALUE;0.2;165.0;303.0;179.0;28.72581;5.745163;317.0
5;1.0;HIGHEST_EXPECTED_VALUE;0.2;170.0;324.0;157.0;33.62077;6.724154;311.0
6;1.0;HIGHEST_EXPECTED_VALUE;0.2;166.0;324.0;177.0;40.577374;8.115474;335.0
7;1.0;HIGHEST_EXPECTED_VALUE;0.2;185.0;326.0;172.0;39.8358;7.9671617;313.0
8;1.0;HIGHEST_EXPECTED_VALUE;0.2;182.0;324.0;179.0;35.798737;7.1597466;321.0
9;1.0;HIGHEST_EXPECTED_VALUE;0.2;150.0;302.0;165.0;30.62631;6.125262;317.0

0;0;HIGHEST_EXPECTED_VALUE;[];[]
0;1;HIGHEST_EXPECTED_VALUE;[];[]
0;2;HIGHEST_EXPECTED_VALUE;[];[]
0;3;HIGHEST_EXPECTED_VALUE;[];[]
0;4;HIGHEST_EXPECTED_VALUE;[];[]
0;5;HIGHEST_EXPECTED_VALUE;[];[]
0;6;HIGHEST_EXPECTED_VALUE;[];[]
0;7;HIGHEST_EXPECTED_VALUE;[];[]
0;8;HIGHEST_EXPECTED_VALUE;[];[]
0;9;HIGHEST_EXPECTED_VALUE;[];[]
1;0;HIGHEST_EXPECTED_VALUE;[(231045334,0.4507),(231041253,0.3816),(232029818,0.2825),(231043680,0.2254),(231040269,0.1056),(232030789,0.1125),(231044079,0.1137),(231040437,0.0797),(232028505,0.0781),(231042031,0.0777),(231043831,0.0888),(231040473,0.0810),(232030306,0.0576),(232032287,0.0564),(232027600,0.0654),(231040310,0.0598),(231039741,0.0533),(231041776,0.0423),(231041403,0.0426),(232031082,0.0415),(231043378,0.0460),(231042152,0.0329),(231043481,0.0274),(231043553,0.0320),(231040172,0.0226),(232028022,0.0228),(231042601,0.0145),(231043886,0.0167),(231042892,0.0169),(231040155,0.0141),(231041720,0.0177),(232029452,0.0167),(232031600,0.0176),(232032636,0.0184),(232031837,0.0115),(232031138,0.0103),(231044926,0.0109),(231039793,0.0128),(232028030,0.0099),(232030526,0.0074),(231040050,0.0076),(231041417,0.0047),(232032448,0.0048),(232029879,0.0059),(232028284,0.0036),(232028942,0.0018),(232029433,0.0008),(231040441,0.0007),(232027895,0.0000),(242108281,0.0000)];[(231045334,0.4507),(231041253,0.3816),(232029818,0.2825),(231043680,0.2254),(231040269,0.1056)]
1;1;HIGHEST_EXPECTED_VALUE;[];[]
1;2;HIGHEST_EXPECTED_VALUE;[];[]
1;3;HIGHEST_EXPECTED_VALUE;[];[]
1;4;HIGHEST_EXPECTED_VALUE;[(231040200,0.1815),(232028288,0.1800),(231043275,0.1375),(231041945,0.1588),(231040869,0.1405),(232032641,0.0804),(231043995,0.0826),(231042905,0.0829),(231043404,0.0852),(231041323,0.0868),(231043540,0.0725),(231040751,0.0440),(231040147,0.0419),(231041267,0.0432),(231045259,0.0389),(231040465,0.0360),(231043108,0.0373),(231044438,0.0201),(231040012,0.0203),(232029560,0.0247),(232028599,0.0233),(232031757,0.0206),(231043816,0.0184),(232027723,0.0187),(231043643,0.0156),(232032183,0.0213),(232030232,0.0165),(231040304,0.0130),(232027540,0.0187),(231043247,0.0128),(232027649,0.0181),(232029969,0.0122),(231041064,0.0103),(232029191,0.0114),(231040516,0.0115),(232029920,0.0098),(231045737,0.0118),(242109607,0.0111),(232029836,0.0091),(231045525,0.0112),(231043218,0.0071),(231041250,0.0094),(231044017,0.0084),(232030217,0.0083),(232028447,0.0076),(242108278,0.0024),(232031277,0.0024),(232029027,0.0016),(231041515,0.0015),(232031452,0.0000)];[(231040200,0.1815),(232028288,0.1800),(231043275,0.1375),(231041945,0.1588),(231040869,0.1405)]
1;5;HIGHEST_EXPECTED_VALUE;[];[]
1;6;HIGHEST_EXPECTED_VALUE;[(231042579,0.5747),(231039960,0.1688),(232027450,0.0827),(231045427,0.0730),(231042455,0.0856),(231045453,0.0641),(231044656,0.0748),(231040913,0.0543),(231041192,0.0477),(231042357,0.0427),(231043347,0.0603),(232028227,0.0471),(232030336,0.0462),(232028379,0.0406),(232029671,0.0474),(232029367,0.0416),(232028305,0.0382),(231040595,0.0387),(231042544,0.0320),(231043330,0.0257),(232032184,0.0300),(231040221,0.0289),(231042869,0.0239),(231040325,0.0208),(232030144,0.0214),(232031765,0.0172),(231043725,0.0151),(231045246,0.0138),(231042000,0.0162),(231044004,0.0188),(232029287,0.0156),(231040368,0.0156),(232031404,0.0099),(231040750,0.0101),(232030526,0.0096),(232027886,0.0076),(232029773,0.0081),(232032245,0.0040),(232029506,0.0034),(232032225,0.0038),(400010219,0.0034),(232029847,0.0026),(207009208,0.0025),(231039859,0.0024),(232031104,0.0022),(242109207,0.0017),(232032619,0.0019),(232027664,0.0012),(232031062,0.0000),(232027762,0.0000)];[(231042579,0.5747),(231039960,0.1688),(232027450,0.0827),(231045427,0.0730),(231042455,0.0856)]
1;7;HIGHEST_EXPECTED_VALUE;[(232028173,0.4281),(231041711,0.5025),(231040623,0.1718),(231042680,0.1596),(231044603,0.1276),(232032044,0.1074),(231041543,0.1030),(231042103,0.0996),(231044411,0.0538),(265000725,0.0583),(400004427,0.0562),(231041801,0.0434),(231042143,0.0568),(231040512,0.0413),(231041648,0.0569),(231044722,0.0442),(232027473,0.0422),(231043133,0.0403),(232031270,0.0340),(231043744,0.0331),(232029694,0.0304),(297102704,0.0356),(231041481,0.0320),(231041656,0.0315),(231043805,0.0233),(231041103,0.0281),(232031480,0.0252),(231043114,0.0257),(231042207,0.0209),(231044692,0.0186),(231041382,0.0190),(232029963,0.0171),(232032087,0.0127),(231039669,0.0130),(232028007,0.0109),(232028494,0.0101),(231041020,0.0106),(232030825,0.0107),(232030072,0.0052),(232027606,0.0056),(232031228,0.0026),(400007935,0.0027),(232027913,0.0029),(232032321,0.0011),(242002703,0.0011),(232029055,0.0014),(232028322,0.0012),(232032377,0.0009),(232032049,0.0000),(231040956,0.0000)];[(232028173,0.4281),(231041711,0.5025),(231040623,0.1718),(231042680,0.1596),(231044603,0.1276)]
1;8;HIGHEST_EXPECTED_VALUE;[(232031472,0.5231),(231041824,0.0982),(231041325,0.0849),(231042104,0.0702),(231041463,0.0617),(244068891,0.0562),(286018636,0.0455),(231042811,0.0380),(231040555,0.0475),(231043483,0.0366),(236002413,0.0486),(231040753,0.0412),(231043650,0.0346),(231042167,0.0331),(232028810,0.0276),(232030843,0.0295),(232030459,0.0344),(231042002,0.0283),(232031691,0.0217),(232029825,0.0285),(232032530,0.0235),(231042961,0.0253),(232028599,0.0233),(400010993,0.0254),(231040852,0.0242),(231039749,0.0207),(231043649,0.0172),(231040038,0.0188),(231040059,0.0185),(231042030,0.0138),(231040069,0.0096),(231040314,0.0076),(231045163,0.0099),(231041407,0.0078),(232029368,0.0061),(232028609,0.0066),(231042685,0.0051),(232028666,0.0065),(232028457,0.0036),(232028820,0.0028),(231040195,0.0022),(232028214,0.0013),(232028335,0.0014),(232029680,0.0012),(231040921,0.0012),(242108507,0.0009),(231040275,0.0005),(232031163,0.0000),(231040565,0.0000),(232028398,0.0000)];[(232031472,0.5231),(231041824,0.0982),(231041325,0.0849),(231042104,0.0702),(231041463,0.0617)]
1;9;HIGHEST_EXPECTED_VALUE;[(232028607,0.1757),(231039688,0.1105),(232030579,0.0893),(231039742,0.1117),(232029285,0.1002),(231039874,0.0923),(231040654,0.0791),(232028274,0.0696),(231041370,0.0544),(231043924,0.0427),(231041535,0.0289),(231044482,0.0244),(231042855,0.0220),(232030939,0.0247),(231041693,0.0220),(231040737,0.0194),(231044692,0.0215),(231043046,0.0179),(232029185,0.0136),(232030782,0.0179),(231044394,0.0187),(231041696,0.0152),(232029422,0.0126),(232029880,0.0128),(232028849,0.0140),(232029725,0.0112),(231044772,0.0113),(232030631,0.0133),(232031218,0.0107),(232030907,0.0087),(235814707,0.0096),(232027611,0.0069),(232031507,0.0088),(231044201,0.0071),(232027658,0.0056),(232028768,0.0045),(231043089,0.0045),(232031657,0.0042),(232028436,0.0060),(231043252,0.0056),(231041862,0.0039),(239016104,0.0036),(232031478,0.0032),(232028611,0.0002),(231041686,0.0000),(231042133,0.0000),(231041477,0.0000),(400001847,0.0000),(231041071,0.0000)];[(232028607,0.1757),(231039688,0.1105),(232030579,0.0893),(231039742,0.1117),(232029285,0.1002)]
2;0;HIGHEST_EXPECTED_VALUE;[(231041253,0.3439),(231043680,0.2399),(231039960,0.1507),(232030789,0.1058),(231040437,0.0739),(232028505,0.0927),(231042031,0.1021),(231043831,0.0863),(231040473,0.0971),(231040844,0.0651),(231044656,0.0801),(232030306,0.0563),(232032287,0.0581),(232027600,0.0635),(231039741,0.0447),(231041776,0.0470),(231041403,0.0368),(232031082,0.0364),(231039971,0.0400),(231040000,0.0352),(231043378,0.0444),(231042152,0.0439),(231043481,0.0271),(231043553,0.0344),(231040172,0.0248),(232028022,0.0165),(231045105,0.0172),(231042601,0.0127),(231043886,0.0146),(231042892,0.0160),(231040155,0.0182),(231041720,0.0156),(232029452,0.0145),(232031600,0.0139),(232032636,0.0176),(232031837,0.0156),(232031138,0.0124),(231044926,0.0110),(232028030,0.0094),(232030526,0.0084),(231040050,0.0080),(231041417,0.0059),(232032448,0.0043),(232029879,0.0042),(231043993,0.0045),(232027466,0.0016),(232028942,0.0013),(232029433,0.0010),(232027895,0.0000),(242108281,0.0000)];[(231041253,0.3439),(231043680,0.2399),(231039960,0.1507),(232030789,0.1058),(231040437,0.0739)]
