=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.3;158.0;337.0;165.0;15.505208;3.101041;344.0
1;1.0;RANDOM_SELECTION;0.3;152.0;311.0;164.0;11.777048;2.35541;323.0
2;1.0;RANDOM_SELECTION;0.3;170.0;342.0;167.0;13.586343;2.7172685;339.0
3;1.0;RANDOM_SELECTION;0.3;160.0;345.0;165.0;16.18294;3.2365875;350.0
4;1.0;RANDOM_SELECTION;0.3;166.0;321.0;175.0;17.63878;3.5277565;330.0
5;1.0;RANDOM_SELECTION;0.3;165.0;329.0;186.0;10.698969;2.139794;350.0
6;1.0;RANDOM_SELECTION;0.3;173.0;295.0;188.0;10.787004;2.157401;310.0
7;1.0;RANDOM_SELECTION;0.3;172.0;317.0;154.0;14.112645;2.8225296;299.0
8;1.0;RANDOM_SELECTION;0.3;168.0;310.0;167.0;16.18001;3.2360013;309.0
9;1.0;RANDOM_SELECTION;0.3;162.0;319.0;174.0;17.750378;3.5500758;331.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.3;158.0;333.0;164.0;15.505208;3.101041;339.0
1;1.0;RANDOM_SELECTION;0.3;149.0;309.0;162.0;11.637818;2.3275642;322.0
2;1.0;RANDOM_SELECTION;0.3;170.0;342.0;167.0;13.586343;2.7172685;339.0
3;1.0;RANDOM_SELECTION;0.3;159.0;339.0;165.0;16.143656;3.228731;345.0
4;1.0;RANDOM_SELECTION;0.3;165.0;318.0;173.0;17.57068;3.5141363;326.0
5;1.0;RANDOM_SELECTION;0.3;165.0;324.0;185.0;10.698969;2.139794;344.0
6;1.0;RANDOM_SELECTION;0.3;170.0;290.0;187.0;9.951084;1.9902171;307.0
7;1.0;RANDOM_SELECTION;0.3;170.0;312.0;152.0;14.109061;2.8218126;294.0
8;1.0;RANDOM_SELECTION;0.3;166.0;307.0;165.0;16.1602;3.2320392;306.0
9;1.0;RANDOM_SELECTION;0.3;162.0;319.0;174.0;17.750378;3.5500758;331.0

0;0;RANDOM_SELECTION;[];[]
0;1;RANDOM_SELECTION;[];[]
0;2;RANDOM_SELECTION;[];[]
0;3;RANDOM_SELECTION;[];[]
0;4;RANDOM_SELECTION;[];[]
0;5;RANDOM_SELECTION;[];[]
0;6;RANDOM_SELECTION;[];[]
0;7;RANDOM_SELECTION;[];[]
0;8;RANDOM_SELECTION;[];[]
0;9;RANDOM_SELECTION;[];[]
1;0;RANDOM_SELECTION;[(281000664,0.0000),(231040701,0.0000),(242003633,0.0000),(232028522,0.0000),(231043825,0.0000),(232030666,0.0000),(231041779,0.0000),(231044772,0.0000),(231042187,0.0000),(231040643,0.0000),(400004427,0.0000),(231040341,0.0000),(231039902,0.0000),(232028882,0.0000),(232029122,0.0000),(231040383,0.0000),(231040624,0.0000),(231041116,0.0000),(232030817,0.0000),(232029120,0.0000),(231041900,0.0000),(255004265,0.0000),(231040784,0.0000),(231044892,0.0000),(231042183,0.0000),(232032568,0.0000),(231045542,0.0000),(231042308,0.0000),(232031704,0.0000),(231041690,0.0000),(231041587,0.0000),(231042208,0.0000),(231045355,0.0000),(231045191,0.0000),(231040675,0.0000),(231041324,0.0000),(232029090,0.0000),(242003297,0.0000),(232027714,0.0000),(232030831,0.0000),(248016643,0.0000),(231044885,0.0000),(231040746,0.0000),(232027495,0.0000),(231039952,0.0000),(232028060,0.0000),(231041318,0.0000),(231041859,0.0000),(231041433,0.0000),(231040086,0.0000)];[(281000664,0.0000),(231040701,0.0000),(242003633,0.0000),(232028522,0.0000),(231043825,0.0000)]
1;1;RANDOM_SELECTION;[(232031575,0.0000),(232030967,0.0000),(232029043,0.0000),(232030557,0.0000),(231043143,0.0000),(231043656,0.0000),(232028420,0.0000),(297103063,0.0000),(232032516,0.0000),(232027682,0.0000),(231040563,0.0000),(232030590,0.0000),(231044066,0.0000),(231041160,0.0000),(231039753,0.0000),(232031513,0.0000),(261001941,0.0000),(242002818,0.0000),(232029655,0.0000),(232031515,0.0000),(231042138,0.0000),(231041720,0.0000),(232032497,0.0000),(232032472,0.0000),(231045742,0.0000),(231040929,0.0000),(232028973,0.0000),(231042598,0.0000),(231043475,0.0000),(231040776,0.0000),(231040072,0.0000),(231045394,0.0000),(232029688,0.0000),(232027536,0.0000),(231043432,0.0000),(400003916,0.0000),(244074505,0.0000),(232030602,0.0000),(232030817,0.0000),(232031700,0.0000),(286017212,0.0000),(232027919,0.0000),(232031330,0.0000),(231040161,0.0000),(231042345,0.0000),(242108941,0.0000),(232029568,0.0000),(232031911,0.0000),(231040575,0.0000),(232030111,0.0000)];[(232031575,0.0000),(232030967,0.0000),(232029043,0.0000),(232030557,0.0000),(231043143,0.0000)]
1;2;RANDOM_SELECTION;[(231041774,0.0000),(232032590,0.0000),(232029129,0.0000),(245017789,0.0000),(232030821,0.0000),(232030234,0.0000),(232030056,0.0000),(232031300,0.0000),(281000739,0.0000),(232032034,0.0000),(231044979,0.0000),(231042072,0.0000),(232030297,0.0000),(232030320,0.0000),(232032377,0.0000),(286019969,0.0000),(231045739,0.0000),(231042683,0.0000),(232031279,0.0000),(231040224,0.0000),(231041701,0.0000),(231040903,0.0000),(231041380,0.0000),(232029740,0.0000),(231043294,0.0000),(231043466,0.0000),(232029933,0.0000),(232029564,0.0000),(231039817,0.0000),(231040681,0.0000),(231045003,0.0000),(232028253,0.0000),(232027832,0.0000),(232027477,0.0000),(242003633,0.0000),(231040982,0.0000),(231044205,0.0000),(232031366,0.0000),(232032717,0.0000),(231042849,0.0000),(232031887,0.0000),(232030258,0.0000),(231044128,0.0000),(232027885,0.0000),(231045168,0.0000),(232030142,0.0000),(232029686,0.0000),(232029792,0.0000),(232028582,0.0000),(231042345,0.0000)];[(231041774,0.0000),(232032590,0.0000),(232029129,0.0000),(245017789,0.0000),(232030821,0.0000)]
1;3;RANDOM_SELECTION;[(232032041,0.0000),(232028775,0.0000),(231044876,0.0000),(232027860,0.0000),(232027796,0.0000),(232032683,0.0000),(231045624,0.0000),(231040229,0.0000),(231041861,0.0000),(232029872,0.0000),(231042033,0.0000),(231040002,0.0000),(232028147,0.0000),(232030257,0.0000),(232030601,0.0000),(231043125,0.0000),(232030066,0.0000),(231043530,0.0000),(242108079,0.0000),(232030661,0.0000),(231040705,0.0000),(231043876,0.0000),(232031396,0.0000),(235814707,0.0000),(232030526,0.0000),(231040016,0.0000),(232028220,0.0000),(232030367,0.0000),(232029031,0.0000),(232029563,0.0000),(231041160,0.0000),(231044615,0.0000),(232027928,0.0000),(242003228,0.0000),(231042028,0.0000),(231044926,0.0000),(232028673,0.0000),(232030834,0.0000),(231040026,0.0000),(231043031,0.0000),(232032583,0.0000),(231041864,0.0000),(231042618,0.0000),(232030502,0.0000),(248018327,0.0000),(231040367,0.0000),(232028273,0.0000),(231045521,0.0000),(242002876,0.0000)];[(232032041,0.0000),(232028775,0.0000),(231044876,0.0000),(232027860,0.0000),(232027796,0.0000)]
1;4;RANDOM_SELECTION;[(232027626,0.0000),(231040638,0.0000),(232030258,0.0000),(400003952,0.0000),(232028632,0.0000),(231045053,0.0000),(232028302,0.0000),(242002843,0.0000),(231042837,0.0000),(232030010,0.0000),(231039682,0.0000),(232027646,0.0000),(232031631,0.0000),(231044764,0.0000),(232027507,0.0000),(232027801,0.0000),(231040712,0.0000),(232030081,0.0000),(231041495,0.0000),(244074889,0.0000),(232031887,0.0000),(232030495,0.0000),(232031062,0.0000),(232029091,0.0000),(231039910,0.0000),(232032163,0.0000),(231044414,0.0000),(232028980,0.0000),(231044424,0.0000),(231040915,0.0000),(232028119,0.0000),(231041931,0.0000),(231044887,0.0000),(231042959,0.0000),(231041467,0.0000),(231042519,0.0000),(232030425,0.0000),(232031032,0.0000),(231040661,0.0000),(232028438,0.0000),(231042319,0.0000),(232029206,0.0000),(231043551,0.0000),(231042215,0.0000),(245018605,0.0000),(231044368,0.0000),(232030123,0.0000),(231044628,0.0000),(232031270,0.0000),(232030559,0.0000)];[(232027626,0.0000),(231040638,0.0000),(232030258,0.0000),(400003952,0.0000),(232028632,0.0000)]
1;5;RANDOM_SELECTION;[(232032034,0.0000),(231039806,0.0000),(231041162,0.0000),(232031343,0.0000),(232031453,0.0000),(232031543,0.0000),(231042134,0.0000),(232028002,0.0000),(242003079,0.0000),(235813532,0.0000),(231044832,0.0000),(232029057,0.0000),(231040895,0.0000),(232031619,0.0000),(232028410,0.0000),(231042547,0.0000),(235812970,0.0000),(232029139,0.0000),(232027727,0.0000),(235813450,0.0000),(297102802,0.0000),(231040339,0.0000),(232029025,0.0000),(232028069,0.0000),(231041434,0.0000),(231042824,0.0000),(232031994,0.0000),(232030395,0.0000),(231044215,0.0000),(231043829,0.0000),(231040246,0.0000),(231039674,0.0000),(232030816,0.0000),(232029468,0.0000),(232030427,0.0000),(231043628,0.0000),(231043215,0.0000),(232030785,0.0000),(232028414,0.0000),(231040989,0.0000),(232031016,0.0000),(232029691,0.0000),(231039905,0.0000),(231039751,0.0000),(231039911,0.0000),(231039991,0.0000),(400001686,0.0000),(265000725,0.0000),(232030737,0.0000),(231041693,0.0000)];[(232032034,0.0000),(231039806,0.0000),(231041162,0.0000),(232031343,0.0000),(232031453,0.0000)]
1;6;RANDOM_SELECTION;[(232029862,0.0000),(232028285,0.0000),(231040079,0.0000),(232031725,0.0000),(232028892,0.0000),(231039782,0.0000),(231044109,0.0000),(231039902,0.0000),(232031873,0.0000),(232027478,0.0000),(231043218,0.0000),(232031631,0.0000),(232027456,0.0000),(232027691,0.0000),(231043028,0.0000),(231043125,0.0000),(231040413,0.0000),(231039883,0.0000),(231045824,0.0000),(231039817,0.0000),(232029694,0.0000),(232029742,0.0000),(232029614,0.0000),(231042333,0.0000),(232028260,0.0000),(231040614,0.0000),(232029055,0.0000),(232027860,0.0000),(232030579,0.0000),(231039903,0.0000),(232027826,0.0000),(231039676,0.0000),(231039813,0.0000),(231039958,0.0000),(232031433,0.0000),(232027757,0.0000),(231040230,0.0000),(231044810,0.0000),(231043836,0.0000),(231041853,0.0000),(231040795,0.0000),(232028459,0.0000),(232027908,0.0000),(232028654,0.0000),(231043497,0.0000),(231042386,0.0000),(231044509,0.0000),(231041146,0.0000),(232028003,0.0000),(231041958,0.0000)];[(232029862,0.0000),(232028285,0.0000),(231040079,0.0000),(232031725,0.0000),(232028892,0.0000)]
