=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
1;5;HIGHEST_CONVERSION_PROB;[(232030277,0.3958),(232031256,0.5761),(232030438,0.5172),(232030939,0.5797),(231039835,0.5744),(231040742,0.4055),(231043490,0.5320),(232031544,0.4539),(232029344,0.5132),(231042718,0.5211),(231041576,0.5002),(232029308,0.4363),(232028880,0.4052),(232031874,0.5717),(231042484,0.4834),(231041793,0.5527),(232029766,0.4889),(231045783,0.4858),(231044516,0.5732),(232029911,0.5431),(231041243,0.4195),(232031196,0.4415),(231041596,0.4846),(231044300,0.4426),(231043944,0.4004),(231043900,0.4002),(232030822,0.4336),(232027918,0.4605),(231042814,0.5273),(232029360,0.5826),(231042103,0.4769),(235813456,0.4908),(232031833,0.5635),(231041300,0.4610),(231040441,0.5290),(231040709,0.4956),(231041377,0.5702),(231043045,0.5036),(231045174,0.5662),(232030132,0.4490),(232028603,0.5114),(232029092,0.5331),(232029576,0.4111),(231042455,0.4220),(231040613,0.5659),(232028572,0.4179),(231040522,0.5840),(232028077,0.4080),(231040749,0.4385),(231040850,0.5009)];[(232030277,0.3958),(232031256,0.5761),(232030438,0.5172),(232030939,0.5797),(231039835,0.5744)]
1;6;HIGHEST_CONVERSION_PROB;[];[]
1;7;HIGHEST_CONVERSION_PROB;[(232029663,0.5141),(232032618,0.4963),(242108724,0.4729),(232027789,0.5625),(231043068,0.4428),(232027550,0.4735),(232032329,0.4311),(231041165,0.4980),(232029298,0.4143),(232029202,0.5219),(232027792,0.5693),(231041033,0.4785),(232029951,0.5384),(232030438,0.4425),(231039920,0.4984),(232028640,0.3970),(231041851,0.4775),(232028645,0.5524),(231039707,0.4178),(232031747,0.4798),(232029018,0.5347),(232030151,0.5461),(231044635,0.4808),(232030541,0.3990),(231043061,0.4328),(232029075,0.4482),(232028873,0.3916),(231045513,0.4428),(231040245,0.5193),(232027691,0.5764),(232029654,0.5240),(231040159,0.5367),(231040964,0.4960),(232027492,0.4961),(231040678,0.4856),(231043130,0.5121),(231044334,0.5475),(232030306,0.4287),(231042774,0.4384),(231042075,0.5268),(231040102,0.5622),(232032252,0.5059),(231039736,0.5850),(231043119,0.4194),(239016078,0.4648),(232027642,0.4981),(231040979,0.3914),(231043876,0.4552),(231042204,0.5587),(231043958,0.4527)];[(232029663,0.5141),(232032618,0.4963),(242108724,0.4729),(232027789,0.5625),(231043068,0.4428)]
1;8;HIGHEST_CONVERSION_PROB;[];[]
1;9;HIGHEST_CONVERSION_PROB;[];[]
2;0;HIGHEST_CONVERSION_PROB;[(232028508,0.4328),(232028784,0.5662),(232027723,0.4782),(232030551,0.4586),(232027751,0.4951),(232028019,0.5491),(231042957,0.4544),(231041798,0.4630),(232032553,0.4661),(232029126,0.4148),(286019645,0.4713),(232031690,0.5158),(231043546,0.4275),(232028200,0.5091),(232027718,0.4250),(232028596,0.5492),(231039831,0.4511),(231039783,0.4938),(232029957,0.5019),(231039804,0.3973),(231043908,0.3954),(232031283,0.5679),(232028022,0.5415),(231042071,0.5682),(231039891,0.5448),(231041669,0.5112),(232030049,0.4234),(231045543,0.5247),(232030217,0.5730),(231043022,0.5712),(232028098,0.5560),(232030110,0.4271),(231042341,0.4907),(231045375,0.5675),(232029886,0.5240),(232031875,0.4535),(231040049,0.3921),(232028349,0.4441),(231042687,0.5040),(231040347,0.4680),(231041340,0.4634),(231040922,0.4677),(231040987,0.4596),(231043959,0.5683),(231040551,0.5139),(231041886,0.4714),(231045778,0.3980),(231043995,0.5211),(231042113,0.5486)];[(232028508,0.5543),(232028784,0.5662),(232027723,0.4782),(232030551,0.4586),(232027751,0.4951)]
2;1;HIGHEST_CONVERSION_PROB;[(232031311,0.5471),(231040532,0.5346),(400006871,0.5853),(231044379,0.4491),(231041064,0.5128),(231040512,0.4244),(231040407,0.5860),(231040392,0.4272),(232030541,0.5638),(231044693,0.4756),(232029610,0.5683),(231043261,0.3999),(231043256,0.4895),(231040118,0.5657),(231043744,0.3959),(231040917,0.4983),(232032313,0.5002),(232031287,0.3987),(231042562,0.5646),(232029012,0.5469),(232030253,0.5121),(235814846,0.5162),(232031863,0.4805),(231042883,0.5146),(232031940,0.5284),(232028729,0.5793),(242002966,0.5303),(232032283,0.4090),(231039770,0.4390),(231039707,0.4689),(232030254,0.5552),(231044394,0.4690),(231045852,0.5836),(231042354,0.4547),(207009215,0.5468),(231045896,0.5661),(232030601,0.4085),(232031837,0.5428),(231041059,0.3983),(232031539,0.4415),(231040429,0.4136),(231043503,0.5648),(400001048,0.5478),(232028885,0.4100),(231041343,0.5055),(231040932,0.4510),(231040905,0.4479),(231040960,0.4552),(231041163,0.4544),(231044942,0.4515)];[(232031311,0.5471),(231040532,0.5346),(400006871,0.5853),(231044379,0.4491),(231041064,0.5128)]
2;2;HIGHEST_CONVERSION_PROB;[(232031319,0.3937),(232028875,0.5608),(232030616,0.5284),(231040226,0.4847),(232029624,0.5761),(232032679,0.5087),(232027725,0.4342),(231042824,0.5191),(232027863,0.5195),(232031016,0.5243),(232029200,0.4358),(231045741,0.5427),(232028712,0.5549),(232030425,0.5009),(232028838,0.4031),(231040177,0.4936),(232028302,0.4328),(232027901,0.4912),(231040696,0.5511),(232032190,0.5855),(231045784,0.4231),(231043186,0.5831),(286018636,0.4048),(232028296,0.4065),(232031915,0.4550),(231040090,0.4957),(231039897,0.5726),(242108534,0.3986),(232030586,0.5291),(244075791,0.4014),(261001886,0.3981),(231041784,0.4650),(231039695,0.4628),(232028625,0.5675),(231040942,0.4050),(231043231,0.3934),(232029840,0.5313),(232031343,0.4088),(232032321,0.4494),(232027883,0.5414),(232028377,0.3962),(231040642,0.4598),(232030937,0.4485),(232028508,0.4030),(232028989,0.4472),(231043750,0.4606),(231040084,0.4768),(231044079,0.5120),(232027860,0.4857),(231040521,0.5518)];[(232031319,0.3937),(232028875,0.5608),(232030616,0.5284),(231040226,0.4847),(232029624,0.5761)]
2;3;HIGHEST_CONVERSION_PROB;[(232028543,0.4029),(232029596,0.4796),(232030634,0.5061),(231043024,0.5870),(232027517,0.5261),(286018636,0.4703),(232030120,0.4521),(231041422,0.5540),(232029717,0.5121),(231044249,0.5555),(232032494,0.5100),(232027747,0.5287),(231040423,0.4592),(231041232,0.4780),(231041701,0.4412),(231039979,0.4775),(231042541,0.5326),(231041218,0.5017),(231041871,0.5797),(231043465,0.4179),(231040591,0.5345),(232032314,0.4904),(239014743,0.4109),(232028717,0.4976),(231041898,0.5404),(231040801,0.4179),(232029873,0.5319),(232030570,0.4842),(232029299,0.5111),(232030198,0.4395),(232032505,0.4110),(232028682,0.4139),(231039718,0.5575),(261002053,0.4368),(232030988,0.5243),(231039708,0.5164),(232029122,0.5640),(231040360,0.4715),(231041968,0.4859),(232029520,0.4236),(232031063,0.4490),(232028911,0.5596),(232028969,0.5836),(231044160,0.4298),(231044832,0.5545),(231044290,0.4450),(231040073,0.4007),(231041253,0.4520),(231040469,0.5578),(231040823,0.4173)];[(232028543,0.4029),(232029596,0.4796),(232030634,0.5061),(231043024,0.5870),(232027517,0.5261)]
2;4;HIGHEST_CONVERSION_PROB;[(232031131,0.5635),(231043987,0.5546),(232030795,0.5217),(232030901,0.4228),(232028080,0.5291),(231039645,0.4160),(232028638,0.5572),(231040718,0.4777),(231041232,0.5706),(232031156,0.5569),(231044770,0.5169),(232032516,0.4173),(232029199,0.5033),(232030779,0.4569),(231040884,0.5200),(400005165,0.5590),(231041991,0.4791),(231044867,0.5383),(232032184,0.4457),(232029556,0.4711),(231044106,0.4335),(231042360,0.5770),(231040120,0.5761),(232030076,0.4427),(286016913,0.5387),(232028242,0.4727),(232027809,0.5583),(232028824,0.5183),(232029405,0.4895),(231040696,0.3993),(232031819,0.4260),(231041811,0.5672),(231044532,0.5674),(242002737,0.4216),(231042298,0.4800),(232030055,0.5102),(231040551,0.4114),(232031425,0.4119),(232028543,0.4281),(231041569,0.4124),(232031691,0.4303),(231040276,0.5465),(231041908,0.5814),(231040263,0.5402),(231042519,0.5102),(231042199,0.4155),(231040223,0.5739),(232027523,0.5650),(231042182,0.5545),(232029817,0.4342)];[(232031131,0.5635),(231043987,0.5546),(232030795,0.5217),(232030901,0.4228),(232028080,0.5291)]
