=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;PROB_EXPECTED_VALUE;0.3;157.0;313.0;171.0;24.960274;4.992055;327.0
1;1.0;PROB_EXPECTED_VALUE;0.3;172.0;311.0;172.0;27.123886;5.4247766;311.0
2;1.0;PROB_EXPECTED_VALUE;0.3;164.0;353.0;174.0;32.83066;6.5661325;363.0
3;1.0;PROB_EXPECTED_VALUE;0.3;179.0;349.0;171.0;35.27008;7.0540147;341.0
4;1.0;PROB_EXPECTED_VALUE;0.3;175.0;342.0;140.0;25.962503;5.1925;307.0
5;1.0;PROB_EXPECTED_VALUE;0.3;162.0;324.0;207.0;27.938833;5.5877657;369.0
6;1.0;PROB_EXPECTED_VALUE;0.3;193.0;363.0;168.0;34.419704;6.883942;338.0
7;1.0;PROB_EXPECTED_VALUE;0.3;176.0;337.0;179.0;33.09692;6.6193843;340.0
8;1.0;PROB_EXPECTED_VALUE;0.3;159.0;343.0;161.0;25.604301;5.12086;345.0
9;1.0;PROB_EXPECTED_VALUE;0.3;158.0;315.0;163.0;32.970436;6.594087;320.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;PROB_EXPECTED_VALUE;0.3;157.0;313.0;171.0;24.960274;4.992055;327.0
1;1.0;PROB_EXPECTED_VALUE;0.3;169.0;307.0;169.0;26.453636;5.290726;307.0
2;1.0;PROB_EXPECTED_VALUE;0.3;164.0;353.0;174.0;32.83066;6.5661325;363.0
3;1.0;PROB_EXPECTED_VALUE;0.3;178.0;345.0;168.0;35.09445;7.0188894;335.0
4;1.0;PROB_EXPECTED_VALUE;0.3;175.0;342.0;140.0;25.962503;5.1925;307.0
5;1.0;PROB_EXPECTED_VALUE;0.3;160.0;321.0;206.0;27.838474;5.567694;367.0
6;1.0;PROB_EXPECTED_VALUE;0.3;191.0;360.0;166.0;33.57562;6.715125;335.0
7;1.0;PROB_EXPECTED_VALUE;0.3;175.0;333.0;177.0;33.02882;6.6057644;335.0
8;1.0;PROB_EXPECTED_VALUE;0.3;156.0;337.0;160.0;25.425447;5.0850897;341.0
9;1.0;PROB_EXPECTED_VALUE;0.3;158.0;315.0;163.0;32.970436;6.594087;320.0

0;0;PROB_EXPECTED_VALUE;[];[]
0;1;PROB_EXPECTED_VALUE;[];[]
0;2;PROB_EXPECTED_VALUE;[];[]
0;3;PROB_EXPECTED_VALUE;[];[]
0;4;PROB_EXPECTED_VALUE;[];[]
0;5;PROB_EXPECTED_VALUE;[];[]
0;6;PROB_EXPECTED_VALUE;[];[]
0;7;PROB_EXPECTED_VALUE;[];[]
0;8;PROB_EXPECTED_VALUE;[];[]
0;9;PROB_EXPECTED_VALUE;[];[]
1;0;PROB_EXPECTED_VALUE;[(249109348,0.1091),(232029799,0.0642),(231041496,0.0802),(231041703,0.1537),(231041657,0.0545),(231043585,0.0055),(232030545,0.0172),(231040964,0.0212),(232031758,0.0153),(231042221,0.0879),(231040339,0.0955),(231040666,0.0587),(231044071,0.0633),(231041453,0.0771),(231039958,0.0184),(231041022,0.0470),(242108724,0.0069),(242002333,0.0125),(231041944,0.0490),(231039839,0.0416),(232030505,0.0070),(231042030,0.0101),(232027577,0.0081),(231042081,0.0260),(231041121,0.0171),(232028915,0.0262),(231039712,0.0130),(231040015,0.0201),(231043485,0.0194),(231045335,0.0312),(232029527,0.0006),(232030569,0.0067),(232027834,0.0127),(231040612,0.0043),(232027780,0.0024),(232028794,0.0024),(232029613,0.0085),(232032163,0.0029),(232031554,0.0076),(232032543,0.0010),(232032579,0.0056),(232028043,0.0002),(232032054,0.0011),(232028848,0.0085),(232029031,0.0032),(232029847,0.0025),(207010811,0.0010),(232032695,0.0000),(232032701,0.0000),(231040034,0.0000)];[(249109348,0.1091),(232029799,0.0642),(231041496,0.0802),(231041703,0.1537),(231041657,0.0545)]
1;1;PROB_EXPECTED_VALUE;[(231040845,0.0950),(231040207,0.2304),(231041675,0.0606),(231043927,0.1254),(231040729,0.0123),(232032754,0.0205),(231042186,0.1021),(231039720,0.3433),(231041410,0.0724),(232028120,0.0445),(231041687,0.1100),(231040454,0.1345),(231041313,0.0222),(231043783,0.0314),(232027472,0.0085),(231041874,0.0763),(232027766,0.0307),(231039639,0.0529),(231040119,0.0631),(232028027,0.0307),(231040295,0.0380),(232030663,0.0056),(231040564,0.0534),(231043729,0.0311),(231041661,0.0518),(231043324,0.0236),(231042126,0.0592),(232029837,0.0456),(232032636,0.0172),(286018223,0.0128),(239016398,0.0033),(231041293,0.0309),(232027885,0.0628),(232027601,0.0077),(232029374,0.0284),(231041079,0.0229),(232028768,0.0054),(231041248,0.0052),(231040241,0.0166),(232028773,0.0104),(231040211,0.0068),(232028631,0.0027),(232027908,0.0054),(232031031,0.0013),(232030404,0.0016),(231045911,0.0029),(232030949,0.0015),(232029358,0.0019),(232030679,0.0000),(232032467,0.0000)];[(231040845,0.0950),(231040207,0.2304),(231041675,0.0606),(231043927,0.1254),(231040729,0.0123)]
1;2;PROB_EXPECTED_VALUE;[(231041856,0.5607),(231042135,0.1048),(232027970,0.1819),(232030923,0.0725),(231042017,0.1337),(231042826,0.0609),(231040819,0.0781),(232027471,0.0076),(232029605,0.0968),(231041688,0.0312),(232028286,0.4754),(231042228,0.0322),(231040268,0.1366),(232027730,0.0469),(231039769,0.0177),(231041005,0.0338),(231041184,0.0451),(231040789,0.0120),(231043458,0.1192),(231042270,0.0205),(245017746,0.0103),(232031049,0.0046),(232027582,0.0142),(231041641,0.0054),(231042029,0.0116),(231043506,0.0044),(232029680,0.0011),(231041282,0.0060),(231044782,0.0159),(231043919,0.0037),(231040848,0.0065),(231040806,0.0037),(231044764,0.0012),(232030622,0.0007),(232030742,0.0068),(231040332,0.0290),(231043025,0.0073),(231043645,0.0073),(232030584,0.0071),(231045860,0.0052),(231041236,0.0060),(232030345,0.0016),(232029023,0.0088),(232028115,0.0089),(232028619,0.0058),(281000665,0.0018),(232030647,0.0000),(232032502,0.0000),(232031279,0.0000),(232031542,0.0000)];[(231041856,0.5607),(231042135,0.1048),(232027970,0.1819),(232030923,0.0725),(231042017,0.1337)]
1;3;PROB_EXPECTED_VALUE;[(297102802,0.0056),(231041798,0.0087),(232031363,0.4389),(231044280,0.0654),(231042510,0.0615),(231040932,0.0242),(232027797,0.3010),(231040855,0.0611),(231043326,0.1848),(232031603,0.0097),(232028404,0.0799),(232030193,0.0188),(231042069,0.0833),(231045866,0.0148),(231040586,0.0269),(231039779,0.0605),(232027870,0.0410),(231042150,0.0052),(231041472,0.0375),(231042620,0.0370),(232029671,0.0417),(291036087,0.0583),(231044920,0.0186),(231041145,0.0486),(231042866,0.0317),(231041877,0.0536),(232027535,0.0065),(231042574,0.0188),(231040680,0.0096),(286018224,0.0734),(232030545,0.0177),(231041801,0.0547),(232030044,0.0039),(231040497,0.0072),(232029221,0.0009),(231039734,0.0231),(231043474,0.0231),(232031361,0.0028),(232031671,0.0087),(400009365,0.0045),(232030367,0.0038),(232031142,0.0060),(286020444,0.0025),(231040732,0.0022),(232031499,0.0029),(231042338,0.0006),(231044407,0.0006),(232028611,0.0002),(232027847,0.0011),(231044290,0.0000)];[(297102802,0.0056),(231041798,0.0087),(232031363,0.4389),(231044280,0.0654),(231042510,0.0615)]
1;4;PROB_EXPECTED_VALUE;[(232032568,0.0097),(232028413,0.0029),(231044014,0.1014),(231039916,0.0776),(231043710,0.1176),(232027573,0.1089),(231041166,0.0439),(231040405,0.0499),(232031717,0.0273),(232029700,0.0274),(231041857,0.0351),(232027972,0.0109),(232031081,0.0956),(400004427,0.0445),(231044799,0.0251),(231045232,0.0360),(231043247,0.0173),(231042208,0.0199),(400007567,0.0270),(231044072,0.0655),(231041186,0.0630),(231042353,0.0133),(231040458,0.0509),(232030318,0.0039),(232030878,0.0074),(231040978,0.0197),(232027491,0.0161),(232027833,0.0164),(232029784,0.0088),(231044607,0.0273),(232028706,0.0163),(232030990,0.0152),(231043251,0.0045),(232028987,0.0019),(232031051,0.0031),(400003889,0.0039),(232031361,0.0017),(231041682,0.0139),(232031313,0.0021),(231041277,0.0008),(242109259,0.0037),(231041063,0.0029),(232028322,0.0014),(232028826,0.0004),(400008359,0.0005),(400004926,0.0003),(232028911,0.0008),(232030910,0.0000),(231041836,0.0000)];[(232032568,0.0097),(232028413,0.0029),(231044014,0.1014),(231039916,0.0776),(231043710,0.1176)]
1;5;PROB_EXPECTED_VALUE;[(231040745,0.2380),(231045474,0.1386),(231043194,0.0836),(231041711,0.4219),(232027471,0.0058),(232029957,0.0403),(231041840,0.2165),(232028285,0.0361),(231042703,0.0719),(231040979,0.0441),(231041361,0.0516),(231042643,0.0421),(231040740,0.0311),(232027983,0.1249),(231041744,0.0071),(232030171,0.0078),(231041336,0.0181),(231041777,0.0439),(231039722,0.0284),(265000952,0.0266),(232030581,0.0299),(231041978,0.0147),(231040503,0.0293),(232030351,0.0279),(232029183,0.0183),(231042695,0.0052),(231045003,0.0594),(231044017,0.0061),(232029640,0.0171),(230000346,0.0077),(232031501,0.0119),(231042179,0.0206),(232029073,0.0043),(232030411,0.0011),(242109252,0.0018),(231041571,0.0059),(244074474,0.0042),(232029452,0.0158),(242109703,0.0051),(232030841,0.0036),(242108507,0.0011),(232029217,0.0052),(232031774,0.0007),(242108910,0.0011),(400007933,0.0010),(232031666,0.0003),(232029623,0.0000),(232029807,0.0000),(231042384,0.0000),(232030826,0.0000)];[(231040745,0.2380),(231045474,0.1386),(231043194,0.0836),(231041711,0.4219),(232027471,0.0058)]
1;6;PROB_EXPECTED_VALUE;[];[]
