=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.2;173.0;347.0;173.0;9.295895;1.8591785;347.0
1;1.0;RANDOM_SELECTION;0.2;159.0;321.0;169.0;12.369922;2.4739833;331.0
2;1.0;RANDOM_SELECTION;0.2;180.0;313.0;176.0;15.694072;3.1388144;309.0
3;1.0;RANDOM_SELECTION;0.2;166.0;325.0;171.0;13.564575;2.712915;330.0
4;1.0;RANDOM_SELECTION;0.2;187.0;308.0;161.0;12.098477;2.4196954;282.0
5;1.0;RANDOM_SELECTION;0.2;183.0;343.0;156.0;17.5658;3.5131605;316.0
6;1.0;RANDOM_SELECTION;0.2;156.0;348.0;182.0;13.943907;2.7887812;374.0
7;1.0;RANDOM_SELECTION;0.2;171.0;324.0;161.0;18.517727;3.7035449;314.0
8;1.0;RANDOM_SELECTION;0.2;147.0;307.0;152.0;11.923201;2.3846402;312.0
9;1.0;RANDOM_SELECTION;0.2;165.0;336.0;180.0;12.393842;2.4787693;351.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.2;173.0;345.0;172.0;9.295895;1.8591785;344.0
1;1.0;RANDOM_SELECTION;0.2;157.0;311.0;168.0;11.72476;2.3449512;322.0
2;1.0;RANDOM_SELECTION;0.2;178.0;310.0;173.0;15.636464;3.1272929;305.0
3;1.0;RANDOM_SELECTION;0.2;165.0;319.0;167.0;13.557178;2.7114353;321.0
4;1.0;RANDOM_SELECTION;0.2;185.0;305.0;159.0;12.0894985;2.4178996;279.0
5;1.0;RANDOM_SELECTION;0.2;181.0;337.0;156.0;16.563347;3.31267;312.0
6;1.0;RANDOM_SELECTION;0.2;153.0;342.0;175.0;13.574731;2.714946;364.0
7;1.0;RANDOM_SELECTION;0.2;168.0;315.0;157.0;18.356554;3.6713104;304.0
8;1.0;RANDOM_SELECTION;0.2;144.0;303.0;149.0;11.336128;2.2672257;308.0
9;1.0;RANDOM_SELECTION;0.2;161.0;326.0;178.0;12.178663;2.4357336;343.0

0;0;RANDOM_SELECTION;[];[]
0;1;RANDOM_SELECTION;[];[]
0;2;RANDOM_SELECTION;[];[]
0;3;RANDOM_SELECTION;[];[]
0;4;RANDOM_SELECTION;[];[]
0;5;RANDOM_SELECTION;[];[]
0;6;RANDOM_SELECTION;[];[]
0;7;RANDOM_SELECTION;[];[]
0;8;RANDOM_SELECTION;[];[]
0;9;RANDOM_SELECTION;[];[]
1;0;RANDOM_SELECTION;[];[]
1;1;RANDOM_SELECTION;[];[]
1;2;RANDOM_SELECTION;[];[]
1;3;RANDOM_SELECTION;[];[]
1;4;RANDOM_SELECTION;[];[]
1;5;RANDOM_SELECTION;[];[]
1;6;RANDOM_SELECTION;[];[]
1;7;RANDOM_SELECTION;[];[]
1;8;RANDOM_SELECTION;[];[]
1;9;RANDOM_SELECTION;[];[]
2;0;RANDOM_SELECTION;[(231042025,0.0000),(231045675,0.0000),(231039680,0.0000),(231044757,0.0000),(231041766,0.0000),(231042412,0.0000),(231041146,0.0000),(231041554,0.0000),(232031526,0.0000),(232028185,0.0000),(231040809,0.0000),(231041737,0.0000),(231042168,0.0000),(232029194,0.0000),(232030423,0.0000),(232028067,0.0000),(231044976,0.0000),(231044885,0.0000),(400007816,0.0000),(231041695,0.0000),(232029826,0.0000),(232027581,0.0000),(232029765,0.0000),(232028685,0.0000),(231042305,0.0000),(231040251,0.0000),(231044745,0.0000),(232028444,0.0000),(231039824,0.0000),(231043243,0.0000),(232028694,0.0000),(231042135,0.0000),(231040815,0.0000),(232029770,0.0000),(400001815,0.0000),(232028499,0.0000),(248019583,0.0000),(232028733,0.0000),(232027503,0.0000),(261001464,0.0000),(232030264,0.0000),(232028439,0.0000),(232031913,0.0000),(231042435,0.0000),(231039843,0.0000),(232029404,0.0000),(231045003,0.0000),(231045132,0.0000),(231040460,0.0000),(281000682,0.0000)];[(231042025,0.0000),(231045675,0.0000),(231039680,0.0000),(231044757,0.0000),(231041766,0.0000)]
2;1;RANDOM_SELECTION;[(231040128,0.0000),(232029221,0.0000),(232028358,0.0000),(231041363,0.0000),(231044464,0.0000),(232028543,0.0000),(231039986,0.0000),(231045068,0.0000),(232027478,0.0000),(231043659,0.0000),(244069463,0.0000),(231045307,0.0000),(231042514,0.0000),(232031283,0.0000),(232029783,0.0000),(231042304,0.0000),(231042562,0.0000),(232030113,0.0000),(231041724,0.0000),(232030362,0.0000),(231040384,0.0000),(232032203,0.0000),(232032767,0.0000),(231042130,0.0000),(231042434,0.0000),(231045700,0.0000),(231040535,0.0000),(232028905,0.0000),(232030751,0.0000),(231041870,0.0000),(232027481,0.0000),(232031037,0.0000),(232031403,0.0000),(245017746,0.0000),(231045335,0.0000),(231042274,0.0000),(231042016,0.0000),(231040139,0.0000),(232029375,0.0000),(231042447,0.0000),(231041500,0.0000),(232031764,0.0000),(232032159,0.0000),(232031526,0.0000),(231041286,0.0000),(231043640,0.0000),(231040805,0.0000),(235813941,0.0000),(232027716,0.0000),(232029046,0.0000)];[(231040128,0.0000),(232029221,0.0000),(232028358,0.0000),(231041363,0.0000),(231044464,0.0000)]
2;2;RANDOM_SELECTION;[(232029540,0.0000),(232028619,0.0000),(231043374,0.0000),(232027657,0.0000),(231041193,0.0000),(231041591,0.0000),(231045307,0.0000),(231041957,0.0000),(231039842,0.0000),(231040654,0.0000),(231040191,0.0000),(232028212,0.0000),(231042451,0.0000),(231043789,0.0000),(232032389,0.0000),(231043273,0.0000),(231041530,0.0000),(231041856,0.0000),(231041664,0.0000),(231040203,0.0000),(231042033,0.0000),(231044507,0.0000),(231043924,0.0000),(232031913,0.0000),(400004872,0.0000),(232030866,0.0000),(400001815,0.0000),(231043317,0.0000),(232028080,0.0000),(231041744,0.0000),(231043397,0.0000),(231040564,0.0000),(231040470,0.0000),(244068765,0.0000),(231042403,0.0000),(231039785,0.0000),(231044675,0.0000),(232029019,0.0000),(242108120,0.0000),(232028373,0.0000),(232030146,0.0000),(232030422,0.0000),(231041260,0.0000),(231041665,0.0000),(244075608,0.0000),(231045265,0.0000),(231040979,0.0000),(231039874,0.0000),(232031915,0.0000),(231043700,0.0000)];[(232029540,0.0000),(232028619,0.0000),(231043374,0.0000),(232027657,0.0000),(231041193,0.0000)]
2;3;RANDOM_SELECTION;[(242003768,0.0000),(231042721,0.0000),(232027832,0.0000),(232031870,0.0000),(232032256,0.0000),(231041980,0.0000),(232027675,0.0000),(231043167,0.0000),(232031771,0.0000),(232028379,0.0000),(400001297,0.0000),(232027472,0.0000),(232029748,0.0000),(231041396,0.0000),(232028297,0.0000),(242108504,0.0000),(286016702,0.0000),(231042674,0.0000),(231039703,0.0000),(231043622,0.0000),(231041742,0.0000),(232030822,0.0000),(231040212,0.0000),(232027797,0.0000),(232030251,0.0000),(231041345,0.0000),(231043109,0.0000),(232029357,0.0000),(231042483,0.0000),(232028252,0.0000),(232031968,0.0000),(232029619,0.0000),(232028889,0.0000),(231041337,0.0000),(231039893,0.0000),(232029134,0.0000),(232031657,0.0000),(232032329,0.0000),(231040506,0.0000),(231040555,0.0000),(232031299,0.0000),(232029210,0.0000),(231041327,0.0000),(231043669,0.0000),(231042305,0.0000),(231043822,0.0000),(231043443,0.0000),(231039764,0.0000),(231044929,0.0000),(231039708,0.0000)];[(242003768,0.0000),(231042721,0.0000),(232027832,0.0000),(232031870,0.0000),(232032256,0.0000)]
2;4;RANDOM_SELECTION;[(231039750,0.0000),(231039710,0.0000),(232030488,0.0000),(231041187,0.0000),(232029048,0.0000),(231042619,0.0000),(231040401,0.0000),(231041222,0.0000),(232031557,0.0000),(231043224,0.0000),(231039695,0.0000),(231042789,0.0000),(232030061,0.0000),(232032455,0.0000),(231045397,0.0000),(231040768,0.0000),(231043337,0.0000),(248018990,0.0000),(232030113,0.0000),(281000972,0.0000),(231041212,0.0000),(231045123,0.0000),(231042014,0.0000),(231043474,0.0000),(232031213,0.0000),(232031859,0.0000),(231041412,0.0000),(231040962,0.0000),(232028238,0.0000),(231045800,0.0000),(232031345,0.0000),(231041423,0.0000),(231042049,0.0000),(231040520,0.0000),(232029460,0.0000),(232031157,0.0000),(232031396,0.0000),(231042953,0.0000),(232030841,0.0000),(242003768,0.0000),(232031798,0.0000),(231042402,0.0000),(232029430,0.0000),(242002818,0.0000),(231040616,0.0000),(231045038,0.0000),(231039679,0.0000),(231040140,0.0000),(242003364,0.0000)];[(231039750,0.0000),(231039710,0.0000),(232030488,0.0000),(231041187,0.0000),(232029048,0.0000)]
2;5;RANDOM_SELECTION;[(231042099,0.0000),(400010219,0.0000),(232029038,0.0000),(232028431,0.0000),(231044431,0.0000),(232028768,0.0000),(232030663,0.0000),(231040801,0.0000),(232030599,0.0000),(231039648,0.0000),(232031609,0.0000),(232028873,0.0000),(232030443,0.0000),(235301046,0.0000),(232031514,0.0000),(231040325,0.0000),(231040605,0.0000),(232028176,0.0000),(231045526,0.0000),(232031131,0.0000),(232027459,0.0000),(231040730,0.0000),(231041132,0.0000),(232029557,0.0000),(231040979,0.0000),(231041650,0.0000),(232028670,0.0000),(231041425,0.0000),(231040421,0.0000),(232029799,0.0000),(231040826,0.0000),(232032041,0.0000),(232027576,0.0000),(231039702,0.0000),(232028608,0.0000),(231041568,0.0000),(232027664,0.0000),(231045833,0.0000),(231043925,0.0000),(231043537,0.0000),(231045104,0.0000),(231040742,0.0000),(232028944,0.0000),(232028321,0.0000),(232028105,0.0000),(400007807,0.0000),(231042352,0.0000),(231039975,0.0000),(231043698,0.0000),(232030698,0.0000)];[(231042099,0.0000),(400010219,0.0000),(232029038,0.0000),(232028431,0.0000),(231044431,0.0000)]
