=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.2;166.0;320.0;159.0;13.71088;2.7421763;313.0
1;1.0;RANDOM_SELECTION;0.2;162.0;336.0;163.0;12.651723;2.5303438;337.0
2;1.0;RANDOM_SELECTION;0.2;175.0;319.0;189.0;14.973773;2.9947538;333.0
3;1.0;RANDOM_SELECTION;0.2;157.0;333.0;145.0;13.733248;2.7466493;321.0
4;1.0;RANDOM_SELECTION;0.2;163.0;360.0;156.0;12.544394;2.5088792;353.0
5;1.0;RANDOM_SELECTION;0.2;163.0;331.0;181.0;11.3915205;2.2783043;349.0
6;1.0;RANDOM_SELECTION;0.2;183.0;309.0;185.0;13.852594;2.7705185;311.0
7;1.0;RANDOM_SELECTION;0.2;167.0;307.0;171.0;18.120096;3.6240194;311.0
8;1.0;RANDOM_SELECTION;0.2;181.0;353.0;168.0;14.016094;2.8032186;340.0
9;1.0;RANDOM_SELECTION;0.2;168.0;355.0;183.0;17.666708;3.533341;370.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.2;166.0;320.0;159.0;13.71088;2.7421763;313.0
1;1.0;RANDOM_SELECTION;0.2;162.0;336.0;163.0;12.651723;2.5303438;337.0
2;1.0;RANDOM_SELECTION;0.2;174.0;317.0;185.0;14.973773;2.9947538;328.0
3;1.0;RANDOM_SELECTION;0.2;152.0;324.0;142.0;13.329271;2.665854;314.0
4;1.0;RANDOM_SELECTION;0.2;159.0;353.0;154.0;12.334287;2.466858;348.0
5;1.0;RANDOM_SELECTION;0.2;160.0;326.0;179.0;10.98041;2.196082;345.0
6;1.0;RANDOM_SELECTION;0.2;180.0;304.0;183.0;13.745068;2.7490132;307.0
7;1.0;RANDOM_SELECTION;0.2;167.0;307.0;171.0;18.120096;3.6240194;311.0
8;1.0;RANDOM_SELECTION;0.2;181.0;353.0;168.0;14.016094;2.8032186;340.0
9;1.0;RANDOM_SELECTION;0.2;164.0;350.0;181.0;17.574669;3.5149329;367.0

0;0;RANDOM_SELECTION;[];[]
0;1;RANDOM_SELECTION;[];[]
0;2;RANDOM_SELECTION;[];[]
0;3;RANDOM_SELECTION;[];[]
0;4;RANDOM_SELECTION;[];[]
0;5;RANDOM_SELECTION;[];[]
0;6;RANDOM_SELECTION;[];[]
0;7;RANDOM_SELECTION;[];[]
0;8;RANDOM_SELECTION;[];[]
0;9;RANDOM_SELECTION;[];[]
1;0;RANDOM_SELECTION;[];[]
1;1;RANDOM_SELECTION;[(232031499,0.0000),(232028635,0.0000),(232029231,0.0000),(231042627,0.0000),(231042596,0.0000),(232027584,0.0000),(232031283,0.0000),(232032307,0.0000),(231044608,0.0000),(231045003,0.0000),(245017349,0.0000),(231039788,0.0000),(232029192,0.0000),(231045467,0.0000),(231040798,0.0000),(232028067,0.0000),(231043531,0.0000),(244071967,0.0000),(231041258,0.0000),(231040665,0.0000),(231042602,0.0000),(232030747,0.0000),(232029433,0.0000),(231045469,0.0000),(232030253,0.0000),(231042372,0.0000),(232030370,0.0000),(231043329,0.0000),(232032590,0.0000),(231042558,0.0000),(231043391,0.0000),(231040555,0.0000),(236002315,0.0000),(400001741,0.0000),(231043681,0.0000),(232028213,0.0000),(231040237,0.0000),(286019173,0.0000),(232029181,0.0000),(231039988,0.0000),(281000667,0.0000),(231041069,0.0000),(232029152,0.0000),(231043550,0.0000),(231040951,0.0000),(232029656,0.0000),(232031016,0.0000),(265000945,0.0000),(231045814,0.0000),(231040553,0.0000)];[(232031499,0.0000),(232028635,0.0000),(232029231,0.0000),(231042627,0.0000),(231042596,0.0000)]
1;2;RANDOM_SELECTION;[(231042147,0.0000),(281001007,0.0000),(231043233,0.0000),(232027553,0.0000),(242003691,0.0000),(231041931,0.0000),(244074619,0.0000),(231042660,0.0000),(232029246,0.0000),(231039787,0.0000),(231043295,0.0000),(232030554,0.0000),(231039898,0.0000),(242003420,0.0000),(232029542,0.0000),(232029671,0.0000),(231041763,0.0000),(232030787,0.0000),(231040360,0.0000),(231040485,0.0000),(231039986,0.0000),(400004872,0.0000),(231040979,0.0000),(231044490,0.0000),(231041324,0.0000),(232028824,0.0000),(245017968,0.0000),(232027729,0.0000),(231043289,0.0000),(232032402,0.0000),(231043130,0.0000),(232027982,0.0000),(232029663,0.0000),(231039862,0.0000),(231039807,0.0000),(232028972,0.0000),(231043639,0.0000),(232030039,0.0000),(232030833,0.0000),(231039934,0.0000),(231041573,0.0000),(232030127,0.0000),(231041943,0.0000),(232030097,0.0000),(232027885,0.0000),(242109102,0.0000),(231045200,0.0000),(231041750,0.0000),(244074910,0.0000),(232029934,0.0000)];[(231042147,0.0000),(281001007,0.0000),(231043233,0.0000),(232027553,0.0000),(242003691,0.0000)]
1;3;RANDOM_SELECTION;[(231039972,0.0000),(232029818,0.0000),(232027945,0.0000),(232029310,0.0000),(231042888,0.0000),(232028701,0.0000),(231040616,0.0000),(239016398,0.0000),(231040661,0.0000),(231040491,0.0000),(232027864,0.0000),(231040104,0.0000),(231041412,0.0000),(232029188,0.0000),(232030357,0.0000),(231042408,0.0000),(232032340,0.0000),(231040637,0.0000),(231043114,0.0000),(232032743,0.0000),(242108015,0.0000),(232030123,0.0000),(232027523,0.0000),(232030325,0.0000),(232028267,0.0000),(231040418,0.0000),(231043041,0.0000),(232030709,0.0000),(232031291,0.0000),(232028494,0.0000),(232031085,0.0000),(231039858,0.0000),(235813309,0.0000),(231040037,0.0000),(232027491,0.0000),(232028880,0.0000),(231043770,0.0000),(231040387,0.0000),(235814230,0.0000),(231040586,0.0000),(232029054,0.0000),(232030127,0.0000),(231040987,0.0000),(232030762,0.0000),(231043959,0.0000),(232029501,0.0000),(231044047,0.0000),(232028333,0.0000),(231044876,0.0000),(231039875,0.0000)];[(231039972,0.0000),(232029818,0.0000),(232027945,0.0000),(232029310,0.0000),(231042888,0.0000)]
1;4;RANDOM_SELECTION;[];[]
1;5;RANDOM_SELECTION;[(231041641,0.0000),(232028737,0.0000),(232030372,0.0000),(232032034,0.0000),(231042598,0.0000),(231040239,0.0000),(231042790,0.0000),(231043837,0.0000),(231043614,0.0000),(232028042,0.0000),(231040143,0.0000),(232030207,0.0000),(232032698,0.0000),(232029192,0.0000),(232032494,0.0000),(232027706,0.0000),(231042057,0.0000),(232029564,0.0000),(232028551,0.0000),(232031377,0.0000),(231041662,0.0000),(227001112,0.0000),(231042616,0.0000),(232029195,0.0000),(231042386,0.0000),(232030583,0.0000),(231039949,0.0000),(231040838,0.0000),(231040060,0.0000),(231040025,0.0000),(231041921,0.0000),(231041228,0.0000),(231041371,0.0000),(232028600,0.0000),(231040747,0.0000),(231040474,0.0000),(231043895,0.0000),(232029285,0.0000),(232028075,0.0000),(231044692,0.0000),(232027805,0.0000),(231040158,0.0000),(231044625,0.0000),(232030239,0.0000),(231042147,0.0000),(231045288,0.0000),(232029724,0.0000),(232032426,0.0000),(232027890,0.0000),(232032754,0.0000)];[(231041641,0.0000),(232028737,0.0000),(232030372,0.0000),(232032034,0.0000),(231042598,0.0000)]
1;6;RANDOM_SELECTION;[(232027814,0.0000),(231043935,0.0000),(231045005,0.0000),(400009750,0.0000),(231040637,0.0000),(232031303,0.0000),(231041525,0.0000),(231044793,0.0000),(232028104,0.0000),(231039874,0.0000),(231041045,0.0000),(231041420,0.0000),(265000952,0.0000),(232028654,0.0000),(231041653,0.0000),(231044110,0.0000),(232030783,0.0000),(232029375,0.0000),(231044751,0.0000),(231039680,0.0000),(232030302,0.0000),(231041776,0.0000),(231041988,0.0000),(232031432,0.0000),(242108520,0.0000),(232029583,0.0000),(232031318,0.0000),(231045254,0.0000),(400007930,0.0000),(231043729,0.0000),(232027780,0.0000),(232032698,0.0000),(232028607,0.0000),(232029288,0.0000),(231044241,0.0000),(232029037,0.0000),(231041842,0.0000),(297102727,0.0000),(232031832,0.0000),(231044161,0.0000),(231045310,0.0000),(232028170,0.0000),(231042016,0.0000),(231045684,0.0000),(231043087,0.0000),(232029090,0.0000),(232030795,0.0000),(232030371,0.0000),(232029025,0.0000),(232031506,0.0000)];[(232027814,0.0000),(231043935,0.0000),(231045005,0.0000),(400009750,0.0000),(231040637,0.0000)]
1;7;RANDOM_SELECTION;[(235814627,0.0000),(244075719,0.0000),(231044414,0.0000),(232027843,0.0000),(232030722,0.0000),(232030278,0.0000),(231044411,0.0000),(231040696,0.0000),(232030168,0.0000),(231040326,0.0000),(231040111,0.0000),(232030267,0.0000),(232030949,0.0000),(232031021,0.0000),(232028727,0.0000),(231041511,0.0000),(235813383,0.0000),(232030455,0.0000),(232030719,0.0000),(297103830,0.0000),(232028427,0.0000),(230000307,0.0000),(231043750,0.0000),(232030409,0.0000),(231043942,0.0000),(232028547,0.0000),(232027510,0.0000),(231041728,0.0000),(231045220,0.0000),(231041132,0.0000),(232029414,0.0000),(231045804,0.0000),(235812970,0.0000),(231043698,0.0000),(232029504,0.0000),(232028201,0.0000),(232030176,0.0000),(231039988,0.0000),(232027694,0.0000),(232029284,0.0000),(400009150,0.0000),(231041338,0.0000),(231041652,0.0000),(232031082,0.0000),(231039937,0.0000),(231042374,0.0000),(231041626,0.0000),(232028441,0.0000),(231042685,0.0000),(232030780,0.0000)];[(235814627,0.0000),(244075719,0.0000),(231044414,0.0000),(232027843,0.0000),(232030722,0.0000)]
1;8;RANDOM_SELECTION;[(231043374,0.0000),(231040660,0.0000),(286018224,0.0000),(231043998,0.0000),(232030795,0.0000),(232027725,0.0000),(232027811,0.0000),(231044017,0.0000),(231041194,0.0000),(232027852,0.0000),(231042595,0.0000),(231043749,0.0000),(400006871,0.0000),(232028079,0.0000),(231042836,0.0000),(231042508,0.0000),(400010604,0.0000),(231042471,0.0000),(232027463,0.0000),(232030706,0.0000),(291024308,0.0000),(231042224,0.0000),(232030817,0.0000),(231045352,0.0000),(232029760,0.0000),(231040417,0.0000),(232027743,0.0000),(231042173,0.0000),(232030846,0.0000),(231041161,0.0000),(242108509,0.0000),(248016555,0.0000),(232032092,0.0000),(232028447,0.0000),(239016596,0.0000),(231045784,0.0000),(231043958,0.0000),(281000665,0.0000),(231040865,0.0000),(400009643,0.0000),(231040928,0.0000),(400003883,0.0000),(231040233,0.0000),(231040948,0.0000),(231043252,0.0000),(232030640,0.0000),(231044935,0.0000),(400005764,0.0000),(232029267,0.0000),(231041930,0.0000)];[(231043374,0.0000),(231040660,0.0000),(286018224,0.0000),(231043998,0.0000),(232030795,0.0000)]
