=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.2;172.0;320.0;196.0;16.195057;3.2390103;344.0
1;1.0;RANDOM_SELECTION;0.2;163.0;309.0;176.0;15.293694;3.0587375;322.0
2;1.0;RANDOM_SELECTION;0.2;178.0;338.0;172.0;18.46772;3.6935434;332.0
3;1.0;RANDOM_SELECTION;0.2;170.0;329.0;186.0;14.79927;2.9598532;345.0
4;1.0;RANDOM_SELECTION;0.2;173.0;328.0;191.0;13.384076;2.6768155;346.0
5;1.0;RANDOM_SELECTION;0.2;173.0;325.0;155.0;13.529687;2.705937;307.0
6;1.0;RANDOM_SELECTION;0.2;160.0;361.0;166.0;14.781284;2.9562569;367.0
7;1.0;RANDOM_SELECTION;0.2;172.0;323.0;181.0;14.798856;2.9597712;332.0
8;1.0;RANDOM_SELECTION;0.2;181.0;343.0;171.0;14.760134;2.9520268;333.0
9;1.0;RANDOM_SELECTION;0.2;170.0;314.0;178.0;14.7537155;2.9507434;322.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.2;172.0;320.0;196.0;16.195057;3.2390103;344.0
1;1.0;RANDOM_SELECTION;0.2;163.0;309.0;176.0;15.293694;3.0587375;322.0
2;1.0;RANDOM_SELECTION;0.2;178.0;338.0;172.0;18.46772;3.6935434;332.0
3;1.0;RANDOM_SELECTION;0.2;170.0;329.0;186.0;14.79927;2.9598532;345.0
4;1.0;RANDOM_SELECTION;0.2;173.0;328.0;191.0;13.384076;2.6768155;346.0
5;1.0;RANDOM_SELECTION;0.2;173.0;325.0;155.0;13.529687;2.705937;307.0
6;1.0;RANDOM_SELECTION;0.2;160.0;361.0;166.0;14.781284;2.9562569;367.0
7;1.0;RANDOM_SELECTION;0.2;172.0;323.0;181.0;14.798856;2.9597712;332.0
8;1.0;RANDOM_SELECTION;0.2;181.0;343.0;171.0;14.760134;2.9520268;333.0
9;1.0;RANDOM_SELECTION;0.2;170.0;314.0;178.0;14.7537155;2.9507434;322.0

0;0;RANDOM_SELECTION;[];[]
0;1;RANDOM_SELECTION;[];[]
0;2;RANDOM_SELECTION;[];[]
0;3;RANDOM_SELECTION;[];[]
0;4;RANDOM_SELECTION;[];[]
0;5;RANDOM_SELECTION;[];[]
0;6;RANDOM_SELECTION;[];[]
0;7;RANDOM_SELECTION;[];[]
0;8;RANDOM_SELECTION;[];[]
0;9;RANDOM_SELECTION;[];[]
1;0;RANDOM_SELECTION;[(232028893,0.0000),(232027483,0.0000),(231044646,0.0000),(231040549,0.0000),(231041119,0.0000),(231041181,0.0000),(231044047,0.0000),(232030436,0.0000),(232032468,0.0000),(232031320,0.0000),(231043624,0.0000),(231043550,0.0000),(232029700,0.0000),(231040909,0.0000),(231044508,0.0000),(231039900,0.0000),(231040245,0.0000),(231041105,0.0000),(232030559,0.0000),(231043504,0.0000),(232029736,0.0000),(231041096,0.0000),(235814787,0.0000),(232029280,0.0000),(400001099,0.0000),(231045513,0.0000),(232028096,0.0000),(231043172,0.0000),(231040443,0.0000),(231039796,0.0000),(231039994,0.0000),(231042235,0.0000),(232029021,0.0000),(232029036,0.0000),(232029949,0.0000),(231041303,0.0000),(231043927,0.0000),(231041206,0.0000),(232029716,0.0000),(231039858,0.0000),(232029391,0.0000),(231042615,0.0000),(231040521,0.0000),(232028011,0.0000),(232030974,0.0000),(232028310,0.0000),(231039737,0.0000),(231041702,0.0000),(400000284,0.0000)];[(232028893,0.0000),(232027483,0.0000),(231044646,0.0000),(231040549,0.0000),(231041119,0.0000)]
1;1;RANDOM_SELECTION;[];[]
1;2;RANDOM_SELECTION;[(232030631,0.0000),(232029615,0.0000),(231039734,0.0000),(232030358,0.0000),(231044951,0.0000),(231040291,0.0000),(231041551,0.0000),(231044441,0.0000),(231042151,0.0000),(232032701,0.0000),(231039754,0.0000),(242002586,0.0000),(231041734,0.0000),(232032203,0.0000),(231041635,0.0000),(232028043,0.0000),(231040168,0.0000),(244074910,0.0000),(231041190,0.0000),(232031766,0.0000),(231044103,0.0000),(232031514,0.0000),(231041661,0.0000),(231044567,0.0000),(231043031,0.0000),(232028478,0.0000),(231039902,0.0000),(231043511,0.0000),(232032755,0.0000),(242108313,0.0000),(232028251,0.0000),(232028335,0.0000),(231042372,0.0000),(231041073,0.0000),(231042068,0.0000),(231041166,0.0000),(231041106,0.0000),(231043349,0.0000),(232030074,0.0000),(232028060,0.0000),(232031755,0.0000),(232029856,0.0000),(231040826,0.0000),(231039745,0.0000),(242108910,0.0000),(232031415,0.0000),(231043362,0.0000),(232031400,0.0000),(232030661,0.0000),(232028029,0.0000)];[(232030631,0.0000),(232029615,0.0000),(231039734,0.0000),(232030358,0.0000),(231044951,0.0000)]
1;3;RANDOM_SELECTION;[(231044764,0.0000),(231045096,0.0000),(231045483,0.0000),(232027621,0.0000),(231043088,0.0000),(231041837,0.0000),(232029914,0.0000),(232031526,0.0000),(231045860,0.0000),(232027846,0.0000),(231040942,0.0000),(232030450,0.0000),(232032003,0.0000),(232027768,0.0000),(231043269,0.0000),(231040642,0.0000),(232029614,0.0000),(232030353,0.0000),(232030412,0.0000),(231044648,0.0000),(231042718,0.0000),(232028720,0.0000),(232028135,0.0000),(232031242,0.0000),(231040534,0.0000),(232028474,0.0000),(231044509,0.0000),(232030917,0.0000),(231041089,0.0000),(231042669,0.0000),(242003633,0.0000),(231044343,0.0000),(231044774,0.0000),(231041759,0.0000),(231041395,0.0000),(231041660,0.0000),(231040743,0.0000),(242003113,0.0000),(242109280,0.0000),(232031732,0.0000),(232027625,0.0000),(231044414,0.0000),(232028047,0.0000),(232028156,0.0000),(231040554,0.0000),(232029020,0.0000),(232028002,0.0000),(231041667,0.0000),(232032219,0.0000),(231039795,0.0000)];[(231044764,0.0000),(231045096,0.0000),(231045483,0.0000),(232027621,0.0000),(231043088,0.0000)]
1;4;RANDOM_SELECTION;[];[]
1;5;RANDOM_SELECTION;[(231042849,0.0000),(232031809,0.0000),(232031213,0.0000),(232027507,0.0000),(232029537,0.0000),(232030045,0.0000),(231040522,0.0000),(232027839,0.0000),(232028421,0.0000),(231040591,0.0000),(231043029,0.0000),(232031687,0.0000),(231040422,0.0000),(232030254,0.0000),(232027491,0.0000),(231043979,0.0000),(231041135,0.0000),(231042433,0.0000),(232029270,0.0000),(231040168,0.0000),(231043172,0.0000),(231041363,0.0000),(231039810,0.0000),(232029983,0.0000),(232028916,0.0000),(231042678,0.0000),(232032345,0.0000),(231042278,0.0000),(231043968,0.0000),(232027738,0.0000),(244075445,0.0000),(232029099,0.0000),(231043895,0.0000),(231041299,0.0000),(231044516,0.0000),(231040763,0.0000),(232027538,0.0000),(231044130,0.0000),(232030729,0.0000),(232028077,0.0000),(231041051,0.0000),(400007044,0.0000),(232029430,0.0000),(231040041,0.0000),(231039829,0.0000),(232028588,0.0000),(231044741,0.0000),(232028468,0.0000),(232032092,0.0000),(232030127,0.0000)];[(231042849,0.0000),(232031809,0.0000),(232031213,0.0000),(232027507,0.0000),(232029537,0.0000)]
1;6;RANDOM_SELECTION;[(231039811,0.0000),(231042401,0.0000),(232030136,0.0000),(231043251,0.0000),(232032002,0.0000),(232028586,0.0000),(232029937,0.0000),(231041104,0.0000),(231040118,0.0000),(232031327,0.0000),(232029597,0.0000),(231044625,0.0000),(231041744,0.0000),(231040473,0.0000),(231045742,0.0000),(231042254,0.0000),(232030505,0.0000),(235812472,0.0000),(400005739,0.0000),(232032152,0.0000),(232028873,0.0000),(232030726,0.0000),(232030633,0.0000),(400000844,0.0000),(231042118,0.0000),(244075610,0.0000),(236002425,0.0000),(231040037,0.0000),(231044690,0.0000),(231040048,0.0000),(231043569,0.0000),(232030512,0.0000),(230000346,0.0000),(231039750,0.0000),(232027747,0.0000),(232028075,0.0000),(231042435,0.0000),(232027753,0.0000),(400007050,0.0000),(231043944,0.0000),(232031653,0.0000),(231043887,0.0000),(232029648,0.0000),(231040072,0.0000),(232028752,0.0000),(231040577,0.0000),(231040040,0.0000),(232027534,0.0000),(231039848,0.0000)];[(231039811,0.0000),(231042401,0.0000),(232030136,0.0000),(231043251,0.0000),(232032002,0.0000)]
1;7;RANDOM_SELECTION;[(297102561,0.0000),(231040387,0.0000),(231045453,0.0000),(231039987,0.0000),(231045700,0.0000),(232028091,0.0000),(232030796,0.0000),(231041752,0.0000),(231042681,0.0000),(231041669,0.0000),(232027641,0.0000),(231041293,0.0000),(231041760,0.0000),(232030440,0.0000),(232028517,0.0000),(231042097,0.0000),(232028150,0.0000),(231040649,0.0000),(231045542,0.0000),(232030430,0.0000),(231039756,0.0000),(232029154,0.0000),(231040409,0.0000),(232030306,0.0000),(231041773,0.0000),(286018924,0.0000),(232028245,0.0000),(231039919,0.0000),(281000664,0.0000),(232028624,0.0000),(231041277,0.0000),(232029260,0.0000),(232029524,0.0000),(232028968,0.0000),(231042697,0.0000),(232031960,0.0000),(231044315,0.0000),(231040256,0.0000),(232028842,0.0000),(232029112,0.0000),(242109860,0.0000),(231042100,0.0000),(231040658,0.0000),(239015350,0.0000),(232030046,0.0000),(231039723,0.0000),(232030252,0.0000),(232031080,0.0000),(231041695,0.0000),(232031518,0.0000)];[(297102561,0.0000),(231040387,0.0000),(231045453,0.0000),(231039987,0.0000),(231045700,0.0000)]
1;8;RANDOM_SELECTION;[];[]
1;9;RANDOM_SELECTION;[];[]
2;0;RANDOM_SELECTION;[(232028011,0.0000),(231041206,0.0000),(231043430,0.0000),(231041702,0.0000),(232030559,0.0000),(232029736,0.0000),(231043270,0.0000),(232031320,0.0000),(231040245,0.0000),(232029036,0.0000),(231039737,0.0000),(231045513,0.0000),(231044047,0.0000),(231045717,0.0000),(232027483,0.0000),(400001099,0.0000),(232029391,0.0000),(231042235,0.0000),(232029700,0.0000),(400000284,0.0000),(231040909,0.0000),(231043550,0.0000),(232027506,0.0000),(235814787,0.0000),(232028096,0.0000),(232030183,0.0000),(231040521,0.0000),(231040443,0.0000),(232027867,0.0000),(232029837,0.0000),(231043624,0.0000),(232029716,0.0000),(231044508,0.0000),(232030436,0.0000),(231043927,0.0000),(231041181,0.0000),(231040549,0.0000),(231041096,0.0000),(231039900,0.0000),(231039796,0.0000),(232029949,0.0000),(232032468,0.0000),(231041303,0.0000),(232029280,0.0000),(231039858,0.0000),(231043172,0.0000),(231043504,0.0000),(231041105,0.0000)];[(232028011,0.0000),(231041206,0.0000),(231043430,0.0000),(231041702,0.0000),(232030559,0.0000)]
