=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
2;2;PROB_MAGNITUDE;[(231040817,0.1756),(231043541,0.8566),(231041050,0.1039),(231040831,0.4624),(232029306,0.5341),(231041517,0.7133),(232028279,0.2115),(231041667,0.0484),(231041813,0.2123),(231043622,1.0000),(232031566,0.0217),(400007678,0.4624),(231039796,0.1140),(400000360,0.0681),(261001883,0.0358),(231043478,0.0986),(232029775,0.0323),(231041765,0.0276),(232032287,0.1219),(231042401,0.1039),(231039808,0.0860),(232030129,0.0143),(232028945,0.0169),(232028858,0.0681),(232028425,0.0346),(232030057,0.0323),(231045737,0.0215),(245018234,0.0481),(231040500,0.0146),(233087998,0.0228),(231041033,0.0969),(231044016,0.0323),(232031275,0.0860),(232030270,0.0069),(232032537,0.0007),(232028562,0.0080),(231044351,0.0143),(232027706,0.0072),(232031900,0.0014),(248016054,0.0058),(232032340,0.0036),(232031095,0.0114),(232027807,0.0015),(244075791,0.0046),(232029081,0.0044),(245017940,0.0007),(232028437,0.0000),(232030634,0.0000),(231041972,0.0000)];[(231040817,0.1756),(231043541,0.8566),(231041050,0.1039),(231040831,0.4624),(232029306,0.5341)]
2;3;PROB_MAGNITUDE;[(232028589,0.3548),(231041502,1.0000),(231040680,0.0202),(231040186,0.1039),(231042328,0.2115),(235814081,0.0460),(231041517,0.7133),(231039795,0.1756),(231043143,0.1039),(231042179,0.0394),(231041892,0.3548),(231040805,0.0072),(231041827,0.0502),(232029868,0.0502),(232028033,0.0108),(232028993,0.2294),(248016081,0.0104),(231040575,0.0401),(245018748,0.0438),(231045206,0.0323),(231040955,0.0207),(232027738,0.0271),(231043482,0.0502),(232030168,0.0358),(231044161,0.0132),(231040643,0.1039),(400008448,0.0323),(242003287,0.0225),(232027556,0.0143),(232027850,0.0323),(231045805,0.0233),(231041290,0.0082),(232030166,0.0098),(231040849,0.0108),(232028692,0.0014),(242109207,0.0042),(232029696,0.0086),(232030748,0.0085),(242002495,0.0043),(242108910,0.0024),(244074474,0.0106),(232027962,0.0033),(232028214,0.0026),(232027946,0.0040),(232027657,0.0009),(230000397,0.0000),(232030616,0.0000),(232030381,0.0000),(232031667,0.0000),(232031653,0.0000)];[(232028589,0.3548),(231041502,1.0000),(231040680,0.0202),(231040186,0.1039),(231042328,0.2115)]
2;4;PROB_MAGNITUDE;[(231040356,0.3548),(242108509,0.0759),(230000336,0.0393),(232031149,0.0958),(231039716,0.1398),(231039921,0.1756),(231040782,0.1756),(231039805,0.0323),(231039829,0.0932),(291024292,0.1183),(231040940,0.0696),(232030376,0.0956),(231040332,0.0685),(231039804,0.1039),(231044379,0.0239),(232027994,0.1039),(231040970,0.1756),(231040783,0.1935),(231041509,0.0323),(232029008,0.0860),(248019089,0.0199),(232030227,0.0331),(231039808,0.0860),(232027712,0.0323),(232030203,0.0173),(232028082,0.0586),(231042268,0.0323),(231041285,0.0394),(231040519,0.1039),(231042196,0.1039),(230000306,0.0505),(232028507,0.0236),(232032341,0.0088),(232030956,0.0343),(232027572,0.0215),(232029204,0.0502),(232027439,0.0085),(232028064,0.0194),(232027754,0.0108),(232031902,0.0021),(232029090,0.0072),(231040444,0.0036),(232027984,0.0161),(232029790,0.0061),(286019645,0.0016),(232029388,0.0089),(232029444,0.0038),(232032048,0.0029),(232029566,0.0015),(400001847,0.0000)];[(231040356,0.3548),(242108509,0.0759),(230000336,0.0393),(232031149,0.0958),(231039716,0.1398)]
2;5;PROB_MAGNITUDE;[(231040330,0.0806),(232030635,0.0323),(232028573,0.1756),(231042010,0.6416),(231040403,0.0215),(232028815,0.0502),(231044435,0.0308),(231039887,0.1756),(232028294,0.0418),(232028287,0.2652),(231042381,0.0036),(231044048,0.1039),(231040855,0.1039),(232030249,0.0173),(232030475,0.1398),(232032449,0.0860),(231040789,0.0323),(231042281,0.0251),(232028917,0.1756),(231043461,0.0394),(232030449,0.0287),(231040560,0.1039),(231040968,0.0430),(231040840,0.1039),(232027604,0.0681),(231045873,0.0323),(232029509,0.1280),(281000664,0.0102),(232031103,0.0323),(231045273,0.1756),(232031962,0.0637),(232031664,0.0024),(232031361,0.0046),(232029118,0.0860),(232028156,0.0418),(231041781,0.0323),(232028730,0.0018),(231039958,0.0323),(231043039,0.0536),(232030423,0.0251),(232031943,0.0538),(231042007,0.0151),(232028444,0.0016),(232031898,0.0028),(231044503,0.0251),(232030795,0.0024),(232028230,0.0064),(235812936,0.0103),(231042885,0.0257),(239016104,0.0069)];[(231040330,0.0806),(232030635,0.0323),(232028573,0.1756),(231042010,0.6416),(231040403,0.0215)]
2;6;PROB_MAGNITUDE;[(231040097,0.4265),(231040655,0.1756),(232028701,0.0323),(231044304,0.1039),(231041877,0.1014),(231040508,0.0645),(231039640,0.0457),(231041633,0.3548),(231040199,0.1756),(231039835,0.1398),(231041756,0.0475),(231042267,0.1756),(232030193,0.0323),(231043166,0.0323),(232028190,0.0982),(231043090,0.1756),(231040248,0.0143),(231040858,0.0860),(261001499,0.0337),(248015879,0.0128),(232028844,0.0143),(231044037,0.1756),(231042421,0.0394),(232030045,0.0177),(281000970,0.0045),(231041026,0.0166),(231041016,0.0323),(231042271,0.0251),(232030702,0.0143),(232031668,0.0681),(232032377,0.0019),(231042736,0.0502),(231040791,0.0226),(232030551,0.0073),(231041745,0.0179),(232030208,0.0090),(232030581,0.0502),(233087998,0.0228),(235813778,0.0102),(231039747,0.0186),(232029600,0.0143),(232028942,0.0031),(232027911,0.0048),(232029871,0.0053),(231039995,0.0143),(231041289,0.0168),(232029623,0.0000),(232027820,0.0000),(232028347,0.0000),(232031968,0.0000)];[(231040097,0.4265),(231040655,0.1756),(232028701,0.0323),(231044304,0.1039),(231041877,0.1014)]
2;7;PROB_MAGNITUDE;[(231040825,1.0000),(231044844,0.0502),(231039764,0.3548),(231041351,0.2115),(231041554,0.0480),(244071025,1.0000),(244068557,0.2290),(231044364,0.1756),(231039799,0.1756),(232031037,0.0330),(232028667,0.0351),(231043987,0.0323),(231042607,0.2115),(231042946,0.1756),(231039760,0.1756),(231043730,0.0297),(232029015,0.1756),(231040682,0.0681),(231041756,0.0475),(231042241,0.0143),(232031330,0.0860),(231042602,0.2652),(231040763,0.0269),(232028694,0.0418),(232029349,0.1039),(231043105,0.0502),(231040093,0.1756),(231041353,0.1756),(231045358,0.0631),(232028124,0.0520),(232031304,0.0323),(231040798,0.0179),(231040211,0.0179),(232027645,0.0342),(232032538,0.0323),(400001815,0.0268),(231043531,0.0233),(232029664,0.0066),(231045126,0.0140),(248019669,0.0120),(231045805,0.0233),(231040759,0.0203),(232027662,0.0018),(231041692,0.0030),(248016556,0.0076),(232027999,0.0037),(231039929,0.0036),(232030411,0.0018)];[(231040825,1.0000),(231044844,0.0502),(231039764,0.3548),(231041351,0.2115),(231041554,0.0480)]
2;8;PROB_MAGNITUDE;[(231041368,0.1935),(231043326,0.2920),(231040191,0.0263),(231043273,0.3548),(231045510,0.1039),(231041821,0.2939),(231044656,0.1398),(232031020,0.3548),(231039987,0.1219),(232032665,0.0323),(231041224,0.0466),(232029892,0.0243),(231039688,0.2222),(232031691,0.0544),(232027993,0.1039),(231043233,0.0860),(231042100,0.1398),(231040094,0.0502),(231042724,0.0323),(232032160,0.0009),(231042052,0.0358),(232028434,0.0401),(231042449,0.0200),(232031300,0.0681),(231039656,0.0645),(232028349,0.0131),(400000890,0.0143),(231045004,0.0479),(232029179,0.0277),(232027918,0.0609),(231044267,0.0161),(290006865,0.0274),(231040551,0.0323),(232028598,0.0323),(235812577,0.0073),(231042061,0.0143),(231040765,0.0502),(232028458,0.0228),(232030530,0.0062),(242108720,0.0050),(232027590,0.0084),(232031070,0.0059),(231040909,0.0081),(232029380,0.0007),(232031751,0.0045),(231045330,0.0013),(232031110,0.0032),(232030747,0.0005),(232029860,0.0000),(231040102,0.0000)];[(231041368,0.1935),(231043326,0.2920),(231040191,0.0263),(231043273,0.3548),(231045510,0.1039)]
2;9;PROB_MAGNITUDE;[(231041590,0.3011),(231043830,0.2832),(231039730,0.0544),(231040080,1.0000),(231040735,0.5878),(231039786,0.0771),(231041924,0.1929),(231041327,0.0502),(231043726,0.2975),(231045126,0.0140),(231045192,0.0231),(231040587,0.0143),(232028296,0.0072),(231039888,0.2473),(232029857,0.0295),(231043967,0.0338),(231041153,0.1756),(231043275,0.3227),(232029775,0.0323),(231040069,0.0213),(231040324,0.0170),(291024292,0.1183),(232027504,0.0502),(231045805,0.0233),(231039863,0.0301),(231039679,0.0502),(231043583,0.0323),(231041738,0.0824),(232027846,0.0502),(232027439,0.0085),(286017526,0.0182),(231043233,0.0860),(231040766,0.0323),(232030808,0.0323),(232028031,0.0259),(232032453,0.0323),(232031009,0.0251),(261001886,0.0466),(232028712,0.0173),(232028319,0.0108),(232030751,0.0341),(232030790,0.0108),(231041482,0.0036),(400003322,0.0075),(232027529,0.0072),(232029879,0.0101),(232029928,0.0015),(232030953,0.0006),(232027478,0.0017),(232032621,0.0000)];[(231041590,0.3011),(231043830,0.2832),(231039730,0.0544),(231040080,1.0000),(231040735,0.5878)]
3;0;PROB_MAGNITUDE;[(231040928,0.0860),(231041004,0.2115),(231041424,1.0000),(231045327,0.1398),(231041073,0.0681),(231040141,0.1756),(231044075,0.1039),(231040091,0.2455),(231040491,0.8029),(231041991,0.1017),(231040845,0.1756),(231040519,0.1039),(231039637,0.1577),(242108731,0.0330),(232028621,0.1541),(231043151,0.0792),(231044438,0.0502),(231043016,0.0789),(231039857,0.3100),(231043090,0.1756),(231044334,0.0502),(232028275,0.0201),(231039842,0.1756),(232029567,0.0573),(231044158,0.0323),(231040913,0.1254),(231044656,0.1398),(231040303,0.0179),(231042484,0.0860),(231041894,0.0167),(231042509,0.0323),(232028901,0.0101),(242108138,0.0278),(286019173,0.0108),(231043359,0.0681),(232029054,0.0183),(232031230,0.0263),(231042174,0.0502),(232031103,0.0323),(232030380,0.0251),(232030384,0.0100),(231041862,0.0072),(245018495,0.0049),(231043181,0.0196),(232032539,0.0073),(242002585,0.0021),(231041029,0.0014),(232028904,0.0000),(232030392,0.0000),(232032133,0.0000)];[(231040928,0.0860),(231041004,0.2115),(231041424,1.0000),(231045327,0.1398),(231041073,0.0681)]
3;1;PROB_MAGNITUDE;[(231041240,0.1039),(231041981,0.6308),(231042375,0.1756),(400001477,0.0323),(232028907,0.0394),(231045292,0.0681),(232028170,0.0323),(232031840,0.1756),(232030552,0.0700),(231043830,0.2832),(232028922,0.0050),(232029285,0.1853),(232031251,0.0414),(231043497,0.0323),(232031399,0.0142),(244074258,0.0320),(231043138,0.0681),(231044829,0.2473),(231042889,0.0323),(231042525,0.0323),(231043620,0.0323),(231039679,0.0502),(231042785,0.0502),(231044328,0.0323),(231040948,0.0179),(232031082,0.0860),(232028774,0.0222),(231044312,0.0466),(231040194,0.1039),(232028677,0.0181),(232029142,0.0323),(232028522,0.0030),(231043756,0.0206),(231043052,0.1004),(232029054,0.0183),(232027556,0.0143),(231040026,0.0089),(231041512,0.0161),(232029303,0.0143),(231042411,0.0075),(232029055,0.0024),(232030255,0.0143),(231039811,0.0036),(248016104,0.0082),(232032377,0.0019),(235813770,0.0018),(232028343,0.0000),(232028477,0.0000),(231043176,0.0000),(232030788,0.0000)];[(231041240,0.1039),(231041981,0.6308),(231042375,0.1756),(400001477,0.0323),(232028907,0.0394)]
