=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;PROB_EXPECTED_VALUE;0.2;171.0;299.0;181.0;26.614014;5.3228025;309.0
1;1.0;PROB_EXPECTED_VALUE;0.2;168.0;341.0;164.0;32.411476;6.482295;337.0
2;1.0;PROB_EXPECTED_VALUE;0.2;169.0;347.0;179.0;32.055004;6.410999;357.0
3;1.0;PROB_EXPECTED_VALUE;0.2;161.0;343.0;173.0;30.575123;6.115026;355.0
4;1.0;PROB_EXPECTED_VALUE;0.2;169.0;311.0;187.0;31.798994;6.359798;329.0
5;1.0;PROB_EXPECTED_VALUE;0.2;156.0;324.0;162.0;30.00965;6.0019293;330.0
6;1.0;PROB_EXPECTED_VALUE;0.2;157.0;319.0;164.0;26.48183;5.296367;326.0
7;1.0;PROB_EXPECTED_VALUE;0.2;168.0;336.0;155.0;31.051062;6.2102113;323.0
8;1.0;PROB_EXPECTED_VALUE;0.2;165.0;315.0;186.0;27.388483;5.4776964;336.0
9;1.0;PROB_EXPECTED_VALUE;0.2;163.0;330.0;193.0;23.955614;4.7911224;360.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;PROB_EXPECTED_VALUE;0.2;171.0;299.0;181.0;26.614014;5.3228025;309.0
1;1.0;PROB_EXPECTED_VALUE;0.2;168.0;341.0;164.0;32.411476;6.482295;337.0
2;1.0;PROB_EXPECTED_VALUE;0.2;169.0;347.0;179.0;32.055004;6.410999;357.0
3;1.0;PROB_EXPECTED_VALUE;0.2;161.0;343.0;173.0;30.575123;6.115026;355.0
4;1.0;PROB_EXPECTED_VALUE;0.2;169.0;311.0;187.0;31.798994;6.359798;329.0
5;1.0;PROB_EXPECTED_VALUE;0.2;156.0;324.0;162.0;30.00965;6.0019293;330.0
6;1.0;PROB_EXPECTED_VALUE;0.2;157.0;319.0;164.0;26.48183;5.296367;326.0
7;1.0;PROB_EXPECTED_VALUE;0.2;168.0;336.0;155.0;31.051062;6.2102113;323.0
8;1.0;PROB_EXPECTED_VALUE;0.2;165.0;315.0;186.0;27.388483;5.4776964;336.0
9;1.0;PROB_EXPECTED_VALUE;0.2;163.0;330.0;193.0;23.955614;4.7911224;360.0

0;0;PROB_EXPECTED_VALUE;[];[]
0;1;PROB_EXPECTED_VALUE;[];[]
0;2;PROB_EXPECTED_VALUE;[];[]
0;3;PROB_EXPECTED_VALUE;[];[]
0;4;PROB_EXPECTED_VALUE;[];[]
0;5;PROB_EXPECTED_VALUE;[];[]
0;6;PROB_EXPECTED_VALUE;[];[]
0;7;PROB_EXPECTED_VALUE;[];[]
0;8;PROB_EXPECTED_VALUE;[];[]
0;9;PROB_EXPECTED_VALUE;[];[]
1;0;PROB_EXPECTED_VALUE;[(231040064,0.5135),(232027714,0.1513),(232030482,0.0564),(231039742,0.0809),(232031964,0.0462),(231040591,0.0226),(231040266,0.2147),(231040639,0.0117),(232027922,0.0498),(231041256,0.1045),(232030879,0.0360),(232028305,0.0328),(232030547,0.0139),(232027555,0.0735),(231041875,0.0685),(232027994,0.0507),(231039894,0.0701),(231039686,0.0850),(232030097,0.0145),(231040798,0.0091),(232029840,0.0520),(231040162,0.0296),(231041824,0.0880),(231043052,0.0587),(231040699,0.0217),(231040947,0.0578),(232028026,0.0157),(231041734,0.0252),(232030751,0.0180),(231043775,0.0228),(232029998,0.0048),(231041700,0.0131),(400000963,0.0060),(231042714,0.0281),(232029551,0.0071),(232031045,0.0039),(232027960,0.0007),(231040139,0.0150),(231040069,0.0114),(231042468,0.0060),(281000665,0.0019),(232029238,0.0012),(232029573,0.0032),(232027914,0.0009),(232029696,0.0034),(232029882,0.0042),(232032155,0.0001),(232027682,0.0000),(231039877,0.0000)];[(231040064,0.5135),(232027714,0.1513),(232030482,0.0564),(231039742,0.0809),(232031964,0.0462)]
1;1;PROB_EXPECTED_VALUE;[(231039919,0.4453),(231039987,0.0713),(231039844,0.0903),(232028150,0.0335),(232029112,0.0270),(231041773,0.0393),(231042100,0.0809),(232030306,0.0714),(232028517,0.0308),(231041760,0.0303),(231045453,0.0663),(232029075,0.0313),(231040658,0.0830),(232029890,0.0266),(231041752,0.0328),(231040256,0.0263),(232029195,0.0015),(232028968,0.0994),(231042097,0.0554),(231044315,0.0739),(232029524,0.0228),(231040649,0.0204),(232028245,0.0303),(231040387,0.0541),(231041277,0.0009),(232028624,0.0033),(231045542,0.0322),(232030430,0.0259),(231043431,0.0327),(232028656,0.0363),(232031080,0.0371),(232031960,0.0025),(231041293,0.0377),(242109333,0.0462),(232031009,0.0106),(232030252,0.0236),(231045700,0.0279),(239015350,0.0113),(231039723,0.0083),(231042681,0.0025),(232030046,0.0012),(231042697,0.0063),(286018924,0.0031),(281000664,0.0054),(231042387,0.0045),(242109860,0.0043),(232031233,0.0007),(231044710,0.0031),(232031518,0.0000),(232029260,0.0000)];[(231039919,0.4453),(231039987,0.0713),(231039844,0.0903),(232028150,0.0335),(232029112,0.0270)]
1;2;PROB_EXPECTED_VALUE;[(231044774,0.1906),(231040665,0.1044),(231045483,0.5169),(232027621,0.0842),(231043825,0.0585),(232027600,0.0598),(232031526,0.0324),(231040163,0.0192),(231041759,0.0705),(231040534,0.0874),(231041089,0.0090),(232030412,0.0386),(231040153,0.0061),(231040743,0.0425),(231041667,0.0228),(231039795,0.0731),(232029110,0.0231),(231044648,0.1792),(231043269,0.1876),(231043088,0.1713),(231040642,0.0332),(232029189,0.0069),(231044509,0.0271),(232028156,0.0231),(232031465,0.0438),(232030917,0.0096),(232029020,0.0293),(231041660,0.0137),(232029273,0.0081),(231042669,0.0220),(232032003,0.0122),(232032219,0.0102),(232027846,0.0205),(232027768,0.0320),(400000963,0.0065),(231041395,0.0068),(232028002,0.0172),(232030271,0.0152),(231045860,0.0047),(232029914,0.0056),(231044414,0.0047),(231040493,0.0142),(232028720,0.0005),(242109280,0.0033),(232029577,0.0018),(232030353,0.0014),(232029614,0.0023),(242003113,0.0011),(242002966,0.0020),(232028047,0.0000)];[(231044774,0.1906),(231040665,0.1044),(231045483,0.5169),(232027621,0.0842),(231043825,0.0585)]
1;3;PROB_EXPECTED_VALUE;[];[]
1;4;PROB_EXPECTED_VALUE;[(231040802,0.0784),(231043956,0.4255),(231041493,0.0986),(231042313,0.0278),(231041214,0.1455),(231040947,0.0589),(232031977,0.0919),(231041253,0.3628),(232028923,0.0246),(231044034,0.0421),(231042620,0.0286),(231040487,0.0284),(231041161,0.0066),(232029747,0.0306),(231042244,0.0235),(231040250,0.0163),(400001686,0.0113),(232029282,0.0088),(261001891,0.0179),(235814955,0.0027),(232028717,0.0142),(231041096,0.0134),(232028331,0.0081),(232030569,0.0070),(232029627,0.0055),(231043620,0.0128),(231041558,0.0098),(244074896,0.0254),(232028039,0.0056),(231044338,0.0243),(231040533,0.0062),(232032314,0.0070),(231044351,0.0079),(231040585,0.0023),(232027647,0.0029),(231041925,0.0093),(231043625,0.0062),(231045265,0.0043),(232030502,0.0022),(235813778,0.0047),(232029945,0.0031),(232031666,0.0003),(232032360,0.0013),(232032001,0.0005),(235814079,0.0011),(232030859,0.0009),(232031734,0.0003),(232027576,0.0000),(232030827,0.0000),(232030381,0.0000)];[(231040802,0.0784),(231043956,0.4255),(231041493,0.0986),(231042313,0.0278),(231041214,0.1455)]
1;5;PROB_EXPECTED_VALUE;[];[]
1;6;PROB_EXPECTED_VALUE;[(231040194,0.0493),(232029128,0.2286),(231042435,0.0453),(231042472,0.0850),(231041003,0.1221),(231043503,0.0088),(231039720,0.4204),(231043816,0.0181),(231042976,0.1939),(232031280,0.0384),(232027860,0.2646),(232030640,0.0890),(231042362,0.1475),(231040454,0.1268),(231041814,0.0238),(231040962,0.0063),(231045565,0.0220),(231040810,0.0412),(232027767,0.0434),(232032665,0.0154),(231040707,0.0204),(231042470,0.0385),(232029675,0.0068),(232030658,0.0415),(232028137,0.0410),(231039678,0.0142),(232028232,0.0063),(231043099,0.0282),(231040076,0.0402),(297103297,0.0861),(231042573,0.0111),(231041072,0.0162),(232027449,0.0099),(231040234,0.0108),(232027996,0.0192),(232029194,0.0024),(232029731,0.0175),(231044202,0.0185),(232031016,0.0006),(232029523,0.0038),(232029270,0.0024),(231040920,0.0010),(231040359,0.0015),(232031916,0.0017),(231039924,0.0013),(235812970,0.0018),(231042338,0.0008),(232030807,0.0000),(242108281,0.0000),(232030198,0.0000)];[(231040194,0.0493),(232029128,0.2286),(231042435,0.0453),(231042472,0.0850),(231041003,0.1221)]
1;7;PROB_EXPECTED_VALUE;[];[]
1;8;PROB_EXPECTED_VALUE;[(231040244,0.0881),(231041919,0.0348),(231042439,0.0646),(231045526,0.0646),(231042345,0.0189),(232029837,0.0450),(231043641,0.0172),(231042605,0.0820),(231041965,0.0126),(231040816,0.0488),(231041008,0.0711),(231044925,0.0791),(232028426,0.0317),(232030275,0.0168),(231045458,0.0131),(231041813,0.0873),(231045662,0.0171),(231041511,0.0620),(232030506,0.0769),(231043793,0.0921),(231041535,0.0274),(231045158,0.0444),(231039939,0.0173),(231040855,0.0514),(242003056,0.0012),(232031522,0.0201),(400005764,0.0129),(231043457,0.0084),(231043177,0.0225),(286019974,0.0166),(232031554,0.0070),(231043133,0.0402),(231045717,0.0273),(231040988,0.0082),(232031833,0.0038),(231040478,0.0118),(231042271,0.0133),(232028201,0.0016),(235812513,0.0213),(231039723,0.0072),(231041248,0.0079),(232027883,0.0066),(232030920,0.0038),(232031196,0.0019),(231040826,0.0077),(231044407,0.0005),(232031228,0.0031),(232031359,0.0013),(232030015,0.0000)];[(231040244,0.0881),(231041919,0.0342),(231042439,0.0646),(231045526,0.0646),(231042345,0.0189)]
1;9;PROB_EXPECTED_VALUE;[];[]
