=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;HIGHEST_EXPECTED_VALUE;0.4;176.0;302.0;178.0;31.163504;6.2327003;304.0
1;1.0;HIGHEST_EXPECTED_VALUE;0.4;171.0;357.0;163.0;36.620316;7.3240623;349.0
2;1.0;HIGHEST_EXPECTED_VALUE;0.4;177.0;358.0;164.0;31.570671;6.3141336;345.0
3;1.0;HIGHEST_EXPECTED_VALUE;0.4;154.0;311.0;151.0;35.510895;7.1021795;308.0
4;1.0;HIGHEST_EXPECTED_VALUE;0.4;183.0;337.0;173.0;30.963614;6.192724;327.0
5;1.0;HIGHEST_EXPECTED_VALUE;0.4;166.0;331.0;152.0;33.5391;6.70782;317.0
6;1.0;HIGHEST_EXPECTED_VALUE;0.4;178.0;339.0;181.0;32.95637;6.5912747;342.0
7;1.0;HIGHEST_EXPECTED_VALUE;0.4;160.0;329.0;174.0;36.107178;7.2214365;343.0
8;1.0;HIGHEST_EXPECTED_VALUE;0.4;170.0;329.0;167.0;33.234634;6.6469254;326.0
9;1.0;HIGHEST_EXPECTED_VALUE;0.4;160.0;349.0;163.0;38.999138;7.799827;352.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;HIGHEST_EXPECTED_VALUE;0.4;174.0;296.0;177.0;30.573149;6.1146293;299.0
1;1.0;HIGHEST_EXPECTED_VALUE;0.4;167.0;348.0;160.0;36.102394;7.220478;341.0
2;1.0;HIGHEST_EXPECTED_VALUE;0.4;177.0;358.0;164.0;31.570671;6.3141336;345.0
3;1.0;HIGHEST_EXPECTED_VALUE;0.4;152.0;310.0;149.0;34.066452;6.8132906;307.0
4;1.0;HIGHEST_EXPECTED_VALUE;0.4;183.0;337.0;173.0;30.963614;6.192724;327.0
5;1.0;HIGHEST_EXPECTED_VALUE;0.4;166.0;331.0;152.0;33.5391;6.70782;317.0
6;1.0;HIGHEST_EXPECTED_VALUE;0.4;173.0;333.0;178.0;31.716743;6.343349;338.0
7;1.0;HIGHEST_EXPECTED_VALUE;0.4;157.0;323.0;172.0;35.705746;7.1411495;338.0
8;1.0;HIGHEST_EXPECTED_VALUE;0.4;167.0;325.0;164.0;32.898327;6.5796638;322.0
9;1.0;HIGHEST_EXPECTED_VALUE;0.4;160.0;349.0;163.0;38.999138;7.799827;352.0

0;0;HIGHEST_EXPECTED_VALUE;[];[]
0;1;HIGHEST_EXPECTED_VALUE;[];[]
0;2;HIGHEST_EXPECTED_VALUE;[];[]
0;3;HIGHEST_EXPECTED_VALUE;[];[]
0;4;HIGHEST_EXPECTED_VALUE;[];[]
0;5;HIGHEST_EXPECTED_VALUE;[];[]
0;6;HIGHEST_EXPECTED_VALUE;[];[]
0;7;HIGHEST_EXPECTED_VALUE;[];[]
0;8;HIGHEST_EXPECTED_VALUE;[];[]
0;9;HIGHEST_EXPECTED_VALUE;[];[]
1;0;HIGHEST_EXPECTED_VALUE;[];[]
1;1;HIGHEST_EXPECTED_VALUE;[(231041231,0.4040),(231043956,0.2782),(231041594,0.1414),(231039944,0.1166),(231040326,0.0753),(231043750,0.0884),(232030943,0.0793),(231041331,0.0588),(231040666,0.0464),(231040251,0.0660),(231041801,0.0440),(231039940,0.0656),(232032278,0.0525),(231042033,0.0300),(231040173,0.0314),(232027660,0.0348),(232029116,0.0278),(400006691,0.0207),(231044753,0.0192),(232030967,0.0192),(231041785,0.0189),(231042198,0.0145),(232031981,0.0108),(231040763,0.0119),(231045804,0.0089),(232027572,0.0106),(232029438,0.0115),(231043910,0.0089),(242108757,0.0079),(231040314,0.0062),(231040826,0.0070),(231043518,0.0067),(231043985,0.0092),(232030080,0.0090),(232028572,0.0091),(232030557,0.0081),(242002994,0.0078),(232027550,0.0069),(231040220,0.0056),(232029313,0.0049),(232028637,0.0022),(231042583,0.0022),(231044659,0.0012),(231042369,0.0024),(232028055,0.0015),(232028322,0.0010),(235813386,0.0007),(232030722,0.0011),(232027921,0.0000),(232031924,0.0000)];[(231041231,0.4040),(231043956,0.2782),(231041594,0.1414),(231039944,0.1166),(231040326,0.0753)]
1;2;HIGHEST_EXPECTED_VALUE;[(232032159,0.2118),(231041411,0.1104),(231042905,0.0548),(232029749,0.0821),(232028178,0.0473),(231041357,0.0732),(231040316,0.0270),(231044274,0.0256),(232027499,0.0419),(232028810,0.0453),(231040653,0.0314),(231042981,0.0168),(231041327,0.0237),(232029048,0.0209),(232028875,0.0288),(231042961,0.0178),(232031447,0.0178),(231039654,0.0271),(232030006,0.0241),(232028170,0.0209),(231041544,0.0147),(231043987,0.0154),(231040413,0.0159),(231042651,0.0076),(231043531,0.0150),(232030322,0.0128),(231040791,0.0122),(232031404,0.0132),(232031755,0.0069),(297102715,0.0077),(231042403,0.0074),(231045361,0.0061),(231042468,0.0083),(232028572,0.0048),(231045375,0.0052),(231043986,0.0054),(400000890,0.0059),(242108516,0.0073),(232031609,0.0072),(232031228,0.0017),(232029847,0.0024),(242002966,0.0019),(235813309,0.0016),(231040001,0.0000),(281000666,0.0000),(232030132,0.0000),(232031279,0.0000),(231044290,0.0000),(232030535,0.0000),(232031021,0.0000)];[(232032159,0.2118),(231041411,0.1104),(231042905,0.0548),(232029749,0.0821),(232028178,0.0473)]
1;3;HIGHEST_EXPECTED_VALUE;[(231042617,0.6371),(231041918,0.5993),(231043793,0.1407),(231040367,0.0694),(231042682,0.0918),(231044002,0.0815),(232031996,0.0884),(231043178,0.0745),(232028621,0.0912),(207009835,0.0489),(231041257,0.0524),(231040456,0.0675),(231045615,0.0437),(231044205,0.0249),(231045264,0.0263),(231040609,0.0385),(400006691,0.0186),(232027711,0.0306),(231044418,0.0291),(232029919,0.0230),(231041889,0.0273),(231040241,0.0189),(231039695,0.0150),(261001499,0.0200),(232027861,0.0097),(231042076,0.0104),(232027732,0.0218),(231039669,0.0147),(232031981,0.0173),(231041135,0.0105),(232027834,0.0135),(232031566,0.0096),(244074912,0.0137),(232031747,0.0086),(231041161,0.0057),(232030154,0.0081),(231040037,0.0058),(245018982,0.0074),(242003200,0.0064),(232031345,0.0062),(232029059,0.0060),(231041642,0.0058),(231043919,0.0041),(232027776,0.0037),(244075558,0.0020),(242108614,0.0012),(232029680,0.0016),(242108857,0.0002),(232032451,0.0002),(248016823,0.0000)];[(231042617,0.6371),(231041918,0.5993),(231043793,0.1407),(231040367,0.0694),(231042682,0.0918)]
1;4;HIGHEST_EXPECTED_VALUE;[];[]
1;5;HIGHEST_EXPECTED_VALUE;[(231041636,0.2490),(231043680,0.2565),(231040727,0.2183),(231041393,0.1121),(231040526,0.1614),(231040869,0.1730),(231041107,0.0802),(231040255,0.0603),(232027600,0.0639),(232029958,0.0608),(231045356,0.0480),(231040840,0.0644),(231041430,0.0446),(232030763,0.0293),(231043653,0.0439),(232031207,0.0386),(231040736,0.0226),(231040015,0.0236),(231041535,0.0249),(231042785,0.0175),(231042300,0.0177),(232030581,0.0332),(231044441,0.0268),(231044538,0.0161),(231044420,0.0198),(231042278,0.0179),(231042199,0.0266),(231040163,0.0173),(232029765,0.0167),(231042892,0.0215),(232028196,0.0106),(400003129,0.0169),(232030504,0.0158),(231039863,0.0138),(232031311,0.0106),(231045434,0.0095),(232030431,0.0123),(231041859,0.0072),(231045020,0.0066),(232028883,0.0078),(231040180,0.0092),(231039854,0.0053),(231042411,0.0034),(242003806,0.0022),(232029780,0.0020),(232031210,0.0014),(235813383,0.0015),(242108635,0.0006),(231039707,0.0000),(232031540,0.0000)];[(231041636,0.2490),(231043680,0.2565),(231040727,0.2183),(231041393,0.1121),(231040526,0.1614)]
1;6;HIGHEST_EXPECTED_VALUE;[(231039820,0.3565),(231040254,0.4486),(231041890,0.2358),(231040245,0.1239),(231043022,0.1403),(231043603,0.1097),(231039641,0.0966),(232028404,0.0726),(232027578,0.0737),(231043172,0.0507),(231041643,0.0718),(232028379,0.0378),(232031330,0.0532),(297102602,0.0303),(231040341,0.0250),(231040072,0.0167),(231043228,0.0235),(231040968,0.0139),(232029485,0.0198),(232031523,0.0119),(232030232,0.0162),(232027996,0.0211),(231040105,0.0212),(232028068,0.0116),(286014997,0.0167),(232032194,0.0200),(232027685,0.0177),(231040780,0.0134),(232027591,0.0104),(232028895,0.0075),(231044309,0.0120),(232030571,0.0074),(231040587,0.0054),(232028377,0.0049),(232027886,0.0054),(245018982,0.0060),(232027908,0.0033),(232029059,0.0038),(232029929,0.0018),(232029945,0.0028),(232031832,0.0014),(232028123,0.0013),(232031096,0.0009),(232028251,0.0008),(235813272,0.0009),(231042338,0.0008),(231044160,0.0003),(242108281,0.0000),(231042012,0.0000),(232031968,0.0000)];[(231039820,0.3565),(231040254,0.4486),(231041890,0.2358),(231040245,0.1239),(231043022,0.1403)]
1;7;HIGHEST_EXPECTED_VALUE;[(232028384,0.4603),(231040264,0.2339),(231045339,0.1214),(231042166,0.0678),(231043704,0.0626),(231045510,0.0672),(231042810,0.0330),(231041648,0.0359),(231043640,0.0549),(231041966,0.0268),(232028662,0.0396),(231044838,0.0275),(400010993,0.0270),(232028529,0.0160),(231042315,0.0262),(231041573,0.0245),(231041313,0.0149),(231041693,0.0168),(231044006,0.0216),(231045071,0.0152),(232029115,0.0100),(231040646,0.0167),(231045095,0.0159),(232031423,0.0123),(232027541,0.0165),(231041501,0.0167),(242003329,0.0125),(232028707,0.0065),(400006329,0.0146),(232030825,0.0069),(232027867,0.0081),(232029600,0.0085),(231042695,0.0068),(231045436,0.0070),(231042027,0.0089),(232028314,0.0095),(231039854,0.0082),(232031018,0.0046),(232028004,0.0059),(232030962,0.0057),(232027476,0.0041),(232028435,0.0020),(231045911,0.0028),(232030880,0.0019),(232029809,0.0014),(231044820,0.0014),(232031258,0.0007),(231042057,0.0008),(232030826,0.0000),(232032230,0.0000)];[(232028384,0.4603),(231040264,0.2339),(231045339,0.1214),(231042166,0.0678),(231043704,0.0626)]
1;8;HIGHEST_EXPECTED_VALUE;[(231040010,0.1040),(231042364,0.1892),(231040268,0.0977),(231040868,0.1231),(236002425,0.1038),(231040255,0.0805),(231039894,0.0520),(231042510,0.0386),(231043529,0.0367),(231040384,0.0331),(231039639,0.0560),(232031280,0.0263),(231043359,0.0235),(232031717,0.0164),(231044817,0.0237),(232028148,0.0164),(232031010,0.0123),(231040032,0.0233),(232028947,0.0180),(231045095,0.0216),(231040139,0.0202),(232028449,0.0150),(231040105,0.0131),(232027832,0.0178),(242108138,0.0131),(231041394,0.0148),(231042224,0.0146),(231045796,0.0133),(231040764,0.0112),(231042030,0.0089),(242003287,0.0086),(231044333,0.0143),(231039657,0.0049),(231043850,0.0098),(231040258,0.0074),(231045361,0.0045),(231044201,0.0066),(232031358,0.0070),(231043155,0.0041),(235813450,0.0035),(232028413,0.0033),(239016078,0.0032),(232027475,0.0029),(242107788,0.0021),(232027913,0.0027),(231039859,0.0018),(231040279,0.0017),(400008815,0.0011),(232031063,0.0009),(400010549,0.0000)];[(231040010,0.1040),(231042364,0.1892),(231040268,0.0977),(231040868,0.1231),(236002425,0.1038)]
