=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
2;2;HIGHEST_EXPECTED_VALUE;[(231045725,0.1936),(231042182,0.1839),(232029304,0.0906),(231041006,0.0791),(232027622,0.0865),(232032287,0.0561),(231042235,0.0597),(231039796,0.0594),(232029463,0.0495),(232027907,0.0485),(231041322,0.0450),(232027922,0.0407),(231040928,0.0459),(231043650,0.0344),(232031912,0.0314),(231040341,0.0334),(231045469,0.0338),(231041827,0.0267),(231039679,0.0260),(231041736,0.0232),(231041825,0.0267),(231039961,0.0256),(231041756,0.0253),(231041587,0.0233),(231045713,0.0184),(231039708,0.0168),(232027553,0.0167),(231040889,0.0106),(232028397,0.0107),(231040529,0.0105),(232032088,0.0089),(232027534,0.0072),(232028277,0.0072),(232031229,0.0054),(231044912,0.0057),(231040533,0.0054),(231041387,0.0048),(231043534,0.0046),(231041290,0.0044),(232028364,0.0036),(232029106,0.0028),(232029987,0.0031),(232030841,0.0028),(231040027,0.0025),(231039859,0.0026),(235812472,0.0017),(232030236,0.0010),(232028649,0.0009),(232028445,0.0000),(232032166,0.0000)];[(231045725,0.1936),(231042182,0.1839),(232029304,0.0906),(231041006,0.0791),(232027622,0.0865)]
2;3;HIGHEST_EXPECTED_VALUE;[(232029019,0.4435),(231043498,0.3442),(231041652,0.2222),(231044079,0.0972),(231041266,0.0959),(231040093,0.0895),(232028318,0.0890),(231043363,0.0916),(232028871,0.0798),(231040999,0.0814),(232029841,0.0763),(231042102,0.0635),(231040942,0.0552),(231040127,0.0477),(231041425,0.0452),(232028777,0.0384),(231039647,0.0336),(232029392,0.0302),(232031297,0.0318),(231042845,0.0257),(231040276,0.0245),(232029469,0.0237),(231042208,0.0184),(232030261,0.0209),(232030544,0.0154),(232027836,0.0148),(232028113,0.0157),(231041371,0.0144),(232030246,0.0155),(232028162,0.0165),(231041786,0.0116),(231041936,0.0113),(232028774,0.0110),(242003284,0.0091),(232030650,0.0094),(232028698,0.0082),(231042051,0.0079),(231042564,0.0042),(232027706,0.0034),(232027475,0.0031),(232028755,0.0031),(232029657,0.0027),(232029665,0.0022),(232030405,0.0025),(244075558,0.0019),(231045228,0.0016),(231042793,0.0019),(231041284,0.0011),(248019583,0.0010),(231045078,0.0000)];[(232029019,0.4435),(231043498,0.3442),(231041652,0.2222),(231044079,0.0972),(231041266,0.0959)]
2;4;HIGHEST_EXPECTED_VALUE;[(231042976,0.1851),(231041728,0.1360),(231040483,0.0985),(231041368,0.0910),(232029015,0.0905),(231040995,0.0846),(231042055,0.0927),(232029756,0.0739),(400003916,0.0779),(231043825,0.0700),(231039862,0.0647),(231045003,0.0538),(231043261,0.0497),(231040397,0.0464),(261001943,0.0476),(231040573,0.0483),(231041895,0.0444),(297103695,0.0393),(400002597,0.0358),(297102602,0.0301),(232030386,0.0275),(265000952,0.0272),(231039961,0.0230),(231043882,0.0223),(232030883,0.0258),(232029070,0.0198),(232029225,0.0146),(231043678,0.0166),(232027649,0.0155),(232029131,0.0159),(231042509,0.0145),(232029533,0.0144),(232029064,0.0136),(232028317,0.0138),(232031232,0.0119),(231041053,0.0084),(232029656,0.0076),(232029564,0.0072),(232029189,0.0064),(232030541,0.0068),(232029294,0.0063),(232030648,0.0060),(231040372,0.0045),(231039766,0.0048),(232032203,0.0032),(232030721,0.0024),(230000349,0.0014),(232030018,0.0014),(232029001,0.0011),(230000397,0.0000)];[(231042976,0.1851),(231041728,0.1360),(231040483,0.0985),(231041368,0.0910),(232029015,0.0905)]
2;5;HIGHEST_EXPECTED_VALUE;[(231043925,0.4391),(232029120,0.2675),(232031097,0.2396),(231043326,0.1382),(231039944,0.1202),(231040665,0.0994),(231041989,0.0774),(231042031,0.0911),(231040811,0.0907),(232028178,0.0571),(231042333,0.0500),(231044982,0.0551),(231042126,0.0526),(231040186,0.0463),(232029058,0.0443),(231041614,0.0415),(232029367,0.0370),(232028776,0.0345),(231041568,0.0329),(232031943,0.0265),(232031717,0.0229),(231044817,0.0261),(231044482,0.0232),(231042714,0.0229),(231040852,0.0229),(232029734,0.0213),(261001883,0.0187),(231040051,0.0165),(232029731,0.0150),(231041782,0.0152),(231041371,0.0148),(232029979,0.0170),(231040049,0.0165),(231043886,0.0148),(232028916,0.0162),(232031105,0.0136),(232029370,0.0122),(232028310,0.0101),(231044388,0.0083),(233080125,0.0074),(232027474,0.0054),(231041642,0.0043),(230000414,0.0040),(232030318,0.0040),(400003322,0.0036),(232029664,0.0031),(400000284,0.0024),(232031239,0.0022),(232032619,0.0015),(232030690,0.0000)];[(231043925,0.4391),(232029120,0.2675),(232031097,0.2396),(231043326,0.1382),(231039944,0.1202)]
2;6;HIGHEST_EXPECTED_VALUE;[(232029794,0.4646),(231044485,0.3367),(231042122,0.1278),(231041728,0.1258),(232028287,0.1193),(231041107,0.1302),(231043188,0.0726),(231041199,0.0627),(232028010,0.0666),(231045712,0.0608),(232031888,0.0560),(231043347,0.0513),(232030143,0.0437),(231040743,0.0466),(232030763,0.0408),(231041510,0.0417),(232029125,0.0349),(232028672,0.0349),(232031775,0.0322),(231042957,0.0236),(231041244,0.0226),(232027464,0.0199),(231045422,0.0207),(231045624,0.0145),(232028172,0.0162),(232030733,0.0148),(231041619,0.0149),(231045268,0.0097),(231042584,0.0094),(230000302,0.0084),(231041791,0.0066),(231043884,0.0066),(232028372,0.0076),(232030072,0.0065),(232030247,0.0047),(231040674,0.0033),(232029106,0.0028),(232030754,0.0032),(232027498,0.0022),(232028123,0.0014),(232030018,0.0013),(232029126,0.0011),(232030814,0.0009),(232030512,0.0006),(232028611,0.0003),(231041651,0.0000),(232028596,0.0000),(232032166,0.0000),(231044256,0.0000),(232027654,0.0000)];[(232029794,0.4646),(231044485,0.3367),(231042122,0.1278),(231041728,0.1258),(232028287,0.1193)]
2;7;HIGHEST_EXPECTED_VALUE;[(231041604,0.2500),(231043434,0.2228),(231043387,0.2131),(231044700,0.1669),(231039850,0.1369),(232031483,0.1172),(231042221,0.1025),(231039844,0.0827),(231040095,0.0746),(244074505,0.0684),(231040352,0.0587),(231040768,0.0576),(231043550,0.0607),(232028737,0.0518),(231044672,0.0492),(232028937,0.0345),(232027942,0.0303),(231041472,0.0304),(231040376,0.0305),(232031164,0.0336),(231043105,0.0259),(261001464,0.0253),(231041889,0.0222),(231040852,0.0215),(232029212,0.0191),(231042467,0.0205),(232029997,0.0147),(232029479,0.0124),(232032400,0.0113),(232031599,0.0098),(231044690,0.0098),(231040314,0.0089),(232028729,0.0083),(232030873,0.0085),(231042403,0.0068),(231039935,0.0056),(232031983,0.0056),(232030333,0.0052),(232032715,0.0042),(231044414,0.0041),(231042380,0.0037),(232028060,0.0037),(231045911,0.0028),(232032329,0.0023),(231042218,0.0019),(232030780,0.0017),(232028522,0.0015),(242003079,0.0004),(232030747,0.0002),(232028545,0.0000)];[(231041604,0.2500),(231043434,0.2228),(231043387,0.2131),(231044700,0.1669),(231039850,0.1369)]
2;8;HIGHEST_EXPECTED_VALUE;[(232029794,0.4415),(231044018,0.1751),(232027997,0.1599),(231041490,0.0941),(232030580,0.1085),(244069685,0.0922),(231039973,0.0778),(232028968,0.0841),(231043173,0.0634),(232029196,0.0625),(231040942,0.0562),(231039703,0.0525),(231044476,0.0525),(232028227,0.0534),(231041105,0.0477),(231040474,0.0462),(231041165,0.0356),(231044226,0.0320),(232027505,0.0334),(231040653,0.0279),(231041174,0.0284),(231040133,0.0281),(231042056,0.0233),(231041211,0.0210),(297103908,0.0187),(231043886,0.0163),(231041189,0.0143),(231041916,0.0159),(231041124,0.0165),(232032339,0.0158),(231042307,0.0160),(232029453,0.0129),(231039917,0.0105),(248018134,0.0106),(232027872,0.0094),(286017526,0.0087),(232027867,0.0077),(232030417,0.0071),(231039750,0.0072),(231042697,0.0074),(232028257,0.0077),(232029210,0.0069),(232032092,0.0064),(232030134,0.0058),(232029696,0.0041),(231042537,0.0021),(232032269,0.0015),(232032331,0.0008),(232032552,0.0006),(232030371,0.0000)];[(232029794,0.4415),(231044018,0.1751),(232027997,0.1599),(231041490,0.0941),(232030580,0.1085)]
2;9;HIGHEST_EXPECTED_VALUE;[(232030047,0.4881),(232029710,0.1583),(231041101,0.1419),(231039972,0.1366),(231041784,0.1061),(231040658,0.0917),(231039637,0.0830),(231043436,0.0654),(231040984,0.0609),(231040512,0.0552),(231045309,0.0483),(232028460,0.0453),(231042060,0.0434),(232029702,0.0429),(231040224,0.0383),(232030412,0.0384),(231043847,0.0349),(231043108,0.0343),(231044533,0.0348),(231045076,0.0325),(242108796,0.0259),(231044584,0.0228),(232028202,0.0242),(231042112,0.0214),(232031261,0.0202),(232030595,0.0186),(232031251,0.0201),(231042207,0.0192),(231040386,0.0156),(232029514,0.0145),(232030274,0.0159),(231042377,0.0171),(231040145,0.0170),(231041713,0.0142),(232029203,0.0077),(232030702,0.0072),(231042285,0.0068),(231043089,0.0052),(232031366,0.0043),(232029923,0.0047),(232027749,0.0024),(245018105,0.0020),(231040025,0.0017),(232031845,0.0016),(232029098,0.0012),(235813386,0.0009),(245018220,0.0005),(232031255,0.0005),(232030657,0.0000),(232030371,0.0000)];[(232030047,0.4881),(232029710,0.1583),(231041101,0.1419),(231039972,0.1366),(231041784,0.1061)]
3;0;HIGHEST_EXPECTED_VALUE;[(232027543,0.1567),(231040010,0.1407),(231041995,0.0884),(232031977,0.0834),(231039987,0.0543),(231045396,0.0563),(231039819,0.0541),(231039824,0.0499),(231040638,0.0520),(235812574,0.0386),(231043889,0.0427),(231040681,0.0313),(231041097,0.0337),(232029890,0.0349),(231043709,0.0286),(232027956,0.0264),(231042816,0.0267),(231044693,0.0243),(231042743,0.0270),(232028209,0.0248),(231042939,0.0252),(231041195,0.0261),(232027943,0.0215),(232028597,0.0215),(232031010,0.0218),(232027735,0.0172),(231045676,0.0154),(231041766,0.0161),(231040424,0.0169),(231045286,0.0151),(231045824,0.0148),(232027732,0.0170),(231044853,0.0146),(231039649,0.0129),(231043457,0.0072),(232027839,0.0070),(231043625,0.0064),(231044191,0.0069),(232030417,0.0071),(232028957,0.0040),(232027517,0.0032),(232031478,0.0028),(232029307,0.0025),(232032026,0.0024),(232029081,0.0020),(232032619,0.0018),(232032128,0.0014),(232030955,0.0013),(245017789,0.0008),(232031258,0.0007)];[(232027543,0.1567),(231040010,0.1407),(231041995,0.0884),(232031977,0.0834),(231039987,0.0543)]
3;1;HIGHEST_EXPECTED_VALUE;[(232032159,0.1601),(232027506,0.0689),(231041463,0.0643),(231044075,0.0459),(231044304,0.0463),(232027993,0.0509),(231040417,0.0435),(231043942,0.0472),(232030201,0.0462),(231039814,0.0450),(232029008,0.0437),(231042643,0.0435),(231041614,0.0421),(231039818,0.0309),(231040731,0.0345),(231044368,0.0355),(231042882,0.0286),(231039677,0.0262),(231044454,0.0238),(244074896,0.0226),(231043676,0.0224),(232028235,0.0166),(286020274,0.0152),(232030897,0.0142),(231043987,0.0172),(232028732,0.0160),(231040168,0.0148),(231041766,0.0165),(232027720,0.0146),(231040613,0.0121),(231044333,0.0112),(232031857,0.0092),(232029043,0.0090),(231042276,0.0082),(232030249,0.0076),(231039657,0.0081),(231042701,0.0072),(400009365,0.0049),(232030461,0.0048),(232028284,0.0039),(232032283,0.0034),(232028799,0.0016),(232029430,0.0012),(232029922,0.0005),(232027933,0.0003),(232030489,0.0000),(232032190,0.0000),(232031061,0.0000),(400007465,0.0000),(400002480,0.0000)];[(232032159,0.1601),(232027506,0.0689),(231041463,0.0643),(231044075,0.0459),(231044304,0.0463)]
