=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;HIGHEST_EXPECTED_VALUE;0.1;165.0;319.0;176.0;30.117306;6.02346;330.0
1;1.0;HIGHEST_EXPECTED_VALUE;0.1;172.0;345.0;172.0;34.699463;6.939893;345.0
2;1.0;HIGHEST_EXPECTED_VALUE;0.1;177.0;334.0;173.0;32.772655;6.554529;330.0
3;1.0;HIGHEST_EXPECTED_VALUE;0.1;167.0;314.0;170.0;31.937809;6.387562;317.0
4;1.0;HIGHEST_EXPECTED_VALUE;0.1;181.0;341.0;154.0;43.76965;8.753929;314.0
5;1.0;HIGHEST_EXPECTED_VALUE;0.1;169.0;329.0;184.0;31.68815;6.337629;344.0
6;1.0;HIGHEST_EXPECTED_VALUE;0.1;171.0;336.0;177.0;35.232594;7.046519;342.0
7;1.0;HIGHEST_EXPECTED_VALUE;0.1;163.0;331.0;148.0;28.953014;5.7906027;316.0
8;1.0;HIGHEST_EXPECTED_VALUE;0.1;180.0;346.0;177.0;39.302734;7.860547;343.0
9;1.0;HIGHEST_EXPECTED_VALUE;0.1;176.0;330.0;168.0;37.66605;7.533207;322.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;HIGHEST_EXPECTED_VALUE;0.1;161.0;313.0;175.0;29.798826;5.959764;327.0
1;1.0;HIGHEST_EXPECTED_VALUE;0.1;172.0;345.0;172.0;34.699463;6.939893;345.0
2;1.0;HIGHEST_EXPECTED_VALUE;0.1;174.0;330.0;171.0;32.564545;6.512907;327.0
3;1.0;HIGHEST_EXPECTED_VALUE;0.1;167.0;314.0;170.0;31.937809;6.387562;317.0
4;1.0;HIGHEST_EXPECTED_VALUE;0.1;176.0;333.0;150.0;42.206486;8.441296;307.0
5;1.0;HIGHEST_EXPECTED_VALUE;0.1;166.0;324.0;181.0;31.17919;6.2358365;339.0
6;1.0;HIGHEST_EXPECTED_VALUE;0.1;167.0;331.0;175.0;33.95471;6.7909417;339.0
7;1.0;HIGHEST_EXPECTED_VALUE;0.1;160.0;330.0;145.0;27.261257;5.4522514;315.0
8;1.0;HIGHEST_EXPECTED_VALUE;0.1;180.0;346.0;177.0;39.302734;7.860547;343.0
9;1.0;HIGHEST_EXPECTED_VALUE;0.1;176.0;330.0;168.0;37.66605;7.533207;322.0

0;0;HIGHEST_EXPECTED_VALUE;[];[]
0;1;HIGHEST_EXPECTED_VALUE;[];[]
0;2;HIGHEST_EXPECTED_VALUE;[];[]
0;3;HIGHEST_EXPECTED_VALUE;[];[]
0;4;HIGHEST_EXPECTED_VALUE;[];[]
0;5;HIGHEST_EXPECTED_VALUE;[];[]
0;6;HIGHEST_EXPECTED_VALUE;[];[]
0;7;HIGHEST_EXPECTED_VALUE;[];[]
0;8;HIGHEST_EXPECTED_VALUE;[];[]
0;9;HIGHEST_EXPECTED_VALUE;[];[]
1;0;HIGHEST_EXPECTED_VALUE;[(231043925,0.4829),(231041976,0.5138),(231039664,0.1625),(231041950,0.1069),(231041266,0.0955),(231040093,0.0928),(231042154,0.0621),(231045232,0.0487),(232030763,0.0434),(232030294,0.0437),(231040564,0.0418),(231044477,0.0319),(231042771,0.0337),(231045879,0.0314),(231043639,0.0365),(231039986,0.0345),(231043311,0.0236),(231044741,0.0261),(232027814,0.0174),(232031596,0.0167),(232029131,0.0143),(232029452,0.0164),(231044435,0.0141),(232027720,0.0140),(231042573,0.0111),(231045394,0.0128),(232031441,0.0110),(248018134,0.0121),(232028399,0.0098),(232030466,0.0093),(231042252,0.0075),(231040436,0.0072),(242002994,0.0067),(232027778,0.0055),(232030921,0.0051),(232029460,0.0025),(235812822,0.0023),(231040832,0.0021),(242108581,0.0020),(232029202,0.0020),(232027871,0.0015),(231040702,0.0010),(232028005,0.0006),(232032009,0.0005),(232031303,0.0003),(232032755,0.0000),(281000666,0.0000),(232029384,0.0000),(232030373,0.0000),(232031327,0.0000)];[(231043925,0.4829),(231041976,0.5138),(231039664,0.1625),(231041950,0.1069),(231041266,0.0955)]
1;1;HIGHEST_EXPECTED_VALUE;[(231041149,0.4610),(231041536,0.3694),(232029248,0.0979),(232028515,0.0807),(231040225,0.0665),(231043991,0.0568),(231041106,0.0596),(231039880,0.0568),(231043864,0.0527),(232030294,0.0447),(231043233,0.0411),(231043151,0.0422),(232028777,0.0393),(232030552,0.0356),(232029556,0.0360),(232029048,0.0249),(231044848,0.0256),(231040198,0.0238),(261001463,0.0253),(232028597,0.0203),(400001477,0.0165),(231040532,0.0149),(231042000,0.0162),(232028520,0.0155),(231039985,0.0115),(232027667,0.0114),(232031268,0.0114),(244074476,0.0076),(231041506,0.0064),(231045500,0.0064),(232028382,0.0050),(232029415,0.0057),(232027782,0.0046),(232030350,0.0037),(232032736,0.0039),(244075155,0.0024),(232027607,0.0023),(235813456,0.0021),(239016105,0.0020),(232030382,0.0016),(231041515,0.0017),(232028335,0.0013),(232028523,0.0013),(245018953,0.0012),(242108635,0.0005),(232032155,0.0001),(232027921,0.0000),(232029461,0.0000),(232030091,0.0000),(231043176,0.0000)];[(231041149,0.4610),(231041536,0.3694),(232029248,0.0979),(232028515,0.0807),(231040225,0.0665)]
1;2;HIGHEST_EXPECTED_VALUE;[];[]
1;3;HIGHEST_EXPECTED_VALUE;[];[]
1;4;HIGHEST_EXPECTED_VALUE;[(231042479,0.5000),(231043674,0.4079),(232027477,0.2539),(232030491,0.1809),(231040880,0.1340),(231041729,0.0904),(231043831,0.0858),(232030596,0.0592),(231039634,0.0537),(232031272,0.0619),(232030288,0.0561),(231042826,0.0551),(231044476,0.0475),(231043094,0.0522),(231040213,0.0385),(232028662,0.0372),(231041112,0.0261),(231039873,0.0247),(400009961,0.0235),(231040575,0.0215),(231041839,0.0206),(232029139,0.0158),(231042148,0.0159),(232030122,0.0169),(231045624,0.0172),(231042525,0.0166),(232029602,0.0158),(232028395,0.0133),(231043435,0.0129),(231041418,0.0083),(232028372,0.0076),(231042594,0.0073),(232030569,0.0061),(231042243,0.0060),(232030239,0.0062),(232027641,0.0044),(232032715,0.0044),(232027749,0.0020),(230000349,0.0014),(281000964,0.0011),(232028107,0.0011),(231041557,0.0007),(232030512,0.0007),(242108635,0.0005),(232030495,0.0000),(231040912,0.0000),(232030655,0.0000),(232028972,0.0000),(232030370,0.0000),(232031539,0.0000)];[(231042479,0.5000),(231043674,0.4079),(232027477,0.2539),(232030491,0.1809),(231040880,0.1340)]
1;5;HIGHEST_EXPECTED_VALUE;[(231040408,0.5098),(244071025,0.4959),(231045084,0.1700),(231041803,0.1175),(286018224,0.0947),(231043823,0.0910),(232028782,0.0919),(231041206,0.0721),(232030497,0.0651),(231039745,0.0597),(231040728,0.0647),(231045003,0.0482),(297102770,0.0471),(231041483,0.0498),(231042152,0.0377),(232028426,0.0423),(232031236,0.0363),(232028323,0.0336),(231041187,0.0326),(231041035,0.0281),(232028601,0.0238),(231042981,0.0262),(231041725,0.0246),(231041002,0.0226),(231041814,0.0216),(231040711,0.0222),(232028907,0.0205),(232029157,0.0167),(231040493,0.0159),(231042509,0.0158),(231040146,0.0170),(232027834,0.0120),(232027855,0.0115),(231040303,0.0095),(244068099,0.0092),(286019983,0.0055),(232031846,0.0057),(232030762,0.0056),(232030725,0.0053),(400001703,0.0046),(232029615,0.0035),(232028755,0.0028),(400002999,0.0027),(232031478,0.0030),(231039800,0.0029),(232027646,0.0024),(232030297,0.0014),(231041283,0.0012),(232031131,0.0004),(232028312,0.0000)];[(231040408,0.5098),(244071025,0.4959),(231045084,0.1700),(231041803,0.1175),(286018224,0.0947)]
1;6;HIGHEST_EXPECTED_VALUE;[(231039852,0.4839),(231040760,0.2044),(231039850,0.1391),(232029875,0.0858),(231040839,0.0822),(231040999,0.0873),(231040655,0.0820),(231044096,0.0839),(231040349,0.0820),(261002053,0.0788),(232031231,0.0642),(232028932,0.0608),(231040242,0.0600),(232028191,0.0493),(232029745,0.0434),(232030114,0.0397),(231040499,0.0305),(232031962,0.0339),(231040371,0.0257),(286017195,0.0245),(231041826,0.0259),(231040591,0.0259),(261001883,0.0171),(231043513,0.0158),(231041668,0.0156),(232032454,0.0151),(232027512,0.0160),(232028520,0.0154),(232031501,0.0114),(231042224,0.0121),(231045289,0.0103),(232029117,0.0089),(232031532,0.0073),(244069255,0.0073),(232028700,0.0066),(232028886,0.0066),(231043884,0.0069),(231043457,0.0063),(231042414,0.0074),(232028004,0.0046),(231041011,0.0037),(232028518,0.0041),(232029990,0.0036),(232029231,0.0033),(232031033,0.0027),(232028526,0.0025),(232031873,0.0026),(231044720,0.0009),(232029662,0.0004)];[(231039852,0.4839),(231040760,0.2044),(231039850,0.1391),(232029875,0.0858),(231040839,0.0822)]
1;7;HIGHEST_EXPECTED_VALUE;[(232028384,0.5219),(231039803,0.2970),(232028988,0.2706),(231039884,0.0906),(231040219,0.0903),(231040199,0.0897),(231043689,0.0902),(231043172,0.0685),(231041008,0.0636),(231041763,0.0712),(232029902,0.0669),(231041954,0.0459),(231041376,0.0509),(232030376,0.0437),(231045852,0.0422),(231041688,0.0392),(231039822,0.0377),(231045296,0.0335),(232031962,0.0321),(245018234,0.0258),(231041598,0.0227),(231041377,0.0163),(231043245,0.0153),(232028528,0.0173),(400000489,0.0163),(231040105,0.0156),(231039700,0.0151),(232029101,0.0167),(244071967,0.0158),(232028167,0.0134),(231040632,0.0119),(231040871,0.0104),(232029295,0.0088),(232028955,0.0071),(232028893,0.0067),(231042403,0.0071),(232029669,0.0051),(232031686,0.0033),(232028820,0.0032),(400006118,0.0033),(231043074,0.0022),(232031015,0.0018),(227001152,0.0014),(232029430,0.0013),(232030421,0.0008),(232031697,0.0008),(232028638,0.0007),(232031675,0.0000),(400004546,0.0000),(232030319,0.0000)];[(232028384,0.5219),(231039803,0.2970),(232028988,0.2706),(231039884,0.0906),(231040219,0.0903)]
1;8;HIGHEST_EXPECTED_VALUE;[(231044020,0.5141),(232029120,0.2536),(231040872,0.2197),(231044648,0.2315),(231040389,0.2110),(231042193,0.2036),(232028989,0.1015),(231040363,0.0932),(232027506,0.0718),(231041094,0.0618),(231041375,0.0551),(231040379,0.0456),(232032449,0.0456),(232032079,0.0370),(231045076,0.0302),(231040740,0.0236),(231043485,0.0249),(231044751,0.0268),(231044580,0.0239),(231042669,0.0243),(231044114,0.0238),(231039674,0.0264),(232027491,0.0227),(231042889,0.0148),(231042892,0.0156),(231040168,0.0161),(232032014,0.0159),(231043706,0.0128),(231041341,0.0092),(232029043,0.0080),(232032088,0.0088),(232031621,0.0085),(232027937,0.0065),(227001012,0.0052),(235812936,0.0048),(245018988,0.0043),(235301262,0.0027),(242108504,0.0023),(232030520,0.0019),(232029046,0.0013),(231040088,0.0009),(231045330,0.0007),(232028410,0.0000),(231041972,0.0000),(232031163,0.0000),(232031032,0.0000),(232027615,0.0000),(232031061,0.0000),(232029467,0.0000),(231043263,0.0000)];[(231044020,0.5141),(232029120,0.2536),(231040872,0.2197),(231044648,0.2315),(231040389,0.2110)]
