=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
2;2;PROB_CONV_PROB;[(232028220,0.6179),(231041612,0.5151),(232029680,0.4266),(231040235,0.4802),(231040743,0.3557),(232027735,0.5221),(232027456,0.3523),(231042472,0.6247),(232029282,0.4523),(232029721,0.6254),(231041371,0.5459),(231041070,0.4186),(400009643,0.5321),(231041059,0.3603),(231039801,0.4970),(232031532,0.3448),(242109280,0.4048),(231043031,0.3888),(244075246,0.4946),(231041121,0.3933),(232027750,0.4935),(231041742,0.3625),(231042538,0.4085),(231041522,0.3626),(231040212,0.4044),(232029430,0.3591),(232029004,0.5567),(231039832,0.5117),(265000725,0.4979),(231040173,0.4206),(231044690,0.4392),(231040905,0.5972),(232028989,0.4994),(231043787,0.3692),(232027790,0.5039),(231042527,0.4621),(232032041,0.4852),(232030616,0.4441),(231045423,0.3625),(232029664,0.5063),(244069659,0.5725),(232029017,0.6055),(231043663,0.4417),(232029880,0.3996),(232029579,0.4029),(232032743,0.4251),(231043171,0.5037),(231041903,0.4814),(231040616,0.4061),(231043858,0.4211)];[(232028220,0.6179),(231041612,0.5151),(232029680,0.4266),(231040235,0.4802),(231040743,0.3557)]
2;3;PROB_CONV_PROB;[(231040320,0.4500),(232030866,0.4763),(231040476,0.6017),(231042039,0.5337),(232027972,0.4758),(231041665,0.5588),(232030648,0.4230),(231039900,0.6128),(232030858,0.5758),(231041181,0.4856),(232029831,0.4178),(231043139,0.4807),(232028373,0.3888),(231039742,0.3899),(231042216,0.5184),(231042270,0.4796),(232032364,0.5406),(400009961,0.3536),(232030630,0.5415),(232030959,0.4140),(232029134,0.3545),(232031732,0.4721),(232028336,0.3482),(231040654,0.4705),(281000969,0.4499),(232029579,0.3714),(231045764,0.5190),(232031834,0.5732),(231040624,0.4077),(231040939,0.4095),(231042033,0.5510),(231044407,0.5473),(231042403,0.5879),(232028104,0.3989),(231043924,0.3845),(231041335,0.5946),(232028607,0.6061),(232030532,0.4314),(232032389,0.3911),(400007824,0.5242),(286019271,0.5956),(231041193,0.3574),(231041744,0.3687),(232031515,0.4618),(232031611,0.4363),(231045286,0.6179),(232031540,0.3477),(232029043,0.6364),(232030146,0.3866),(232029736,0.5941)];[(231040320,0.4500),(232030866,0.4763),(231040476,0.6017),(231042039,0.5337),(232027972,0.4758)]
2;4;PROB_CONV_PROB;[(231045356,0.4295),(231039969,0.4085),(265000633,0.6023),(231042302,0.5157),(281000659,0.5229),(232029310,0.5887),(231041716,0.5802),(231040536,0.4557),(231041387,0.4817),(231041987,0.6287),(231045327,0.5807),(231041824,0.5296),(232031669,0.3688),(232028117,0.5268),(232029595,0.3885),(231039636,0.4819),(232030481,0.3579),(231043532,0.4943),(231040971,0.4368),(231041146,0.4211),(232032314,0.3895),(231042711,0.5094),(232029916,0.5473),(232030772,0.5081),(231040224,0.4916),(286017194,0.4273),(231042410,0.4381),(232029436,0.5481),(232030705,0.5878),(232031410,0.4993),(232029797,0.4555),(231041418,0.4600),(232029275,0.3680),(231043273,0.3654),(232027758,0.5791),(231040494,0.4450),(231043700,0.3551),(231044274,0.4498),(232031318,0.6037),(232028421,0.6316),(232030350,0.3574),(231041689,0.4444),(232027693,0.5056),(231042056,0.5330),(400009150,0.4506),(232031064,0.5942),(231040251,0.5154),(232029234,0.4016),(231040243,0.5853),(232031067,0.5563)];[(231045356,0.4295),(231039969,0.4085),(265000633,0.6023),(231042302,0.5157),(281000659,0.5229)]
2;5;PROB_CONV_PROB;[(231041216,0.6004),(231043659,0.6231),(231039969,0.5235),(231042374,0.4007),(232030795,0.4120),(231040178,0.4309),(248016823,0.3814),(231039651,0.5847),(281000658,0.5051),(232031875,0.6218),(231042368,0.5935),(232029513,0.3740),(231043488,0.3723),(231042654,0.4996),(231042184,0.4906),(235813778,0.3963),(232030527,0.5659),(231042961,0.4607),(231043937,0.5736),(231040858,0.4223),(231043482,0.5318),(232027834,0.5760),(232030021,0.4537),(232029077,0.6302),(232027801,0.4172),(232029993,0.4609),(231044942,0.4294),(232027893,0.6058),(231039693,0.3668),(232028246,0.6182),(232031068,0.3870),(231040889,0.3591),(231040611,0.4166),(231041825,0.6256),(244069685,0.4731),(231043795,0.6126),(232029772,0.3678),(232027737,0.3977),(231044038,0.5688),(231042587,0.4543),(231043730,0.3458),(231045071,0.3520),(232028017,0.4182),(231040194,0.4512),(231044048,0.4241),(232030365,0.5869),(232029605,0.4698),(232028582,0.4691),(231042375,0.5684),(231040677,0.6298)];[(231041216,0.6004),(231043659,0.6231),(231039969,0.5235),(231042374,0.4007),(232030795,0.4120)]
2;6;PROB_CONV_PROB;[(231039888,0.4860),(231044368,0.5848),(207009215,0.5130),(232029994,0.6296),(232032079,0.5424),(231039935,0.4957),(231043806,0.6353),(231043297,0.4730),(231044268,0.3917),(235812577,0.4884),(232029292,0.4691),(232029813,0.5390),(232029349,0.3662),(232031957,0.4215),(231040471,0.3621),(232028889,0.6286),(231039823,0.5016),(231042233,0.5728),(231042876,0.4347),(232028067,0.5204),(232028971,0.5181),(232032256,0.5120),(235814031,0.4618),(232027704,0.3462),(231042511,0.6154),(231041776,0.3579),(231045893,0.5362),(231040559,0.4696),(232030970,0.6205),(231042820,0.4857),(231041057,0.3852),(232028736,0.4233),(231042378,0.5945),(231039723,0.5554),(232028601,0.5412),(232030513,0.5088),(232027556,0.4889),(232031483,0.6234),(231043689,0.5917),(232027898,0.5997),(231040937,0.5363),(231039689,0.4813),(231044009,0.3792),(286019271,0.5089),(232032052,0.5913),(232029159,0.5584),(232028947,0.4387),(232030395,0.5166),(231043227,0.4077),(231041993,0.4876)];[(231039888,0.4860),(231044368,0.5848),(207009215,0.5130),(232029994,0.6296),(232032079,0.5424)]
2;7;PROB_CONV_PROB;[(232030856,0.4071),(232027701,0.3748),(231042228,0.5700),(231042643,0.5931),(231040664,0.6024),(231041530,0.4286),(232028230,0.5942),(231040188,0.5784),(244068765,0.3463),(231040619,0.4711),(231041374,0.3604),(400004546,0.4937),(231042724,0.5679),(231041443,0.5551),(231041253,0.5561),(232028378,0.4847),(232028735,0.5387),(286013801,0.4916),(231041389,0.6118),(231040038,0.4781),(232028865,0.4371),(232028580,0.4976),(232028182,0.5281),(232028190,0.6227),(231043986,0.6271),(231044756,0.5540),(232028794,0.4915),(242002762,0.3614),(232028023,0.4551),(232027813,0.5407),(231040250,0.3437),(231041110,0.3474),(232032444,0.4870),(231040877,0.3626),(232029467,0.3571),(231044558,0.5841),(231040660,0.4889),(231042012,0.5144),(232032435,0.5010),(231043125,0.3775),(232027543,0.5243),(231040107,0.5223),(231043550,0.4981),(232031239,0.4961),(232028421,0.3533),(232028996,0.3979),(231040530,0.5174),(242108941,0.5080),(232030386,0.4840),(232028701,0.5247)];[(232030856,0.4071),(232027701,0.3748),(231042228,0.5700),(231042643,0.5931),(231040664,0.6024)]
2;8;PROB_CONV_PROB;[(232030215,0.4811),(231039983,0.5166),(231041965,0.4349),(231040943,0.3948),(231041605,0.5083),(248016479,0.3576),(231041222,0.3432),(231041569,0.4591),(232029591,0.4853),(232027443,0.5712),(232028988,0.4759),(232031334,0.5010),(231044844,0.3460),(232028211,0.5775),(231040680,0.5747),(232031725,0.5111),(232029048,0.4849),(231043933,0.3519),(231041567,0.3799),(231042414,0.4485),(232032314,0.5888),(232032053,0.5807),(231041354,0.5028),(232029180,0.3581),(232028732,0.5086),(232028555,0.5552),(242108520,0.6328),(232029046,0.3477),(232027524,0.3760),(231042364,0.4776),(233087998,0.4755),(232029049,0.6139),(231040906,0.5743),(400010549,0.4532),(231040206,0.4149),(231042393,0.3738),(231041650,0.5419),(231040223,0.4220),(231043648,0.5758),(231043260,0.3783),(232030873,0.4956),(235814787,0.4025),(286016913,0.3765),(232028032,0.5018),(232028115,0.5912),(232028649,0.5494),(232029606,0.6297),(232028891,0.6150),(242003740,0.5628),(231044290,0.4599)];[(232030215,0.4811),(231039983,0.5166),(231041965,0.4349),(231040943,0.3948),(231041605,0.5083)]
2;9;PROB_CONV_PROB;[(231040418,0.5849),(232029732,0.3432),(232028762,0.3730),(231041548,0.4129),(232028976,0.3639),(231041624,0.3936),(239015332,0.6119),(231042641,0.5983),(232030247,0.4530),(231043610,0.3607),(231042114,0.6038),(232027658,0.3642),(231039924,0.5106),(231041199,0.3790),(231044567,0.3421),(231040902,0.4304),(232030593,0.4827),(232031402,0.4952),(242002333,0.3762),(231043846,0.4525),(231041151,0.4605),(231040493,0.5828),(400003129,0.4096),(232029646,0.6284),(232029159,0.5480),(231039806,0.5347),(232028284,0.4120),(231043789,0.3855),(232027798,0.4842),(231042708,0.5582),(232028476,0.5597),(232028341,0.5821),(232027606,0.5698),(231042892,0.6245),(232028220,0.4773),(232031069,0.4248),(231044926,0.5358),(231042077,0.3598),(231041071,0.6313),(231043490,0.3837),(235812513,0.4935),(232029526,0.4959),(232031315,0.4063),(232031258,0.6015),(232029497,0.5950),(232029422,0.6255),(235813366,0.3799),(231039974,0.4029),(231042082,0.6291),(232028179,0.5056)];[(231040418,0.5849),(232029732,0.3432),(232028762,0.3730),(231041548,0.4129),(232028976,0.3639)]
3;0;PROB_CONV_PROB;[(231043196,0.5237),(232027549,0.4080),(232030585,0.4006),(231039707,0.4472),(232028407,0.5141),(231042647,0.3815),(232031723,0.4772),(232028079,0.5785),(232028563,0.5926),(232028303,0.4981),(231041577,0.4901),(232030067,0.3823),(231042518,0.5979),(231040095,0.5457),(231045367,0.5411),(232027820,0.5339),(231040191,0.5496),(232031597,0.6333),(231042816,0.5828),(232030776,0.3934),(232028850,0.5166),(232032259,0.4649),(231045070,0.5271),(231043551,0.4792),(231043907,0.5761),(232028730,0.5837),(231040094,0.3605),(231040808,0.3446),(231039939,0.6074),(231042805,0.4068),(232027638,0.4428),(232027516,0.3680),(232028041,0.3934),(231042270,0.4489),(231043173,0.3504),(231042946,0.5211),(231041689,0.4186),(231045764,0.4814),(248018913,0.4452),(231042349,0.5211),(239015791,0.3869),(232027814,0.6231),(231044381,0.5555),(232031809,0.3629),(231040470,0.6077),(232028619,0.5384),(232029010,0.4289),(232028825,0.5336),(297102727,0.3460),(231041664,0.4989)];[(231043196,0.5237),(232027549,0.4080),(232030585,0.4006),(231039707,0.4472),(232028407,0.5141)]
3;1;PROB_CONV_PROB;[(232027589,0.4323),(231042150,0.4314),(232027610,0.6119),(232028076,0.3445),(232032505,0.6122),(231041570,0.4152),(232029968,0.5510),(232030922,0.3521),(232029613,0.4012),(231044177,0.3439),(232029486,0.6105),(231040818,0.6205),(232031358,0.4897),(231040133,0.3702),(235813272,0.3832),(232031646,0.5594),(242002966,0.4666),(232031240,0.5732),(232031017,0.4328),(255003854,0.5532),(232028327,0.6366),(232029857,0.4940),(232028873,0.4718),(231039820,0.5986),(231043378,0.4846),(231042011,0.4558),(232030004,0.5163),(232031366,0.5882),(231045228,0.3799),(231042517,0.6339),(232027972,0.5490),(232030828,0.3467),(232032124,0.5987),(232028963,0.4231),(231044438,0.4752),(231040324,0.6005),(231040971,0.4181),(231042621,0.5611),(232030567,0.4097),(231043214,0.6250),(232028603,0.5582),(232030663,0.5232),(231045860,0.5635),(232029027,0.5376),(232028937,0.4997),(232031599,0.5874),(232029686,0.3695),(231042572,0.4064),(232029373,0.5047)];[(232027589,0.4323),(231042150,0.4314),(232027610,0.6119),(232028076,0.3445),(232032505,0.6122)]
