=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;PROB_EXPECTED_VALUE;0.1;167.0;343.0;158.0;28.243408;5.6486826;334.0
1;1.0;PROB_EXPECTED_VALUE;0.1;178.0;367.0;155.0;37.148697;7.42974;344.0
2;1.0;PROB_EXPECTED_VALUE;0.1;161.0;293.0;155.0;26.88465;5.3769283;287.0
3;1.0;PROB_EXPECTED_VALUE;0.1;172.0;304.0;181.0;30.686007;6.1372013;313.0
4;1.0;PROB_EXPECTED_VALUE;0.1;174.0;340.0;175.0;30.601051;6.120209;341.0
5;1.0;PROB_EXPECTED_VALUE;0.1;176.0;313.0;180.0;23.93866;4.787732;317.0
6;1.0;PROB_EXPECTED_VALUE;0.1;187.0;336.0;196.0;30.397356;6.0794735;345.0
7;1.0;PROB_EXPECTED_VALUE;0.1;173.0;373.0;170.0;31.356047;6.271209;370.0
8;1.0;PROB_EXPECTED_VALUE;0.1;165.0;315.0;185.0;29.743013;5.9486027;335.0
9;1.0;PROB_EXPECTED_VALUE;0.1;178.0;326.0;182.0;36.54496;7.308993;330.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;PROB_EXPECTED_VALUE;0.1;167.0;343.0;158.0;28.243408;5.6486826;334.0
1;1.0;PROB_EXPECTED_VALUE;0.1;178.0;367.0;155.0;37.148697;7.42974;344.0
2;1.0;PROB_EXPECTED_VALUE;0.1;161.0;293.0;155.0;26.88465;5.3769283;287.0
3;1.0;PROB_EXPECTED_VALUE;0.1;172.0;304.0;181.0;30.686007;6.1372013;313.0
4;1.0;PROB_EXPECTED_VALUE;0.1;174.0;340.0;175.0;30.601051;6.120209;341.0
5;1.0;PROB_EXPECTED_VALUE;0.1;176.0;313.0;180.0;23.93866;4.787732;317.0
6;1.0;PROB_EXPECTED_VALUE;0.1;187.0;336.0;196.0;30.397356;6.0794735;345.0
7;1.0;PROB_EXPECTED_VALUE;0.1;173.0;373.0;170.0;31.356047;6.271209;370.0
8;1.0;PROB_EXPECTED_VALUE;0.1;165.0;315.0;185.0;29.743013;5.9486027;335.0
9;1.0;PROB_EXPECTED_VALUE;0.1;178.0;326.0;182.0;36.54496;7.308993;330.0

0;0;PROB_EXPECTED_VALUE;[];[]
0;1;PROB_EXPECTED_VALUE;[];[]
0;2;PROB_EXPECTED_VALUE;[];[]
0;3;PROB_EXPECTED_VALUE;[];[]
0;4;PROB_EXPECTED_VALUE;[];[]
0;5;PROB_EXPECTED_VALUE;[];[]
0;6;PROB_EXPECTED_VALUE;[];[]
0;7;PROB_EXPECTED_VALUE;[];[]
0;8;PROB_EXPECTED_VALUE;[];[]
0;9;PROB_EXPECTED_VALUE;[];[]
1;0;PROB_EXPECTED_VALUE;[];[]
1;1;PROB_EXPECTED_VALUE;[];[]
1;2;PROB_EXPECTED_VALUE;[(231041813,0.1104),(231042605,0.0787),(232031522,0.0250),(231041856,0.4762),(231040855,0.0462),(232030506,0.0793),(232030275,0.0144),(231041008,0.0635),(231040244,0.0950),(231043793,0.1001),(231042439,0.0562),(231045526,0.0668),(231044925,0.0732),(232031196,0.0017),(231043133,0.0457),(231041248,0.0068),(231041919,0.0398),(231040816,0.0384),(232028426,0.0381),(231043177,0.0226),(231041965,0.0115),(231041511,0.0686),(232029837,0.0397),(231045717,0.0324),(286019974,0.0143),(231041535,0.0240),(232027883,0.0064),(231040478,0.0114),(231043641,0.0190),(232031833,0.0040),(232030920,0.0033),(231039939,0.0179),(231042271,0.0131),(231040826,0.0080),(232027949,0.0041),(400005764,0.0145),(231043457,0.0065),(231045662,0.0161),(232031554,0.0082),(231042345,0.0158),(231039723,0.0063),(231040988,0.0064),(231045458,0.0129),(232031228,0.0029),(242003056,0.0012),(232031359,0.0015),(231044407,0.0005),(232028201,0.0015),(232030015,0.0000)];[(231041813,0.1104),(231042605,0.0787),(232031522,0.0250),(231041856,0.4762),(231040855,0.0462)]
1;3;PROB_EXPECTED_VALUE;[(231045453,0.0688),(231039844,0.0778),(231040256,0.0257),(231039987,0.0562),(231042100,0.0728),(231039919,0.3499),(231041773,0.0362),(242109333,0.0415),(232028245,0.0345),(232028150,0.0342),(231039723,0.0076),(231040658,0.0907),(232030306,0.0696),(231041752,0.0306),(231041760,0.0374),(231044315,0.0820),(232030252,0.0257),(232030430,0.0216),(231043431,0.0327),(231040409,0.0364),(231042097,0.0674),(232029890,0.0314),(232028968,0.0845),(231040649,0.0213),(232029524,0.0246),(231042697,0.0070),(232028624,0.0031),(231041293,0.0447),(232029112,0.0231),(281000664,0.0054),(231040387,0.0500),(231045542,0.0305),(286018924,0.0037),(232029075,0.0318),(232031009,0.0127),(232031080,0.0297),(232028517,0.0281),(231045700,0.0261),(231042387,0.0042),(231044710,0.0029),(239015350,0.0105),(242109860,0.0038),(232030046,0.0010),(232031960,0.0031),(231042681,0.0026),(232031233,0.0008),(231041277,0.0009),(232030440,0.0000),(232029260,0.0000),(232031518,0.0000)];[(231045453,0.0688),(231039844,0.0778),(231040256,0.0257),(231039987,0.0562),(231042100,0.0728)]
1;4;PROB_EXPECTED_VALUE;[(232029840,0.0574),(232027922,0.0453),(231040064,0.3954),(231042714,0.0225),(231039894,0.0734),(231041256,0.1034),(232027994,0.0489),(231043825,0.0716),(231043052,0.0453),(231039742,0.1005),(232031964,0.0475),(231040266,0.1970),(231040162,0.0303),(232027555,0.0797),(231041824,0.0813),(231042468,0.0066),(232030879,0.0314),(232028026,0.0142),(232031465,0.0537),(231041875,0.0751),(231039686,0.0650),(231040591,0.0248),(231043775,0.0226),(232028305,0.0346),(231040699,0.0248),(232030482,0.0535),(232030097,0.0144),(232029998,0.0037),(231040947,0.0572),(231040069,0.0100),(231041734,0.0238),(232030751,0.0179),(231040798,0.0085),(232030547,0.0155),(232029551,0.0064),(400000963,0.0076),(231040639,0.0134),(231040139,0.0170),(232027960,0.0009),(232029882,0.0035),(232031045,0.0052),(281000665,0.0019),(232029573,0.0032),(232029696,0.0046),(232032155,0.0001),(232029238,0.0014),(232027914,0.0009),(231039877,0.0000),(232027682,0.0000)];[(232029840,0.0574),(232027922,0.0453),(231040064,0.3954),(231042714,0.0225),(231039894,0.0734)]
1;5;PROB_EXPECTED_VALUE;[];[]
1;6;PROB_EXPECTED_VALUE;[];[]
1;7;PROB_EXPECTED_VALUE;[(231041214,0.1284),(231043956,0.3773),(231041253,0.3854),(232031977,0.0794),(232028717,0.0117),(261001891,0.0224),(231041096,0.0149),(232028923,0.0234),(231042313,0.0263),(231042244,0.0229),(231040947,0.0561),(231041814,0.0217),(231041493,0.0926),(231042620,0.0306),(231043620,0.0155),(235814079,0.0013),(231040487,0.0334),(231041558,0.0132),(231044034,0.0403),(231040802,0.0896),(232027647,0.0026),(244074896,0.0214),(232029747,0.0326),(231041925,0.0105),(232030569,0.0060),(232028331,0.0069),(231041161,0.0074),(231045265,0.0045),(235814955,0.0030),(232029945,0.0025),(232029675,0.0074),(400001686,0.0117),(231044338,0.0245),(231040250,0.0149),(232031666,0.0003),(231044351,0.0068),(232028039,0.0051),(232029282,0.0082),(232029627,0.0046),(235813778,0.0051),(232032314,0.0064),(231040585,0.0023),(232032001,0.0005),(232031734,0.0003),(231043625,0.0070),(232030502,0.0024),(232032360,0.0013),(232030381,0.0000),(232027576,0.0000),(232030827,0.0000)];[(231041214,0.1284),(231043956,0.3773),(231041253,0.3854),(232031977,0.0794),(232028717,0.0117)]
1;8;PROB_EXPECTED_VALUE;[(231042472,0.0886),(232027860,0.3041),(231045565,0.0204),(231039720,0.4906),(297103297,0.0675),(232030640,0.0863),(231042362,0.1601),(231042976,0.1779),(231040194,0.0495),(232029731,0.0142),(232029128,0.2088),(231043099,0.0221),(232028137,0.0395),(231040076,0.0398),(232031280,0.0388),(231041003,0.1001),(231043816,0.0217),(231040454,0.1495),(231042573,0.0117),(232030658,0.0378),(231042435,0.0493),(231040810,0.0459),(231040234,0.0134),(232027767,0.0448),(232027449,0.0094),(231040707,0.0238),(231042470,0.0413),(231041072,0.0158),(231043503,0.0078),(232029194,0.0025),(232029195,0.0018),(231040962,0.0055),(232031816,0.0314),(232032665,0.0143),(232027996,0.0161),(231040920,0.0011),(232028232,0.0067),(231039678,0.0162),(231044202,0.0157),(232029523,0.0034),(232031916,0.0013),(231042338,0.0008),(232029270,0.0029),(231039924,0.0014),(231040359,0.0016),(235812970,0.0017),(232031016,0.0007),(232030198,0.0000),(232030807,0.0000),(242108281,0.0000)];[(231042472,0.0886),(232027860,0.3041),(231045565,0.0204),(231039720,0.4906),(297103297,0.0675)]
1;9;PROB_EXPECTED_VALUE;[(231044648,0.2239),(231041759,0.0715),(232029020,0.0301),(231045483,0.4863),(232030412,0.0322),(232027600,0.0607),(231044774,0.2571),(231045860,0.0046),(232030271,0.0153),(231040665,0.1029),(231043269,0.1504),(242003113,0.0011),(231040534,0.0788),(231043088,0.1784),(231041667,0.0227),(231044509,0.0246),(232029189,0.0077),(231041089,0.0101),(232027846,0.0258),(231039795,0.0935),(231040493,0.0157),(232027621,0.0934),(231041837,0.0160),(232027768,0.0269),(232031526,0.0330),(232032219,0.0103),(231040642,0.0358),(232028156,0.0198),(232029110,0.0233),(231041660,0.0138),(232032003,0.0122),(231042669,0.0263),(231040163,0.0205),(232028002,0.0131),(231040743,0.0497),(231044414,0.0043),(231041395,0.0064),(232029273,0.0066),(232030353,0.0012),(232030917,0.0092),(232029914,0.0077),(400000963,0.0069),(242109280,0.0031),(232028720,0.0005),(232029614,0.0020),(232029577,0.0021),(242002966,0.0016),(231040153,0.0069),(232028047,0.0000)];[(231044648,0.2239),(231041759,0.0715),(232029020,0.0301),(231045483,0.4863),(232030412,0.0322)]
