=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
2;2;PROB_EXPECTED_VALUE;[(231040913,0.0626),(232029753,0.0788),(231041424,0.5123),(231045367,0.0618),(231043151,0.0351),(231044079,0.1055),(231040491,0.3891),(244068557,0.1123),(231040303,0.0096),(231041004,0.1053),(231042602,0.1232),(231040141,0.0842),(231043324,0.0245),(231040093,0.0879),(231040928,0.0453),(231041056,0.0440),(231044075,0.0522),(231044158,0.0145),(232032538,0.0167),(231043090,0.0926),(231040845,0.0778),(231044438,0.0265),(231042174,0.0239),(231039637,0.0717),(231042342,0.0166),(231039842,0.0806),(231041894,0.0083),(231042484,0.0438),(232028621,0.0697),(232031693,0.0285),(231043359,0.0309),(232028667,0.0188),(232031103,0.0149),(231045246,0.0162),(232028901,0.0049),(231041073,0.0351),(231044334,0.0252),(231041982,0.0053),(231042509,0.0155),(232029664,0.0035),(232031230,0.0135),(242108138,0.0138),(232032329,0.0022),(286019173,0.0048),(232030411,0.0009),(231041692,0.0015),(242002585,0.0010),(231041029,0.0008),(232032133,0.0000)];[(231040913,0.0626),(232029753,0.0788),(231041424,0.5123),(231045367,0.0618),(231043151,0.0351)]
2;3;PROB_EXPECTED_VALUE;[(231043326,0.1537),(231039688,0.1078),(232029118,0.0456),(232027918,0.0305),(231042121,0.2649),(231039987,0.0625),(231039958,0.0149),(232032449,0.0387),(231041368,0.0970),(231045565,0.0221),(232032665,0.0168),(231044503,0.0131),(231041821,0.1335),(231040551,0.0155),(231044656,0.0628),(231041224,0.0219),(232031898,0.0014),(231045510,0.0520),(232031691,0.0258),(232028598,0.0170),(232028706,0.0134),(232030249,0.0091),(232029179,0.0129),(232029276,0.0363),(231042143,0.0463),(231041781,0.0172),(231042449,0.0093),(231045004,0.0234),(232028294,0.0185),(232029892,0.0111),(231040500,0.0066),(231042724,0.0159),(232028349,0.0061),(231044267,0.0071),(231042061,0.0072),(290006865,0.0126),(235812936,0.0050),(232029185,0.0164),(281000664,0.0050),(231042052,0.0184),(235812577,0.0038),(231040909,0.0042),(232031070,0.0027),(231041277,0.0008),(232032160,0.0004),(232031751,0.0020),(231045330,0.0006),(232029380,0.0003),(231040102,0.0000),(232031290,0.0000)];[(231043326,0.1537),(231039688,0.1078),(232029118,0.0456),(232027918,0.0305),(231042121,0.2649)]
2;4;PROB_EXPECTED_VALUE;[(231040080,0.4893),(231040779,0.0222),(231040643,0.0517),(232027846,0.0230),(231039730,0.0259),(231041153,0.0860),(232027946,0.0020),(232031277,0.0022),(232028031,0.0135),(232027504,0.0255),(231041590,0.1389),(231043233,0.0449),(232027818,0.0385),(232030808,0.0171),(400008448,0.0153),(231039639,0.0431),(231041924,0.0865),(231040324,0.0080),(291024292,0.0610),(231043650,0.0362),(231045805,0.0124),(242003287,0.0104),(231044161,0.0061),(231041482,0.0016),(232028319,0.0055),(231045192,0.0112),(232030790,0.0053),(261001886,0.0237),(231040069,0.0106),(232031009,0.0118),(232028712,0.0084),(232030415,0.0069),(231043394,0.0256),(231039679,0.0252),(231040955,0.0101),(232029775,0.0146),(232029857,0.0145),(231040766,0.0163),(232029515,0.0073),(232027529,0.0032),(232027439,0.0042),(231045126,0.0073),(242109207,0.0022),(286017526,0.0080),(231040587,0.0073),(400003322,0.0038),(231040359,0.0018),(232027478,0.0008),(232029928,0.0007),(232031667,0.0000)];[(231040080,0.4893),(231040779,0.0222),(231040643,0.0517),(232027846,0.0230),(231039730,0.0259)]
2;5;PROB_EXPECTED_VALUE;[(400007678,0.2432),(231041517,0.3602),(231041813,0.0970),(231039796,0.0540),(245018234,0.0212),(232031300,0.0321),(232029306,0.2521),(231039808,0.0434),(232027993,0.0547),(231045200,0.2870),(232030057,0.0164),(232032287,0.0649),(231043541,0.4088),(231039656,0.0311),(231043622,0.5295),(231040831,0.2069),(400000360,0.0300),(232031020,0.1720),(231041050,0.0506),(231041033,0.0458),(231042100,0.0618),(232030530,0.0033),(231043478,0.0464),(232031566,0.0105),(232028434,0.0181),(231042401,0.0550),(232028858,0.0335),(232031095,0.0054),(231040817,0.0818),(231041765,0.0141),(231044016,0.0165),(400000890,0.0070),(232028425,0.0175),(232027706,0.0037),(231045737,0.0097),(232030129,0.0065),(232029775,0.0172),(232030270,0.0031),(232029081,0.0020),(248016054,0.0031),(232032340,0.0017),(232027807,0.0007),(232032537,0.0003),(245017940,0.0003),(232030747,0.0002),(231041972,0.0000),(232030634,0.0000),(232028437,0.0000),(232029860,0.0000)];[(400007678,0.2432),(231041517,0.3602),(231041813,0.0970),(231039796,0.0540),(245018234,0.0212)]
2;6;PROB_EXPECTED_VALUE;[(231042163,0.1103),(231043227,0.0393),(231039682,0.1241),(231040349,0.0844),(231040521,0.4911),(231042814,0.2130),(232029274,0.0224),(231040792,0.0523),(231040044,0.2269),(231040559,0.1551),(232027446,0.1112),(231039915,0.0452),(231042485,0.1708),(231039851,0.0193),(231041308,0.0160),(232028602,0.0910),(231043024,0.0647),(400002079,0.0258),(231043578,0.0319),(231040706,0.0618),(231040233,0.0845),(231039947,0.0538),(232030334,0.0077),(231040417,0.0457),(231044538,0.0252),(231045001,0.0059),(231039755,0.0068),(232029797,0.0143),(231041467,0.0069),(232032477,0.0070),(231041016,0.0168),(232030216,0.0435),(231044639,0.0142),(400007887,0.0044),(232028395,0.0129),(400000519,0.0094),(231042416,0.0071),(232028526,0.0027),(232030039,0.0013),(232028418,0.0061),(232029043,0.0088),(281000972,0.0041),(232028614,0.0046),(232028755,0.0027),(232028355,0.0023),(232031863,0.0043),(249103992,0.0025),(232028866,0.0008),(232028996,0.0000)];[(231042163,0.1103),(231043227,0.0393),(231039682,0.1241),(231040349,0.0844),(231040521,0.4911)]
2;7;PROB_EXPECTED_VALUE;[(244071025,0.5021),(231039799,0.0818),(231040119,0.0590),(231042946,0.0809),(400001815,0.0143),(232029349,0.0458),(231041351,0.1006),(232030639,0.1547),(231043172,0.0641),(232029015,0.0803),(231041353,0.0776),(231042607,0.1094),(232027505,0.0349),(231039701,0.1586),(231040211,0.0083),(231042543,0.0483),(231040763,0.0133),(231039760,0.0853),(231043730,0.0147),(232028875,0.0227),(231040858,0.0406),(231043105,0.0261),(231041756,0.0242),(232031304,0.0169),(231044364,0.0809),(231039640,0.0226),(231040682,0.0338),(231042241,0.0077),(232027645,0.0164),(232030193,0.0145),(232030737,0.0572),(231043987,0.0154),(232030907,0.0101),(248019669,0.0058),(231042271,0.0130),(231041016,0.0157),(231040759,0.0100),(231041554,0.0221),(232028124,0.0247),(232027779,0.0016),(232028694,0.0219),(231040798,0.0091),(231045805,0.0110),(232027999,0.0020),(231039995,0.0073),(231045126,0.0067),(248016556,0.0037),(231043531,0.0115),(231039929,0.0017),(232027662,0.0008)];[(244071025,0.5021),(231039799,0.0818),(231040119,0.0590),(231042946,0.0809),(400001815,0.0143)]
2;8;PROB_EXPECTED_VALUE;[(231039832,0.1364),(231045334,0.4689),(231044656,0.0702),(232027712,0.0165),(231040970,0.0832),(232029204,0.0238),(231039829,0.0473),(242108509,0.0359),(232031149,0.0513),(232030380,0.0132),(232030856,0.0688),(231040519,0.0469),(231041509,0.0142),(232027994,0.0483),(231041991,0.0462),(291024292,0.0535),(231039921,0.0789),(231039805,0.0171),(231042268,0.0164),(231040782,0.0933),(231041285,0.0205),(232030376,0.0493),(248019089,0.0094),(232027984,0.0071),(232029008,0.0406),(231040332,0.0346),(232028082,0.0313),(231039804,0.0479),(232027755,0.0285),(232030227,0.0150),(231045268,0.0096),(232028458,0.0117),(231043181,0.0096),(230000336,0.0200),(232030956,0.0153),(232029090,0.0033),(232030203,0.0080),(242108731,0.0165),(232032048,0.0015),(230000306,0.0252),(232028064,0.0097),(286019645,0.0008),(232027572,0.0102),(232032341,0.0039),(232027439,0.0041),(232029790,0.0028),(232027754,0.0051),(232029444,0.0017),(232031902,0.0010),(231040444,0.0018)];[(231039832,0.1364),(231045334,0.4689),(231044656,0.0702),(232027712,0.0165),(231040970,0.0832)]
2;9;PROB_EXPECTED_VALUE;[(231040356,0.1640),(231041502,0.5225),(231041517,0.3360),(245018748,0.0226),(232030638,0.0086),(231041892,0.1569),(232027738,0.0127),(232028589,0.1619),(232028993,0.1030),(231040680,0.0094),(235814081,0.0230),(231040186,0.0507),(231040849,0.0054),(231042328,0.0960),(231039795,0.0934),(231045805,0.0122),(231043143,0.0527),(231040575,0.0179),(232030168,0.0167),(231040519,0.0548),(232029868,0.0231),(232027850,0.0168),(231042179,0.0197),(231042282,0.0674),(231040940,0.0330),(231043482,0.0252),(232028507,0.0115),(231039808,0.0419),(232030748,0.0038),(232029696,0.0041),(232028033,0.0052),(231041827,0.0246),(231045206,0.0158),(248016081,0.0050),(231041290,0.0037),(232029388,0.0039),(232028692,0.0006),(231040805,0.0033),(232027556,0.0065),(232030166,0.0048),(242002495,0.0022),(242108910,0.0013),(232028214,0.0013),(232027657,0.0005),(232029566,0.0007),(232027962,0.0016),(230000397,0.0000),(232031653,0.0000),(232030616,0.0000),(232030381,0.0000)];[(231040356,0.1640),(231041502,0.5225),(231041517,0.3360),(245018748,0.0226),(232030638,0.0086)]
3;0;PROB_EXPECTED_VALUE;[(231042588,0.0353),(232029410,0.2575),(231040140,0.0911),(231044638,0.0981),(231044842,0.0228),(231040128,0.0141),(231040591,0.0259),(232029057,0.0262),(232029783,0.0241),(231044554,0.0267),(232028340,0.0362),(231043497,0.0154),(231040654,0.0850),(231043032,0.0719),(231041667,0.0224),(232028279,0.0944),(231041227,0.0153),(232028427,0.0047),(232031732,0.0303),(231044735,0.0642),(231044351,0.0067),(231043756,0.0093),(231041212,0.0305),(232028922,0.0024),(232028676,0.0338),(232029891,0.0047),(248016104,0.0041),(232031900,0.0007),(232030232,0.0168),(231041632,0.0270),(232028945,0.0081),(232028562,0.0038),(232029920,0.0113),(232029414,0.0015),(232027787,0.0150),(232028043,0.0003),(231042411,0.0035),(232028364,0.0036),(232027475,0.0033),(232027647,0.0025),(232031210,0.0014),(242002703,0.0012),(244075791,0.0022),(244074910,0.0016),(232029271,0.0031),(232028631,0.0025),(232029027,0.0016),(400000454,0.0001),(232031462,0.0000),(232030869,0.0000)];[(231042588,0.0353),(232029410,0.2575),(231040140,0.0911),(231044638,0.0981),(231044842,0.0228)]
3;1;PROB_EXPECTED_VALUE;[(231042016,0.0791),(231043830,0.1267),(232029509,0.0659),(232028917,0.0885),(231043275,0.1705),(231043935,0.0992),(231045327,0.0642),(231042381,0.0019),(232028156,0.0195),(231039857,0.1639),(231041453,0.0676),(231041738,0.0392),(231043016,0.0353),(231039863,0.0162),(232030475,0.0742),(232028573,0.0781),(231039887,0.0892),(232029879,0.0048),(231044048,0.0463),(232030751,0.0164),(231043227,0.0365),(231040403,0.0109),(232031103,0.0153),(232028296,0.0036),(231040968,0.0197),(232032453,0.0163),(232030635,0.0143),(232031962,0.0343),(232030449,0.0152),(231044435,0.0151),(232032216,0.0050),(232031943,0.0256),(230000436,0.0226),(239016104,0.0035),(231043039,0.0286),(231040870,0.0165),(231042281,0.0112),(232028230,0.0031),(232030423,0.0120),(232030707,0.0077),(232031687,0.0047),(232030952,0.0015),(232028730,0.0009),(232028444,0.0007),(232031361,0.0023),(232030795,0.0012),(232031664,0.0013),(230000397,0.0000),(232032621,0.0000),(232030578,0.0000)];[(231042016,0.0791),(231043830,0.1267),(232029509,0.0659),(232028917,0.0885),(231043275,0.1705)]
