=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.1;167.0;329.0;159.0;14.387189;2.8774376;321.0
1;1.0;RANDOM_SELECTION;0.1;168.0;321.0;169.0;12.970141;2.5940287;322.0
2;1.0;RANDOM_SELECTION;0.1;179.0;334.0;192.0;12.863353;2.5726707;347.0
3;1.0;RANDOM_SELECTION;0.1;177.0;353.0;178.0;16.187288;3.2374575;354.0
4;1.0;RANDOM_SELECTION;0.1;151.0;288.0;176.0;8.476269;1.6952538;313.0
5;1.0;RANDOM_SELECTION;0.1;170.0;341.0;180.0;17.547466;3.5094926;351.0
6;1.0;RANDOM_SELECTION;0.1;192.0;348.0;170.0;12.922084;2.5844176;326.0
7;1.0;RANDOM_SELECTION;0.1;158.0;331.0;171.0;13.74296;2.7485914;344.0
8;1.0;RANDOM_SELECTION;0.1;165.0;340.0;141.0;14.62782;2.925564;316.0
9;1.0;RANDOM_SELECTION;0.1;170.0;333.0;163.0;14.689088;2.9378176;326.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RANDOM_SELECTION;0.1;165.0;325.0;157.0;14.09834;2.8196678;317.0
1;1.0;RANDOM_SELECTION;0.1;165.0;315.0;166.0;12.572292;2.514459;316.0
2;1.0;RANDOM_SELECTION;0.1;175.0;326.0;191.0;12.785912;2.5571826;342.0
3;1.0;RANDOM_SELECTION;0.1;174.0;349.0;178.0;16.089167;3.217833;353.0
4;1.0;RANDOM_SELECTION;0.1;148.0;281.0;173.0;8.074835;1.6149671;306.0
5;1.0;RANDOM_SELECTION;0.1;166.0;337.0;171.0;17.496998;3.4993992;342.0
6;1.0;RANDOM_SELECTION;0.1;191.0;344.0;170.0;12.901804;2.5803616;323.0
7;1.0;RANDOM_SELECTION;0.1;155.0;327.0;164.0;13.688702;2.7377398;336.0
8;1.0;RANDOM_SELECTION;0.1;163.0;335.0;141.0;14.55162;2.9103239;313.0
9;1.0;RANDOM_SELECTION;0.1;166.0;325.0;162.0;14.576904;2.915381;321.0

0;0;RANDOM_SELECTION;[];[]
0;1;RANDOM_SELECTION;[];[]
0;2;RANDOM_SELECTION;[];[]
0;3;RANDOM_SELECTION;[];[]
0;4;RANDOM_SELECTION;[];[]
0;5;RANDOM_SELECTION;[];[]
0;6;RANDOM_SELECTION;[];[]
0;7;RANDOM_SELECTION;[];[]
0;8;RANDOM_SELECTION;[];[]
0;9;RANDOM_SELECTION;[];[]
1;0;RANDOM_SELECTION;[];[]
1;1;RANDOM_SELECTION;[];[]
1;2;RANDOM_SELECTION;[];[]
1;3;RANDOM_SELECTION;[];[]
1;4;RANDOM_SELECTION;[];[]
1;5;RANDOM_SELECTION;[];[]
1;6;RANDOM_SELECTION;[];[]
1;7;RANDOM_SELECTION;[];[]
1;8;RANDOM_SELECTION;[];[]
1;9;RANDOM_SELECTION;[];[]
2;0;RANDOM_SELECTION;[(232030841,0.0000),(232029594,0.0000),(232028901,0.0000),(231042464,0.0000),(242003768,0.0000),(231043224,0.0000),(232030358,0.0000),(232029460,0.0000),(231039970,0.0000),(232030488,0.0000),(232031396,0.0000),(231045800,0.0000),(231040768,0.0000),(242003235,0.0000),(232032455,0.0000),(248018990,0.0000),(232031345,0.0000),(231043133,0.0000),(231039695,0.0000),(231045038,0.0000),(231043474,0.0000),(232031859,0.0000),(231042049,0.0000),(232031557,0.0000),(231041654,0.0000),(231040021,0.0000),(400000489,0.0000),(231042953,0.0000),(242003454,0.0000),(232027887,0.0000),(231042789,0.0000),(232030113,0.0000),(231042402,0.0000),(231041187,0.0000),(231041423,0.0000),(232031164,0.0000),(231044710,0.0000),(231042619,0.0000),(232028045,0.0000),(231045397,0.0000),(231041412,0.0000),(231041212,0.0000),(232030061,0.0000),(232027474,0.0000),(231040955,0.0000),(231040401,0.0000),(231041016,0.0000),(232030247,0.0000)];[(232030841,0.0000),(232029594,0.0000),(232028901,0.0000),(231042464,0.0000),(242003768,0.0000)]
2;1;RANDOM_SELECTION;[(231044820,0.0000),(231041725,0.0000),(231040730,0.0000),(231039639,0.0000),(232029657,0.0000),(231042076,0.0000),(231041011,0.0000),(231042146,0.0000),(232031099,0.0000),(232029239,0.0000),(231042551,0.0000),(244069659,0.0000),(231045104,0.0000),(231040977,0.0000),(232028640,0.0000),(245018543,0.0000),(232029202,0.0000),(232032497,0.0000),(231042579,0.0000),(232027584,0.0000),(232028670,0.0000),(232031609,0.0000),(231043537,0.0000),(235301046,0.0000),(232027459,0.0000),(231043404,0.0000),(232030629,0.0000),(231043925,0.0000),(231041641,0.0000),(242003228,0.0000),(232028321,0.0000),(232027576,0.0000),(231041074,0.0000),(231042475,0.0000),(231044418,0.0000),(231040801,0.0000),(231044482,0.0000),(244068568,0.0000),(232032435,0.0000),(232028944,0.0000),(232030873,0.0000),(231042532,0.0000),(232030089,0.0000),(231040586,0.0000),(232029138,0.0000),(232027729,0.0000),(231040325,0.0000),(232028431,0.0000),(232028919,0.0000),(400007807,0.0000)];[(231044820,0.0000),(231041725,0.0000),(231040730,0.0000),(231039639,0.0000),(232029657,0.0000)]
2;2;RANDOM_SELECTION;[(242108504,0.0000),(232027472,0.0000),(231041337,0.0000),(231042025,0.0000),(232027797,0.0000),(231043504,0.0000),(231041742,0.0000),(231042674,0.0000),(231042483,0.0000),(232030822,0.0000),(400001297,0.0000),(231042305,0.0000),(232028733,0.0000),(231041345,0.0000),(231039764,0.0000),(232031657,0.0000),(232031913,0.0000),(231040212,0.0000),(232027675,0.0000),(231044976,0.0000),(232028379,0.0000),(232029134,0.0000),(232031771,0.0000),(231043443,0.0000),(232031968,0.0000),(232029619,0.0000),(231043167,0.0000),(232032256,0.0000),(231042135,0.0000),(232027581,0.0000),(232028499,0.0000),(231041146,0.0000),(231040506,0.0000),(286016702,0.0000),(231041737,0.0000),(231041396,0.0000),(232030423,0.0000),(232028444,0.0000),(231039893,0.0000),(232029210,0.0000),(231042168,0.0000),(232029748,0.0000),(232031870,0.0000),(242003768,0.0000),(232028252,0.0000),(231042721,0.0000),(231039703,0.0000),(232028297,0.0000),(232030251,0.0000),(231044885,0.0000)];[(242108504,0.0000),(232027472,0.0000),(231041337,0.0000),(231042025,0.0000),(232027797,0.0000)]
2;3;RANDOM_SELECTION;[(231039648,0.0000),(231043622,0.0000),(231043669,0.0000),(231040605,0.0000),(232032041,0.0000),(232028768,0.0000),(231040979,0.0000),(232030599,0.0000),(232029436,0.0000),(232027832,0.0000),(231042352,0.0000),(232030663,0.0000),(400010219,0.0000),(232028458,0.0000),(231041716,0.0000),(232028176,0.0000),(232029357,0.0000),(232028105,0.0000),(231041425,0.0000),(231040826,0.0000),(231045526,0.0000),(232030698,0.0000),(231042099,0.0000),(232029038,0.0000),(231039921,0.0000),(231040555,0.0000),(232030443,0.0000),(231045833,0.0000),(232031299,0.0000),(231042305,0.0000),(231040742,0.0000),(232028889,0.0000),(231043822,0.0000),(231043109,0.0000),(231044431,0.0000),(232028608,0.0000),(231039702,0.0000),(232031131,0.0000),(231044929,0.0000),(232028873,0.0000),(231039975,0.0000),(231041327,0.0000),(231039708,0.0000),(232029557,0.0000),(232032329,0.0000),(232027664,0.0000),(231041568,0.0000),(231041132,0.0000),(232028900,0.0000),(231040970,0.0000)];[(231039648,0.0000),(231043622,0.0000),(231043669,0.0000),(231040605,0.0000),(232032041,0.0000)]
2;4;RANDOM_SELECTION;[(232030477,0.0000),(231042069,0.0000),(231042895,0.0000),(245017262,0.0000),(231044647,0.0000),(231045513,0.0000),(242003297,0.0000),(231040711,0.0000),(231045571,0.0000),(231041193,0.0000),(232029670,0.0000),(232027939,0.0000),(231044382,0.0000),(232028297,0.0000),(231039839,0.0000),(232027634,0.0000),(232031157,0.0000),(232028337,0.0000),(231040405,0.0000),(232028842,0.0000),(232030808,0.0000),(232030653,0.0000),(232030074,0.0000),(231040434,0.0000),(232031074,0.0000),(232028885,0.0000),(231042709,0.0000),(232029456,0.0000),(231040270,0.0000),(231042111,0.0000),(232029668,0.0000),(231043818,0.0000),(231041056,0.0000),(231040347,0.0000),(232027888,0.0000),(242109102,0.0000),(232029182,0.0000),(232029618,0.0000),(231044215,0.0000),(232031318,0.0000),(231042587,0.0000),(231044516,0.0000),(232029768,0.0000),(231039782,0.0000),(232030650,0.0000),(235813386,0.0000),(286016702,0.0000),(231042559,0.0000),(231043983,0.0000),(232028932,0.0000)];[(232030477,0.0000),(231042069,0.0000),(231042895,0.0000),(245017262,0.0000),(231044647,0.0000)]
2;5;RANDOM_SELECTION;[(232029031,0.0000),(242108757,0.0000),(231040390,0.0000),(231043756,0.0000),(231040207,0.0000),(231041103,0.0000),(232028331,0.0000),(231041146,0.0000),(231042437,0.0000),(231042338,0.0000),(232028137,0.0000),(248018134,0.0000),(232028499,0.0000),(261001888,0.0000),(231041283,0.0000),(231040085,0.0000),(282001197,0.0000),(245018605,0.0000),(231039974,0.0000),(232031263,0.0000),(281000661,0.0000),(231044381,0.0000),(231041150,0.0000),(232031888,0.0000),(231043435,0.0000),(232031782,0.0000),(231040072,0.0000),(232028261,0.0000),(232030481,0.0000),(232032391,0.0000),(232027507,0.0000),(242002673,0.0000),(231039819,0.0000),(231039713,0.0000),(231040844,0.0000),(231044606,0.0000),(232032169,0.0000),(235813366,0.0000),(231042541,0.0000),(232030132,0.0000),(232029741,0.0000),(400001424,0.0000),(232031342,0.0000),(231041677,0.0000),(231040931,0.0000),(244074872,0.0000),(231042115,0.0000),(232031609,0.0000),(232029649,0.0000)];[(232029031,0.0000),(242108757,0.0000),(231040390,0.0000),(231043756,0.0000),(231040207,0.0000)]
