step;CLsAvg;CLsStd;CLsMin;CLsMax;CLsByMagAvg;CLsByMagStd;CLsByMagMin;CLsByMagMax;FLsAvg;FLsStd;FLsMin;FLsMax;PayAvg;PayStd;PayMin;PayMax;PeopleWorkExtraAvg;PeopleWorkExtraStd;PeopleWorkExtraMin;PeopleWorkExtraMax;PeopleWithBonusAvg;PeopleWithBonusStd;PeopleWithBonusMin;PeopleWithBonusMax;ExpectedCLsAvg;ExpectedCLsStd;ExpectedCLsMin;ExpectedCLsMax;ExpectedFLsAvg;ExpectedFLsStd;ExpectedFLsMin;ExpectedFLsMax;
16;6604.0669;55.4181;6466.0000;6704.0000;518.7369;14.0955;495.7387;547.4069;3208.3333;51.3059;3113.0000;3305.0000;6.2621;0.6055;5.1308;7.9563;111.4333;4.0402;103.0000;123.0000;0.0000;0.0000;0.0000;0.0000;6493.3335;54.0615;6373.0000;6606.0000;3319.0667;46.1743;3227.0000;3426.0000;
17;7000.0000;55.2661;6875.0000;7091.0000;550.1160;14.7843;521.7581;577.9418;3396.4666;55.1047;3311.0000;3505.0000;6.2758;0.6573;4.9194;7.3930;111.7333;3.9994;101.0000;120.0000;0.0000;0.0000;0.0000;0.0000;6878.7998;53.9587;6749.0000;7000.0000;3517.6667;43.4141;3418.0000;3593.0000;
18;7393.0332;54.3275;7269.0000;7479.0000;580.4397;14.2632;554.7287;606.5277;3585.3999;54.7833;3506.0000;3693.0000;6.0647;0.5029;4.9103;7.2231;111.5667;3.9886;102.0000;118.0000;0.0000;0.0000;0.0000;0.0000;7257.4331;53.6288;7134.0000;7379.0000;3721.0000;45.2015;3604.0000;3802.0000;
19;7789.1001;53.8532;7670.0000;7869.0000;611.9293;14.5673;588.3536;640.6193;3774.0334;54.9881;3679.0000;3890.0000;6.2979;0.6253;5.1331;7.5212;111.3333;4.6188;99.0000;124.0000;0.0000;0.0000;0.0000;0.0000;7637.7334;56.7286;7524.0000;7759.0000;3925.3999;45.1844;3813.0000;4018.0000;
20;8181.9668;59.4147;8048.0000;8277.0000;642.7921;15.7641;615.6628;675.3046;3966.3667;61.0672;3870.0000;4100.0000;6.1725;0.7555;4.8686;7.9038;111.7000;4.8148;104.0000;122.0000;0.0000;0.0000;0.0000;0.0000;8021.1665;59.4417;7909.0000;8153.0000;4127.1665;46.8417;4029.0000;4225.0000;
21;8576.0000;62.1860;8430.0000;8673.0000;674.0682;16.1791;644.5525;708.5983;4159.2002;58.1143;4057.0000;4296.0000;6.2552;0.7761;4.8214;7.7554;111.0667;5.2584;98.0000;121.0000;0.0000;0.0000;0.0000;0.0000;8404.6338;57.3480;8297.0000;8536.0000;4330.5669;43.4723;4239.0000;4437.0000;
22;8969.2666;63.1402;8809.0000;9065.0000;704.2908;17.1400;671.8491;739.4983;4346.7998;61.2842;4245.0000;4480.0000;6.0445;0.6152;4.8172;7.1425;110.3000;3.1089;104.0000;116.0000;0.0000;0.0000;0.0000;0.0000;8788.8330;57.2382;8668.0000;8907.0000;4527.2334;48.7221;4407.0000;4664.0000;
23;9362.7998;67.7436;9183.0000;9456.0000;735.3316;17.1039;705.7020;772.1135;4536.8667;63.1171;4429.0000;4686.0000;6.2082;0.4679;5.2158;7.1244;110.7667;4.8614;101.0000;121.0000;0.0000;0.0000;0.0000;0.0000;9171.1670;56.1096;9043.0000;9277.0000;4728.5000;49.4004;4607.0000;4867.0000;
24;9756.3662;68.1694;9590.0000;9870.0000;766.0208;17.7145;736.5490;801.6512;4727.1665;65.1397;4630.0000;4866.0000;6.1378;0.5854;5.0595;7.3515;111.5333;4.2323;104.0000;119.0000;0.0000;0.0000;0.0000;0.0000;9552.9336;58.3987;9415.0000;9658.0000;4930.6001;56.0324;4797.0000;5072.0000;
25;10150.8330;70.2091;9970.0000;10262.0000;797.0876;18.1830;767.8723;831.9089;4916.2002;68.5366;4806.0000;5074.0000;6.2133;0.6091;4.8259;7.4746;109.7667;4.9108;100.0000;119.0000;0.0000;0.0000;0.0000;0.0000;9936.6338;59.2932;9806.0000;10039.0000;5130.3999;56.5427;5004.0000;5276.0000;
26;10544.0664;71.6572;10365.0000;10685.0000;828.5098;18.0914;795.1392;863.1533;5109.5332;70.4751;5000.0000;5279.0000;6.2844;0.5785;5.4317;8.1439;110.4333;5.0013;97.0000;120.0000;0.0000;0.0000;0.0000;0.0000;10319.8330;58.8019;10181.0000;10422.0000;5333.7666;58.1500;5209.0000;5484.0000;
27;10938.4668;69.7754;10752.0000;11064.0000;858.2867;18.3535;821.5765;895.3484;5300.2666;70.3111;5171.0000;5474.0000;5.9554;0.4392;5.0816;7.1033;111.7333;3.7594;106.0000;119.0000;0.0000;0.0000;0.0000;0.0000;10706.5996;57.2753;10580.0000;10802.0000;5532.1333;56.2566;5416.0000;5676.0000;
28;11328.1670;74.2313;11131.0000;11478.0000;889.1733;17.7695;850.3534;926.9863;5491.2002;73.9596;5357.0000;5695.0000;6.1773;0.6057;4.4896;7.5183;110.5333;4.6885;98.0000;121.0000;0.0000;0.0000;0.0000;0.0000;11086.4336;57.2193;10967.0000;11184.0000;5732.9331;55.6776;5614.0000;5870.0000;
29;11724.8662;78.4407;11520.0000;11905.0000;921.0978;19.0757;885.0887;966.8961;5679.2666;73.7264;5557.0000;5870.0000;6.3849;0.6685;5.1257;7.9820;112.3333;4.3576;103.0000;122.0000;0.0000;0.0000;0.0000;0.0000;11471.4004;56.5604;11340.0000;11554.0000;5932.7334;57.9744;5815.0000;6053.0000;
30;12118.5996;75.7703;11940.0000;12290.0000;951.8768;18.5892;912.4076;994.6774;5870.7998;72.9839;5744.0000;6049.0000;6.1558;0.6804;4.7786;8.3221;111.0000;4.7270;101.0000;121.0000;0.0000;0.0000;0.0000;0.0000;11856.1670;60.8095;11718.0000;11943.0000;6133.2334;59.9998;6025.0000;6257.0000;
31;12512.3662;78.6544;12317.0000;12681.0000;982.0135;18.5750;942.0250;1028.0959;6061.0669;69.5963;5940.0000;6229.0000;6.0274;0.7121;4.6617;7.8372;110.2667;3.6097;105.0000;117.0000;0.0000;0.0000;0.0000;0.0000;12240.2666;66.2071;12088.0000;12349.0000;6333.1665;59.1999;6216.0000;6457.0000;
32;12901.7334;84.0086;12697.0000;13095.0000;1012.5779;19.4318;971.2173;1063.1907;6253.0000;73.2718;6128.0000;6442.0000;6.1129;0.5709;4.8886;7.0189;110.6333;4.3508;102.0000;120.0000;0.0000;0.0000;0.0000;0.0000;12617.5332;65.1501;12470.0000;12722.0000;6537.2002;62.3878;6395.0000;6661.0000;
33;13297.5000;84.7506;13085.0000;13497.0000;1044.7046;20.4739;1000.1635;1098.0120;6443.2998;72.8386;6314.0000;6634.0000;6.4253;0.7046;4.8706;7.8959;111.6000;3.9093;105.0000;119.0000;0.0000;0.0000;0.0000;0.0000;13002.2334;68.0678;12846.0000;13139.0000;6738.5669;63.6291;6582.0000;6860.0000;
34;13690.2666;86.2502;13469.0000;13876.0000;1076.2202;21.8956;1028.5341;1131.7596;6633.0332;73.0453;6504.0000;6826.0000;6.3031;0.7187;4.8634;7.6788;112.0667;3.8231;103.0000;119.0000;0.0000;0.0000;0.0000;0.0000;13387.5664;71.3745;13228.0000;13535.0000;6935.7334;62.4549;6779.0000;7047.0000;
35;14081.7334;88.5461;13861.0000;14290.0000;1106.6807;22.6775;1058.5962;1161.3640;6824.2998;73.6409;6702.0000;7020.0000;6.0921;0.6394;4.8246;7.4935;109.5000;4.7179;98.0000;120.0000;0.0000;0.0000;0.0000;0.0000;13768.0664;71.2494;13637.0000;13941.0000;7137.9668;62.2489;6947.0000;7258.0000;
36;14475.8662;88.1479;14260.0000;14658.0000;1138.2864;22.9890;1088.5378;1190.3175;7015.8999;75.9670;6899.0000;7228.0000;6.3212;0.5378;5.2594;7.7018;111.9000;4.5890;103.0000;121.0000;0.0000;0.0000;0.0000;0.0000;14152.2998;72.0082;14020.0000;14328.0000;7339.4668;65.4295;7130.0000;7443.0000;
37;14869.5332;91.4665;14648.0000;15048.0000;1169.6135;23.4847;1120.7219;1221.4802;7207.0332;74.6391;7098.0000;7415.0000;6.2655;0.4809;5.4284;7.2941;112.8667;4.3290;102.0000;122.0000;0.0000;0.0000;0.0000;0.0000;14535.0000;71.2964;14416.0000;14691.0000;7541.5669;63.5483;7344.0000;7651.0000;
