LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80;CertaintyForConv;ConvertedLead
232031037;0.032974910394265235;Products;48;48;-1;48;-1;48;-1;-1;0.2;1
232031040;0.04751971326164874;Products;48;58;-1;58;-1;49;49;58;0.8;1
232031042;0.03225806451612903;Products;48;59;-1;59;-1;49;49;50;0.8;1
232031044;0.0020465949820788532;Products;48;48;-1;48;-1;48;48;-1;0.4;1
232031045;0.009954301075268818;Products;48;49;-1;49;-1;48;48;-1;0.4;1
232031047;0.014259032258064517;Products;48;50;-1;50;-1;-1;50;-1;0.4;1
232031048;0.008975985663082438;Products;48;49;-1;49;-1;-1;49;-1;0.4;1
232031049;0.008247813620071685;Products;48;51;-1;51;-1;-1;51;-1;0.4;1
232031050;0.03225806451612903;Products;48;48;48;-1;48;48;48;-1;0.4;0
232031051;0.00550810035842294;Products;48;49;-1;49;-1;-1;49;-1;0.4;1
232031053;0.00786774193548387;Products;48;49;-1;49;-1;-1;49;-1;0.4;1
232031061;0.0;Products;49;49;49;-1;49;-1;49;-1;0.4;0
232031062;0.0;Products;49;49;49;-1;49;-1;49;-1;0.4;0
232031063;0.001882186379928316;Products;49;67;-1;67;-1;-1;60;60;0.8;1
232031064;0.002274480286738351;Products;49;58;58;-1;58;-1;58;-1;0.4;0
232031066;0.0;Products;49;49;49;-1;49;-1;49;-1;0.4;0
232031067;0.011143655913978494;Products;49;58;58;-1;58;-1;58;-1;0.4;0
232031068;0.007766200716845878;Products;49;49;-1;49;-1;-1;49;-1;0.4;1
232031069;0.007236810035842294;Products;49;49;-1;49;-1;-1;49;49;0.8;1
232031070;0.005880143369175627;Products;49;49;-1;49;-1;-1;49;-1;0.4;1
232031073;0.08602150537634409;Products;49;63;63;-1;63;49;49;-1;0.0;0
232031074;0.07992831541218638;Products;49;64;64;-1;64;49;49;-1;0.0;0
232031077;0.0;Products;49;68;68;-1;68;49;49;-1;0.0;0
232031079;0.002591003584229391;Products;49;67;67;-1;67;-1;67;-1;0.4;0
232031080;0.06356609318996416;Products;49;49;49;-1;49;49;49;-1;0.4;0
232031081;0.1994695340501792;Systems & Services;49;54;-1;54;-1;49;50;49;0.4;1
232031082;0.08602150537634409;Products;49;49;49;-1;49;49;-1;-1;0.2;0
