LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80
231045361;5000;Products;61;72;-1;72;-1;-1;72;-1
231045521;11128;Products;63;72;-1;72;-1;63;63;-1
231045641;2270;Products;64;72;-1;72;-1;64;64;-1
231045897;9227;Products;67;72;-1;72;-1;67;67;-1
231045933;34000;Systems & Services;67;72;-1;72;-1;67;67;-1
232027506;41244;Systems & Services;2;72;-1;72;-1;2;2;56
232027907;29000;Products;7;72;72;-1;7;-1;7;-1
232028063;10000;Products;9;72;72;-1;72;9;9;-1
232028639;30000;Products;16;72;72;-1;72;16;16;-1
232029036;50000;Products;21;72;72;-1;72;21;21;-1
232029640;13992;Products;29;72;-1;72;-1;34;34;-1
232030055;10000;Systems & Services;36;72;72;-1;72;36;36;-1
232030056;10000;Products;36;72;72;-1;72;36;36;-1
232030057;10000;Products;36;72;72;-1;36;36;36;-1
232030261;12000;Products;39;72;-1;72;-1;72;-1;-1
232030529;32022;Products;42;72;72;-1;42;42;43;-1
232030962;3615;Products;47;72;-1;72;-1;47;47;-1
232031233;1432,9;Products;50;72;72;-1;72;-1;72;-1
232031392;1500;Products;52;72;-1;72;-1;70;70;70
232031433;1413,07;Products;52;72;72;-1;72;-1;72;-1
232031515;10000;Products;55;72;72;-1;55;55;-1;-1
232031522;14000;Systems & Services;55;72;-1;72;-1;55;55;65
232031597;4732,28;Products;56;72;72;-1;72;56;56;-1
232031627;30000;Systems & Services;56;72;-1;72;-1;-1;-1;72
232031841;12330,08;Products;58;72;72;-1;72;58;58;-1
232031898;1772,34;Products;59;72;-1;72;-1;59;59;-1
232031915;5733;Products;59;72;-1;72;-1;59;59;-1
232031970;11000;Products;60;72;72;-1;60;60;-1;-1
232032003;7921,73;Products;60;72;-1;72;-1;60;60;-1
232032155;1062,4;Products;61;72;-1;72;-1;-1;72;-1
232032166;1;Products;61;72;72;-1;65;65;65;-1
232032262;5802;Products;62;72;72;-1;72;72;-1;-1
232032287;35000;Products;63;72;72;-1;72;72;-1;-1
232032307;18929;Products;63;72;72;-1;72;-1;72;-1
232032646;44609,2;Products;66;72;-1;72;66;-1;66;72
232032665;10000;Products;67;72;-1;72;72;-1;-1;-1
