LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80;CertaintyForConv;ConvertedLead
232028755;2683;Products;17;41;41;-1;41;-1;41;-1;0.4;0
232028756;2000;Products;17;21;-1;21;-1;17;17;18;0.8;1
232028758;2951.09;Products;17;40;-1;40;-1;17;17;23;0.8;1
232028762;21440.03;Products;17;24;-1;24;23;-1;-1;23;0.8;1
232028763;20000;Products;17;39;-1;39;-1;39;-1;-1;0.2;1
232028764;10000;Systems & Services;17;44;-1;44;17;17;-1;-1;0.2;1
232028765;7523;Products;17;18;18;-1;18;17;17;-1;0;0
232028767;20000;Products;17;48;48;-1;17;17;-1;-1;0.2;0
232028768;4149.35;Products;17;19;-1;19;-1;-1;19;-1;0.4;1
232028769;5000;Systems & Services;17;50;-1;50;-1;17;34;17;0.4;1
232028773;9142;Products;17;29;-1;29;-1;-1;-1;29;0.8;1
232028774;7183;Products;17;35;-1;35;17;-1;-1;17;0.8;1
232028775;15000;Products;17;50;-1;50;17;-1;-1;17;0.8;1
232028776;20000;Products;18;27;27;-1;27;18;18;-1;0;0
232028777;22415;Products;18;32;32;-1;32;18;18;-1;0;0
232028780;54854.02;Systems & Services;18;21;-1;21;-1;18;-1;18;0.8;1
232028781;6363.66;Systems & Services;18;51;-1;51;24;24;37;-1;0.4;1
232028782;50000;Products;18;43;-1;43;-1;18;18;-1;0.4;1
232028784;10000;Products;18;18;18;-1;18;18;-1;-1;0.2;0
232028788;3372;Products;18;38;-1;38;-1;18;18;-1;0.4;1
232028789;20000;Systems & Services;18;36;-1;36;-1;36;-1;-1;0.2;1
232028792;15000;Products;18;44;-1;44;-1;18;18;44;0.8;1
232028793;5000;Products;18;18;18;-1;18;-1;18;-1;0.4;0
232028794;2500;Products;18;70;-1;70;-1;18;18;-1;0.4;1
232028795;15000;Products;18;18;18;-1;18;-1;18;-1;0.4;0
232028796;5000;Products;18;43;43;-1;43;43;-1;-1;0.2;0
232028797;3689.74;Products;18;18;-1;18;-1;18;18;-1;0.4;1
232028798;2146.13;Products;18;24;-1;24;-1;18;18;-1;0.4;1
232028799;1900;Products;18;23;-1;23;-1;-1;23;-1;0.4;1
232028800;13790.5;Products;18;29;29;-1;29;-1;29;-1;0.4;0
232028803;10000;Products;18;42;42;-1;42;42;-1;-1;0.2;0
232028807;9191.49;Products;18;20;-1;20;18;18;-1;-1;0.2;1
232028808;8000;Products;18;47;47;-1;44;40;40;-1;0;0
232028810;20000;Products;18;37;37;-1;37;18;-1;18;0;0
232028811;50000;Systems & Services;18;18;18;-1;18;18;-1;-1;0.2;0
232028812;15000;Products;18;49;49;-1;49;18;18;-1;0;0
232028814;15000;Products;18;33;33;-1;33;18;18;-1;0;0
232028815;15000;Products;18;18;18;-1;18;-1;18;-1;0.4;0
232028816;25000;Products;18;18;18;-1;18;18;-1;-1;0.2;0
232028817;30000;Products;18;56;-1;56;-1;18;18;39;0.8;1
232028820;2950.87;Products;18;21;21;-1;21;18;18;-1;0;0
232028824;2418.14;Products;18;20;-1;20;-1;-1;20;-1;0.4;1
232028825;50000;Systems & Services;18;43;-1;43;-1;18;-1;18;0.8;1
232028826;1185.13;Products;18;18;-1;18;-1;-1;18;-1;0.4;1
232028827;3383;Products;18;50;50;-1;50;-1;50;-1;0.4;0
232028828;2518.9;Products;18;19;-1;19;-1;18;18;-1;0.4;1
232028832;4500;Products;18;36;36;-1;36;18;18;-1;0;0
232028833;1;Products;18;18;18;-1;18;18;-1;-1;0.2;0
232028834;1847;Products;18;23;-1;23;-1;-1;23;-1;0.4;1
232028836;3187.44;Products;18;25;-1;25;-1;-1;25;-1;0.4;1
232028837;10000;Products;18;18;18;-1;18;18;-1;-1;0.2;0
232028838;2500;Products;19;23;23;-1;23;-1;19;19;0;0
232028842;9820;Products;19;23;23;-1;23;19;19;-1;0;0
232028843;10432.54;Products;19;29;29;-1;29;-1;29;-1;0.4;0
232028844;5000;Systems & Services;19;66;-1;66;-1;19;19;-1;0.4;1
232028848;5000;Products;19;51;51;-1;19;19;-1;-1;0.2;0
232028849;9035;Products;19;23;-1;23;-1;-1;23;-1;0.4;1
232028850;2147;Products;19;25;25;-1;25;-1;25;-1;0.4;0
232028851;5000;Products;19;24;24;-1;24;19;19;-1;0;0
232028852;3815;Products;19;20;-1;20;-1;-1;20;-1;0.4;1
232028853;2352;Products;19;19;-1;19;-1;-1;19;-1;0.4;1
232028855;20000;Products;19;43;-1;43;19;-1;19;-1;0.4;1
232028856;25000;Systems & Services;19;38;-1;38;-1;19;26;19;0.4;1
232028857;5000;Products;19;32;32;-1;19;-1;19;-1;0.4;0
232028858;20000;Products;19;57;-1;57;57;-1;-1;-1;0;1
232028859;10000;Products;19;38;38;-1;19;-1;19;-1;0.4;0
232028860;15460.45;Products;19;19;-1;19;-1;-1;19;-1;0.4;1
232028861;1352;Products;19;25;-1;25;-1;-1;25;-1;0.4;1
232028862;3525;Products;19;38;-1;38;-1;-1;38;-1;0.4;1
232028864;30000;Systems & Services;19;47;47;-1;47;38;38;38;0;0
232028865;1601.88;Products;19;20;-1;20;-1;-1;20;-1;0.4;1
232028866;1419.12;Products;19;26;-1;26;-1;-1;26;-1;0.4;1
232028867;12200;Products;19;47;47;-1;47;19;19;-1;0;0
232028870;2063;Products;19;50;50;-1;50;-1;50;-1;0.4;0
232028871;50000;Products;19;64;64;-1;19;20;19;-1;0.2;0
232028872;6600;Systems & Services;19;20;-1;20;-1;-1;19;19;0.8;1
232028873;60500;Products;19;57;-1;57;-1;19;20;19;0.4;1
232028874;20000;Products;19;38;38;-1;38;38;-1;-1;0.2;0
232028875;15000;Products;19;20;-1;20;19;-1;19;-1;0.4;1
232028876;800;Products;19;22;-1;22;19;-1;19;-1;0.4;1
232028880;1;Products;19;19;19;-1;19;19;-1;-1;0.2;0
232028882;1;Products;19;19;19;-1;19;19;-1;19;0.8;0
232028883;5000;Products;19;28;-1;28;-1;19;-1;19;0.8;1
232028884;5000;Products;19;28;-1;28;-1;19;-1;19;0.8;1
232028885;7000;Products;19;39;39;-1;39;19;19;-1;0;0
232028886;5000;Products;19;19;19;-1;19;19;-1;-1;0.2;0
232028887;5000;Products;19;19;19;-1;19;19;-1;-1;0.2;0
232028889;24960;Products;19;24;-1;24;-1;-1;20;20;0.8;1
232028890;6641.32;Products;19;20;-1;20;-1;19;19;-1;0.4;1
232028891;2748.5;Products;19;20;-1;20;-1;-1;20;-1;0.4;1
232028892;9964.63;Products;19;39;39;-1;39;-1;39;-1;0.4;0
232028893;5052.6;Products;19;36;-1;36;-1;-1;35;35;0.8;1
232028895;6979.38;Products;19;41;-1;41;-1;-1;41;-1;0.4;1
232028896;5560;Products;19;65;65;-1;65;-1;65;-1;0.4;0
232028897;114679;Systems & Services;19;50;-1;50;-1;19;19;-1;0.4;1
232028899;5000;Products;20;32;32;-1;32;32;-1;-1;0.2;0
232028900;10000;Products;20;40;-1;40;25;25;26;-1;0.4;1
