=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
2;2;LARGEST_MAGNITUDE;[(232027543,0.3548),(231040010,0.3190),(291025087,0.1900),(231041995,0.1756),(231044666,0.1756),(232031977,0.1649),(231043436,0.1308),(231040984,0.1237),(231041186,0.1219),(231045396,0.1183),(231040638,0.1039),(235812574,0.0871),(242108509,0.0759),(232030412,0.0717),(231043108,0.0681),(232029890,0.0681),(231041097,0.0681),(232027956,0.0593),(231042816,0.0542),(231044584,0.0502),(231041195,0.0502),(231040699,0.0502),(232028209,0.0502),(231044693,0.0502),(231042939,0.0502),(231042743,0.0502),(232031251,0.0414),(231041766,0.0323),(231045824,0.0323),(232028803,0.0323),(231045676,0.0323),(232027732,0.0319),(231040145,0.0319),(231041713,0.0273),(231039649,0.0251),(232030702,0.0143),(231044191,0.0143),(231043457,0.0143),(231043625,0.0143),(232027839,0.0143),(232029923,0.0087),(232028957,0.0084),(232029307,0.0054),(232032026,0.0051),(232032128,0.0026),(232030955,0.0025),(235813386,0.0020),(245017789,0.0016),(232031258,0.0014),(232031255,0.0010)];[(232027543,0.3548),(231040010,0.3190),(291025087,0.1900),(231041995,0.1756),(231044666,0.1756)]
2;3;LARGEST_MAGNITUDE;[(232029794,0.8925),(231044018,0.3548),(232027997,0.3190),(231041728,0.2652),(231041490,0.2122),(232030580,0.2039),(231041368,0.1935),(244069685,0.1882),(231042055,0.1756),(231039973,0.1756),(231043825,0.1445),(231043173,0.1398),(232029196,0.1260),(231040942,0.1219),(231039703,0.1064),(231044476,0.1039),(232028227,0.1039),(231040474,0.0860),(231044226,0.0681),(232030386,0.0585),(231040133,0.0538),(231043882,0.0502),(231039961,0.0502),(231042056,0.0502),(231041211,0.0456),(232029070,0.0443),(297103908,0.0392),(231043678,0.0323),(232029131,0.0323),(232032339,0.0323),(231041124,0.0323),(231041916,0.0323),(231041189,0.0323),(232029064,0.0284),(231039917,0.0233),(248018134,0.0228),(286017526,0.0182),(232029656,0.0163),(232027867,0.0151),(231042697,0.0143),(232029210,0.0143),(232030417,0.0143),(232032092,0.0143),(232028257,0.0143),(232030541,0.0139),(232029696,0.0086),(231042537,0.0048),(232032269,0.0029),(232032552,0.0011),(232030371,0.0000)];[(232029794,0.8925),(231044018,0.3548),(232027997,0.3190),(231041728,0.2652),(231041490,0.2122)]
2;4;LARGEST_MAGNITUDE;[(231045725,0.4077),(231042182,0.3548),(231044018,0.3548),(231040157,0.1756),(231041006,0.1756),(232029304,0.1756),(232027622,0.1756),(231041489,0.1756),(232030001,0.1542),(232027902,0.1219),(232032287,0.1219),(231042235,0.1219),(231039796,0.1140),(231044304,0.1039),(231040417,0.0932),(232029008,0.0860),(231040928,0.0860),(231039818,0.0681),(231040341,0.0677),(231045469,0.0648),(231039677,0.0502),(231039679,0.0502),(231039961,0.0502),(231041827,0.0502),(231041825,0.0502),(231041756,0.0475),(231045713,0.0397),(231040168,0.0323),(232027896,0.0323),(232027553,0.0315),(231040613,0.0251),(232028397,0.0215),(231042246,0.0201),(232032088,0.0176),(231042701,0.0143),(232027534,0.0143),(231044912,0.0111),(231040533,0.0107),(231041290,0.0082),(232029106,0.0062),(242109259,0.0062),(232029987,0.0059),(232030841,0.0058),(231040027,0.0054),(231039859,0.0052),(232030236,0.0021),(232028649,0.0020),(400002480,0.0000),(232031932,0.0000),(232028445,0.0000)];[(231045725,0.4077),(231042182,0.3548),(231044018,0.3548),(231040157,0.1756),(231041006,0.1756)]
2;5;LARGEST_MAGNITUDE;[(232029802,0.3548),(231040483,0.2115),(232029015,0.1756),(231040995,0.1756),(400003916,0.1470),(231039862,0.1219),(231043261,0.1039),(231040397,0.1039),(231045003,0.1039),(261001943,0.1030),(232029463,0.1022),(231041895,0.0939),(231041322,0.0895),(297103695,0.0860),(400002597,0.0789),(231043650,0.0717),(231041223,0.0645),(265000952,0.0532),(232030883,0.0487),(231039708,0.0323),(232028070,0.0323),(232029533,0.0323),(232029225,0.0323),(232027649,0.0323),(231042509,0.0323),(232028317,0.0271),(232031232,0.0259),(231040529,0.0213),(231041645,0.0179),(231041053,0.0170),(232031692,0.0143),(232028277,0.0140),(232031229,0.0122),(232030648,0.0120),(232029497,0.0109),(231041387,0.0097),(231043534,0.0090),(231039766,0.0090),(231040372,0.0090),(232032203,0.0072),(232030721,0.0052),(242003420,0.0047),(235812472,0.0034),(230000349,0.0029),(232030018,0.0028),(232029001,0.0021),(232028692,0.0014),(232032166,0.0000),(232030448,0.0000),(230000397,0.0000)];[(232029802,0.3548),(231040483,0.2115),(232029015,0.1756),(231040995,0.1756),(400003916,0.1470)]
2;6;LARGEST_MAGNITUDE;[(231043925,1.0000),(232029120,0.5341),(231042122,0.2661),(231040665,0.2204),(231041989,0.1756),(231042031,0.1756),(231040811,0.1756),(232028010,0.1398),(231042333,0.1082),(231044982,0.1039),(232029047,0.1002),(232029058,0.0932),(231041614,0.0848),(232029367,0.0735),(232031775,0.0681),(232028672,0.0681),(231041568,0.0681),(232031943,0.0538),(231041244,0.0502),(232031717,0.0502),(231044482,0.0502),(231044817,0.0502),(231040852,0.0455),(232029734,0.0420),(261001883,0.0358),(232028172,0.0323),(231041371,0.0323),(232028916,0.0323),(231040051,0.0323),(232029731,0.0323),(231043886,0.0323),(231041782,0.0323),(231040049,0.0323),(232028310,0.0215),(231042584,0.0179),(231044388,0.0161),(232028372,0.0143),(233080125,0.0143),(232027474,0.0110),(231041642,0.0086),(230000414,0.0083),(400003322,0.0075),(232029664,0.0066),(232031239,0.0044),(232028123,0.0030),(232030018,0.0028),(232031064,0.0023),(232028611,0.0005),(231044256,0.0000),(232027654,0.0000)];[(231043925,1.0000),(232029120,0.5341),(231042122,0.2661),(231040665,0.2204),(231041989,0.1756)]
2;7;LARGEST_MAGNITUDE;[(232030047,1.0000),(232029710,0.3075),(231039665,0.2832),(231041101,0.2652),(231039972,0.2652),(231041784,0.2115),(232028968,0.1756),(231040658,0.1756),(231039637,0.1577),(231041105,0.1039),(231040512,0.1039),(231045309,0.0968),(232029702,0.0860),(232028460,0.0860),(231040224,0.0860),(231042060,0.0860),(231041165,0.0719),(232027505,0.0681),(231044533,0.0681),(231043847,0.0681),(231040653,0.0542),(231041174,0.0538),(242108796,0.0519),(232028202,0.0473),(231042112,0.0466),(232031261,0.0441),(232030595,0.0421),(231042207,0.0394),(231043886,0.0323),(231042307,0.0323),(231042377,0.0323),(232029514,0.0323),(232030274,0.0323),(231040386,0.0323),(232029453,0.0278),(232027872,0.0199),(232029203,0.0155),(231039750,0.0143),(231042285,0.0136),(232030134,0.0117),(232031366,0.0094),(232027749,0.0045),(245018105,0.0039),(231040025,0.0036),(232031845,0.0032),(232029098,0.0026),(232032331,0.0019),(245018220,0.0011),(232030657,0.0000),(232030371,0.0000)];[(232030047,1.0000),(232029710,0.3075),(231039665,0.2832),(231041101,0.2652),(231039972,0.2652)]
2;8;LARGEST_MAGNITUDE;[(231041604,0.5161),(231043387,0.4265),(232027983,0.2832),(231040710,0.2294),(231043383,0.2115),(231040095,0.1470),(231040418,0.1398),(232029311,0.1219),(231043942,0.0914),(231039814,0.0860),(231042643,0.0860),(231043569,0.0727),(231041472,0.0681),(231040376,0.0681),(231040731,0.0681),(232028122,0.0681),(231044368,0.0681),(232028600,0.0681),(232031164,0.0650),(231042882,0.0645),(231043375,0.0502),(231041889,0.0466),(231041587,0.0466),(244074896,0.0458),(231040852,0.0455),(231043676,0.0430),(232027464,0.0394),(232028235,0.0336),(232028732,0.0323),(232027947,0.0323),(232030897,0.0323),(231043651,0.0323),(232029997,0.0312),(232027720,0.0287),(231044690,0.0203),(231040314,0.0190),(232031857,0.0188),(231039657,0.0155),(231045911,0.0055),(232029430,0.0026),(232027804,0.0023),(233073781,0.0018),(232029922,0.0009),(232027933,0.0007),(232028545,0.0000),(232030440,0.0000),(231041477,0.0000),(232030489,0.0000),(232031061,0.0000),(400007465,0.0000)];[(231041604,0.5161),(231043387,0.4265),(232027983,0.2832),(231040710,0.2294),(231043383,0.2115)]
2;9;LARGEST_MAGNITUDE;[(231043434,0.4982),(231044700,0.3112),(231039850,0.2832),(232031483,0.2652),(231042221,0.1971),(231040999,0.1756),(231039844,0.1756),(232029841,0.1532),(244074505,0.1314),(231040352,0.1219),(231040768,0.1219),(231043550,0.1147),(232028737,0.1072),(231044672,0.1039),(231040127,0.0932),(232028937,0.0720),(232027942,0.0681),(231042845,0.0502),(231043105,0.0502),(261001464,0.0498),(232029212,0.0396),(231042467,0.0394),(232030544,0.0323),(232027836,0.0323),(231041371,0.0323),(232029479,0.0251),(231041936,0.0226),(232032400,0.0221),(232031599,0.0214),(242003284,0.0193),(232028729,0.0179),(232028698,0.0179),(232030873,0.0179),(231042403,0.0144),(231039935,0.0115),(232031983,0.0107),(232030333,0.0102),(232032715,0.0090),(231044414,0.0088),(231042380,0.0073),(232028060,0.0072),(232032329,0.0043),(231045228,0.0036),(231042793,0.0036),(231042218,0.0036),(232030780,0.0034),(232028522,0.0030),(248019583,0.0022),(242003079,0.0007),(232030747,0.0005)];[(231043434,0.4982),(231044700,0.3112),(231039850,0.2832),(232031483,0.2652),(231042221,0.1971)]
3;0;LARGEST_MAGNITUDE;[(231040872,0.4631),(231041652,0.4624),(231043329,0.3082),(231043326,0.2920),(231042680,0.2832),(231039944,0.2294),(231041266,0.1792),(231039973,0.1756),(231043363,0.1756),(232028871,0.1756),(231042605,0.1756),(231042102,0.1398),(232028178,0.1167),(231040186,0.1039),(231042126,0.1039),(231040892,0.1039),(231042111,0.0984),(231042434,0.0860),(231042412,0.0860),(232029392,0.0681),(231039647,0.0681),(232031297,0.0590),(231040276,0.0502),(232029469,0.0502),(232029051,0.0440),(231042208,0.0394),(232030261,0.0394),(231042207,0.0394),(231043240,0.0345),(232029979,0.0323),(232028162,0.0323),(232028113,0.0323),(231045873,0.0323),(232030271,0.0323),(232029370,0.0239),(232028774,0.0222),(232030650,0.0179),(231042051,0.0161),(265000945,0.0151),(231040800,0.0143),(231042564,0.0082),(232027706,0.0072),(232027475,0.0064),(232028755,0.0060),(232030405,0.0048),(244075558,0.0041),(232032619,0.0034),(231041284,0.0023),(232030690,0.0000),(231045078,0.0000)];[(231040872,0.4631),(231041652,0.4624),(231043329,0.3082),(231043326,0.2920),(231042680,0.2832)]
3;1;LARGEST_MAGNITUDE;[(232027525,1.0000),(231040416,1.0000),(231040469,0.4444),(231043726,0.2975),(232027621,0.1756),(231045218,0.1599),(244074426,0.1425),(231039681,0.1398),(231039987,0.1219),(231041753,0.1219),(286016702,0.1055),(231039824,0.1039),(232028576,0.1039),(232028639,0.1039),(232027884,0.1024),(232029463,0.1022),(231042470,0.0860),(231045352,0.0770),(231040318,0.0753),(231040681,0.0695),(231041923,0.0681),(231043709,0.0606),(232029417,0.0502),(232027943,0.0458),(245018748,0.0438),(232031010,0.0407),(232029212,0.0396),(281000770,0.0352),(232027735,0.0333),(231041189,0.0323),(232029064,0.0284),(231045835,0.0251),(232029096,0.0250),(233087998,0.0228),(231040948,0.0179),(232029773,0.0143),(232031122,0.0143),(231039853,0.0086),(286017212,0.0083),(232031349,0.0074),(232027517,0.0066),(232031478,0.0056),(232029081,0.0044),(232031277,0.0042),(232032619,0.0034),(232029098,0.0026),(400008872,0.0024),(286017194,0.0024),(232029170,0.0000),(232031911,0.0000)];[(232027525,1.0000),(231040416,1.0000),(231040469,0.4444),(231043726,0.2975),(232027621,0.1756)]
