=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RECENCY_WEIGHTED_RANDOM;0.1;156.0;303.0;156.0;15.202498;3.0405;303.0
1;1.0;RECENCY_WEIGHTED_RANDOM;0.1;163.0;289.0;177.0;16.50463;3.3009255;303.0
2;1.0;RECENCY_WEIGHTED_RANDOM;0.1;165.0;301.0;164.0;8.796374;1.7592746;300.0
3;1.0;RECENCY_WEIGHTED_RANDOM;0.1;150.0;326.0;175.0;11.118045;2.2236087;351.0
4;1.0;RECENCY_WEIGHTED_RANDOM;0.1;165.0;333.0;161.0;11.121515;2.2243035;329.0
5;1.0;RECENCY_WEIGHTED_RANDOM;0.1;155.0;299.0;161.0;11.658993;2.3317988;305.0
6;1.0;RECENCY_WEIGHTED_RANDOM;0.1;158.0;329.0;165.0;10.411715;2.0823429;336.0
7;1.0;RECENCY_WEIGHTED_RANDOM;0.1;173.0;343.0;171.0;12.668393;2.5336785;341.0
8;1.0;RECENCY_WEIGHTED_RANDOM;0.1;163.0;334.0;154.0;11.961825;2.3923652;325.0
9;1.0;RECENCY_WEIGHTED_RANDOM;0.1;182.0;325.0;162.0;13.928495;2.785699;305.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RECENCY_WEIGHTED_RANDOM;0.1;156.0;303.0;156.0;15.202498;3.0405;303.0
1;1.0;RECENCY_WEIGHTED_RANDOM;0.1;161.0;282.0;176.0;16.483255;3.2966506;297.0
2;1.0;RECENCY_WEIGHTED_RANDOM;0.1;161.0;293.0;161.0;8.756363;1.7512723;293.0
3;1.0;RECENCY_WEIGHTED_RANDOM;0.1;148.0;322.0;172.0;11.068825;2.2137647;346.0
4;1.0;RECENCY_WEIGHTED_RANDOM;0.1;163.0;329.0;158.0;11.047561;2.2095125;324.0
5;1.0;RECENCY_WEIGHTED_RANDOM;0.1;155.0;299.0;161.0;11.658993;2.3317988;305.0
6;1.0;RECENCY_WEIGHTED_RANDOM;0.1;156.0;324.0;165.0;10.252948;2.0505896;333.0
7;1.0;RECENCY_WEIGHTED_RANDOM;0.1;171.0;339.0;168.0;12.618214;2.5236428;336.0
8;1.0;RECENCY_WEIGHTED_RANDOM;0.1;160.0;325.0;153.0;11.638397;2.3276796;318.0
9;1.0;RECENCY_WEIGHTED_RANDOM;0.1;180.0;319.0;160.0;13.76362;2.752724;299.0

0;0;RECENCY_WEIGHTED_RANDOM;[];[]
0;1;RECENCY_WEIGHTED_RANDOM;[];[]
0;2;RECENCY_WEIGHTED_RANDOM;[];[]
0;3;RECENCY_WEIGHTED_RANDOM;[];[]
0;4;RECENCY_WEIGHTED_RANDOM;[];[]
0;5;RECENCY_WEIGHTED_RANDOM;[];[]
0;6;RECENCY_WEIGHTED_RANDOM;[];[]
0;7;RECENCY_WEIGHTED_RANDOM;[];[]
0;8;RECENCY_WEIGHTED_RANDOM;[];[]
0;9;RECENCY_WEIGHTED_RANDOM;[];[]
1;0;RECENCY_WEIGHTED_RANDOM;[(231039878,-0.0000),(231040363,-0.0000),(232027926,-0.0000),(231044407,-0.0000),(231040003,-0.0000),(232027976,-0.0000),(232029188,-0.0000),(231044221,-0.0000),(232028696,-0.0000),(232027673,-0.0000),(232027581,-0.0000),(232028036,-0.0000),(232028333,-0.0000),(232030912,-0.0000),(232028435,-0.0000),(232029920,-0.0000),(232031507,-0.0000),(231042254,-0.0000),(232028608,-0.0000),(231041475,-0.0000),(232029562,-0.0000),(231042508,-0.0000),(232032179,-0.0000),(231039745,-0.0000),(231039952,-0.0000),(231043529,-0.0000),(231043701,-0.0000),(231041637,-0.0000),(231040362,-0.0000),(232030634,-0.0000),(232032159,-0.0000),(232028055,-0.0000),(232028953,-0.0000),(231044071,-0.0000),(232032618,-0.0000),(297102715,-0.0000),(231041668,-0.0000),(231044424,-0.0000),(232029418,-0.0000),(231040272,-0.0000),(231041488,-0.0000),(232027491,-0.0000),(231044655,-0.0000),(231041055,-0.0000),(232031548,-0.0000),(231040248,-0.0000),(231043930,-0.0000),(232032646,-0.0000),(231040331,-0.0000),(232029392,-0.0000)];[(231039878,-0.0000),(231040363,-0.0000),(232027926,-0.0000),(231044407,-0.0000),(231040003,-0.0000)]
